run_order,placement,placement_label,display_order,site,site_name,metric_frames,participants_min,participants_max,participant_days_min,participant_days_max,site_color
1,glasses,Near eye,1,RISE,Borås (SE),9,13,13,67,78,#88CCEE
1,glasses,Near eye,2,THUAS,Delft (NL),9,12,13,50,78,#117733
1,glasses,Near eye,3,BAUA,Dortmund (DE),9,18,18,84,107,#DDCC77
1,glasses,Near eye,4,MPI,Tübingen (DE),9,26,26,132,150,#DDCC77
1,glasses,Near eye,5,TUM,Munich (DE),9,10,10,52,60,#DDCC77
1,glasses,Near eye,6,FUSPCEU,Madrid (ES),9,23,23,105,129,#CC6677
1,glasses,Near eye,7,IZTECH,Izmir (TR),9,17,17,82,101,#332288
1,glasses,Near eye,8,UCR,San José (CR),9,6,6,25,32,#44AA99
1,glasses,Near eye,9,KNUST,Kumasi (GH),9,14,15,58,81,#AA4499
2,chest,Chest,1,RISE,Borås (SE),9,16,16,81,96,#88CCEE
2,chest,Chest,2,THUAS,Delft (NL),9,14,15,63,93,#117733
2,chest,Chest,3,BAUA,Dortmund (DE),9,20,20,92,114,#DDCC77
2,chest,Chest,5,TUM,Munich (DE),9,10,10,52,60,#DDCC77
2,chest,Chest,6,FUSPCEU,Madrid (ES),9,22,22,103,123,#CC6677
2,chest,Chest,7,IZTECH,Izmir (TR),9,17,17,83,102,#332288
2,chest,Chest,8,UCR,San José (CR),9,39,39,208,230,#44AA99
2,chest,Chest,9,KNUST,Kumasi (GH),9,15,15,61,84,#AA4499
