"input_role","path","expected_sha256","current_sha256","verification_code"
"main","artifacts/06_model_data/H01.rds","0328fe1a698bc13965feb0b68b03ccf0fd20f32b55d6148635811b0d674e0a00","0328fe1a698bc13965feb0b68b03ccf0fd20f32b55d6148635811b0d674e0a00","PASS"
"main_manifest","artifacts/12_manifests/H01_model_data_artifacts.csv","25978c5d6903e6e835c1aff6a9bc2e7552b85295e8d840d3dd65bbf9b1eb6b72","25978c5d6903e6e835c1aff6a9bc2e7552b85295e8d840d3dd65bbf9b1eb6b72","PASS"
"manuscript_prepared_data","artifacts/06_model_data/H01/scenarios/manuscript_prepared_data/H01.rds","3c70363fc0468202a431904aa9d9444f2858af2e3add3475a56c872b49a18bd6","3c70363fc0468202a431904aa9d9444f2858af2e3add3475a56c872b49a18bd6","PASS"
"manuscript_prepared_data_manifest","artifacts/12_manifests/H01_manuscript_prepared_data_artifacts.csv","e0d98178ede61b74353e3a654e7f1b53d7e1c915833a2cda74eea45ed02f383b","e0d98178ede61b74353e3a654e7f1b53d7e1c915833a2cda74eea45ed02f383b","PASS"
"leba","artifacts/06_model_data/normalized_inputs/leba.rds","71882566d4665dde757a13b18e56c1f7308e855ea22bced4384e91254e64e636","71882566d4665dde757a13b18e56c1f7308e855ea22bced4384e91254e64e636","PASS"
"h01_contract_source","scripts/hypotheses/H01/h01_contract.R","9151f2ca8ef549d16df1465768ed5b33c0aa33b37dc315a13e06d795ba20de2e","dfa35f7c8a1ca8a1f2132c6930a8ac219c461ffac769a7423bf85522430da81a","PASS_ACCEPTED_TRANSITION"
"h01_modeling_source","scripts/hypotheses/H01/h01_modeling.R","a8879209e0d7c42f2e0de0d459e3cfbf7218cec27afd8f39a50c846ed43f9388","a8879209e0d7c42f2e0de0d459e3cfbf7218cec27afd8f39a50c846ed43f9388","PASS"
"h01_fit_results_site_evidence","artifacts/07_models/H01/H01_fit_results.rds","16b5ab67234c73d7cd7e14f29bf4b96bda9caff1bb2e786e3027aa59825d32c7","16b5ab67234c73d7cd7e14f29bf4b96bda9caff1bb2e786e3027aa59825d32c7","PASS"
"metric010_decision","audit/decisions/mder_mean_of_viable_ratios.md","1664347de976057807fcb5ac6e24bd4b66af1fe32378fabd1f2acafcfc9266de","1664347de976057807fcb5ac6e24bd4b66af1fe32378fabd1f2acafcfc9266de","PASS"
"primary_metric_manifest","artifacts/12_manifests/metric_artifacts.csv","028bce108339c1277df4a070597430ea20b49c34c2888f4eef42741c1fe76a5e","028bce108339c1277df4a070597430ea20b49c34c2888f4eef42741c1fe76a5e","PASS"
"independent_mder_audit_manifest","artifacts/08_diagnostics/mder_METRIC-010/audit_manifest.csv","5bd34fd4ac26dc2761540393d40e096cde835d8dd4b4edda9253243c9083d4bb","5bd34fd4ac26dc2761540393d40e096cde835d8dd4b4edda9253243c9083d4bb","PASS"
"base_model_manifest","artifacts/12_manifests/base_model_data_artifacts.csv","8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce","8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce","PASS"
"metric011_decision","audit/decisions/l10_numerical_zero_normalization.md","23b9f70d1d16f7fd3ebbdbc57aaf78c0a701fe1f9d22bd667d926cd320d40797","23b9f70d1d16f7fd3ebbdbc57aaf78c0a701fe1f9d22bd667d926cd320d40797","PASS"
"metric011_evidence_manifest","audit/reconciliation/l10_METRIC-011/METRIC-011_evidence_manifest.csv","a37efd3449a8d1a6065d0eb8964bd6cf8b241f1683a26c065ea1a946e23214fb","a37efd3449a8d1a6065d0eb8964bd6cf8b241f1683a26c065ea1a946e23214fb","PASS"
"site_context_manifest","artifacts/12_manifests/site_solar_context_artifacts.csv","c0c6d7f97782c0d880a213050f576213f5d56b3204a02732f6399e7e4aeb8518","c0c6d7f97782c0d880a213050f576213f5d56b3204a02732f6399e7e4aeb8518","PASS"
"primary_near_eye_context","artifacts/06_model_data/base/metrics_glasses_participant_day_context.rds","013afe75e9b75b141b4cb48d04111a9e6c688630085a24c9fe07ca3d142a4e9a","013afe75e9b75b141b4cb48d04111a9e6c688630085a24c9fe07ca3d142a4e9a","PASS"
"primary_chest_context","artifacts/06_model_data/base/metrics_chest_participant_day_context.rds","497466ccd1a35635cca40bb8f9ce51efb97321ab04b42ee1bb76785e466a2057","497466ccd1a35635cca40bb8f9ce51efb97321ab04b42ee1bb76785e466a2057","PASS"
