"check","observed","status"
"semantic_disposition","REPAIRED","PASS"
"semantic_table_count","22","PASS"
"semantic_id_changes","253","PASS"
"semantic_header_changes","970","PASS"
"semantic_total_substitutions","1223","PASS"
"semantic_reverse_sha","0c0517a89cf3cf22d5fe976d7c804b102a39e6e20ff0395327022e02e56e87ac","PASS"
"semantic_reapply_exact","TRUE","PASS"
"document_unique_ids","TRUE","PASS"
"native_gt_tables","22","PASS"
"unique_table_endpoints","22","PASS"
"header_tokens_resolve","1925","PASS"
"document_idrefs_resolve","26","PASS"
"figure_endpoints","3","PASS"
"figure_caption_alt","3","PASS"
"mermaid_td","1","PASS"
"active_sidebar","1","PASS"
"reader_internal_links","1151","PASS"
"country_sites","9","PASS"
"no_embedded_errors","TRUE","PASS"
