"role","path","sha256","bytes","r_version"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/build_delta.csv","751d301f0ebc08a322069d520d5152cc8af789da3a7c7c560ef201c5e8844855",2338,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/build_inventory_postrender.csv","fc5b883724477532baa2697eb94864c53e26991a2f49b34cc3a43dc2ebb9fe11",141429,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/build_inventory_prerender.csv","e938b4ff1649943491dfaf1391c618578cc00842f6e70ccce7ef616e7a613070",141429,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/document_idref_audit.csv","0a077bbca8230130274dcca3907d70276fa98451ac9d7b271da0ed454c596b26",2684,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/gt_html_semantic_post_render_summary.csv","1d1b02be2c3ee2ada3d563b51bf7d6702212b4072404eb8a4551330f6b0e4f4c",499,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/gt_semantic_ledger.csv","7de75179be2f187d646077f94879fd45817e7177b32323b9852452f3b1f91f52",303411,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/H05_analysis_preparation_pre45b.qmd","cce35a2631206945b23144abc6cba44d7297237fc60c716d0d0e3949d128ee57",77741,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/input_identity_classification.csv","cf8173c6b0b5e597a2e5fa4bbe8691d445cf1b461660aaa0ec7c14c77f98775c",3840,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/integrity_preflight.csv","8c315d18b22157216fb9bb99db2860b29acf255dd8bb3b28eb0e8cbecdb64cff",348,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/order45b_stopped_state.md","a7c6839c4cec431dd6a956a82aff7548bf50e0c61ccac4b82999a8348e7864d6",4579,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/preparation_manifest_audit.csv","d6b964ed8892f7f445950c838bdac1ab4649fdf688acf5228ae626383642112e",30184,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/protected_delta.csv","d65d86a624adaec6828344eb1a6556805796ba0049d583c894602228fec95b0e",660,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/protected_inventory_postrender.csv","9a7fc2f8699abf6e75f25d1042263cb7f3d3f250eae23393f72cc69cf0409871",25708,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/protected_inventory_prerender.csv","ec55d3fecaf9003886456be43aa67e968d6cee2d180a6069f448b42fe2f6d81c",25708,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/reader_link_audit.csv","b590f4bcfb2397313b8d7d3ff56d17b60ce85e816f674a1ee4a6fcb3db18aa93",50474,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/render_execution.txt","11ba6066e570176c4b94bc9aba8cc0c26f3ebfc00bc0d0c7b601d966490ab811",1270,"4.6.1"
