"href","label","class","target_exists","anchor_exists","status"
"../../../notebooks/hypotheses/H01.html","Hypothesis analyses","internal",TRUE,TRUE,"PASS"
"../../../audit/hypotheses/H05/H05_analysis_preparation.html","H05 preparation and provenance","internal",TRUE,TRUE,"PASS"
"javascript:void(0)","Show All Code","external_or_action",,,"PASS"
"javascript:void(0)","Hide All Code","external_or_action",,,"PASS"
"javascript:void(0)","View Source","external_or_action",,,"PASS"
"../../../notebooks/hypotheses/H05.html","H05 results report","internal",TRUE,TRUE,"PASS"
"../../../notebooks/hypotheses/H05.html#h05-preregistration-deviations","H05 linked registration-record summary","internal",TRUE,TRUE,"PASS"
"#cb1-1","","internal",TRUE,TRUE,"PASS"
"#cb1-2","","internal",TRUE,TRUE,"PASS"
"#cb1-3","","internal",TRUE,TRUE,"PASS"
"#cb1-4","","internal",TRUE,TRUE,"PASS"
"#cb1-5","","internal",TRUE,TRUE,"PASS"
"#cb1-6","","internal",TRUE,TRUE,"PASS"
"#cb1-7","","internal",TRUE,TRUE,"PASS"
"#cb2-1","","internal",TRUE,TRUE,"PASS"
"#cb2-2","","internal",TRUE,TRUE,"PASS"
"#cb2-3","","internal",TRUE,TRUE,"PASS"
"#cb2-4","","internal",TRUE,TRUE,"PASS"
"#cb2-5","","internal",TRUE,TRUE,"PASS"
"#cb2-6","","internal",TRUE,TRUE,"PASS"
"#cb2-7","","internal",TRUE,TRUE,"PASS"
"#cb2-8","","internal",TRUE,TRUE,"PASS"
"#cb2-9","","internal",TRUE,TRUE,"PASS"
"#cb2-10","","internal",TRUE,TRUE,"PASS"
"#cb2-11","","internal",TRUE,TRUE,"PASS"
"#cb2-12","","internal",TRUE,TRUE,"PASS"
"#cb2-13","","internal",TRUE,TRUE,"PASS"
"#cb2-14","","internal",TRUE,TRUE,"PASS"
"#cb2-15","","internal",TRUE,TRUE,"PASS"
"#cb2-16","","internal",TRUE,TRUE,"PASS"
"#cb2-17","","internal",TRUE,TRUE,"PASS"
"#cb2-18","","internal",TRUE,TRUE,"PASS"
"#cb2-19","","internal",TRUE,TRUE,"PASS"
"#cb2-20","","internal",TRUE,TRUE,"PASS"
"#cb2-21","","internal",TRUE,TRUE,"PASS"
"#cb2-22","","internal",TRUE,TRUE,"PASS"
"#cb2-23","","internal",TRUE,TRUE,"PASS"
"#cb2-24","","internal",TRUE,TRUE,"PASS"
"#cb2-25","","internal",TRUE,TRUE,"PASS"
"#cb2-26","","internal",TRUE,TRUE,"PASS"
"#cb2-27","","internal",TRUE,TRUE,"PASS"
"#cb2-28","","internal",TRUE,TRUE,"PASS"
"#cb2-29","","internal",TRUE,TRUE,"PASS"
"#cb2-30","","internal",TRUE,TRUE,"PASS"
"#cb2-31","","internal",TRUE,TRUE,"PASS"
"#cb2-32","","internal",TRUE,TRUE,"PASS"
"#cb2-33","","internal",TRUE,TRUE,"PASS"
"#cb2-34","","internal",TRUE,TRUE,"PASS"
"#cb2-35","","internal",TRUE,TRUE,"PASS"
"#cb2-36","","internal",TRUE,TRUE,"PASS"
"#cb2-37","","internal",TRUE,TRUE,"PASS"
"#cb2-38","","internal",TRUE,TRUE,"PASS"
"#cb2-39","","internal",TRUE,TRUE,"PASS"
"#cb2-40","","internal",TRUE,TRUE,"PASS"
"#cb2-41","","internal",TRUE,TRUE,"PASS"
"#cb2-42","","internal",TRUE,TRUE,"PASS"
"#cb2-43","","internal",TRUE,TRUE,"PASS"
"#cb2-44","","internal",TRUE,TRUE,"PASS"
"#cb2-45","","internal",TRUE,TRUE,"PASS"
"#cb2-46","","internal",TRUE,TRUE,"PASS"
"#cb2-47","","internal",TRUE,TRUE,"PASS"
"#cb2-48","","internal",TRUE,TRUE,"PASS"
"#cb2-49","","internal",TRUE,TRUE,"PASS"
"#cb2-50","","internal",TRUE,TRUE,"PASS"
"#cb2-51","","internal",TRUE,TRUE,"PASS"
"#cb2-52","","internal",TRUE,TRUE,"PASS"
"#cb2-53","","internal",TRUE,TRUE,"PASS"
"#cb2-54","","internal",TRUE,TRUE,"PASS"
"#cb2-55","","internal",TRUE,TRUE,"PASS"
"#cb2-56","","internal",TRUE,TRUE,"PASS"
"#cb2-57","","internal",TRUE,TRUE,"PASS"
"#cb2-58","","internal",TRUE,TRUE,"PASS"
"#cb2-59","","internal",TRUE,TRUE,"PASS"
"#cb2-60","","internal",TRUE,TRUE,"PASS"
"#cb2-61","","internal",TRUE,TRUE,"PASS"
"#cb2-62","","internal",TRUE,TRUE,"PASS"
"#cb2-63","","internal",TRUE,TRUE,"PASS"
"#cb2-64","","internal",TRUE,TRUE,"PASS"
"#cb2-65","","internal",TRUE,TRUE,"PASS"
"#cb2-66","","internal",TRUE,TRUE,"PASS"
"#cb2-67","","internal",TRUE,TRUE,"PASS"
"#cb2-68","","internal",TRUE,TRUE,"PASS"
"#cb2-69","","internal",TRUE,TRUE,"PASS"
"#cb2-70","","internal",TRUE,TRUE,"PASS"
"#cb2-71","","internal",TRUE,TRUE,"PASS"
"#cb2-72","","internal",TRUE,TRUE,"PASS"
"#cb2-73","","internal",TRUE,TRUE,"PASS"
"#cb2-74","","internal",TRUE,TRUE,"PASS"
"#cb2-75","","internal",TRUE,TRUE,"PASS"
"#cb2-76","","internal",TRUE,TRUE,"PASS"
"#cb2-77","","internal",TRUE,TRUE,"PASS"
"#cb2-78","","internal",TRUE,TRUE,"PASS"
"#cb2-79","","internal",TRUE,TRUE,"PASS"
"#cb2-80","","internal",TRUE,TRUE,"PASS"
"#cb2-81","","internal",TRUE,TRUE,"PASS"
"#cb2-82","","internal",TRUE,TRUE,"PASS"
"#cb2-83","","internal",TRUE,TRUE,"PASS"
"#cb2-84","","internal",TRUE,TRUE,"PASS"
"#cb2-85","","internal",TRUE,TRUE,"PASS"
"#cb2-86","","internal",TRUE,TRUE,"PASS"
"#cb2-87","","internal",TRUE,TRUE,"PASS"
"#cb2-88","","internal",TRUE,TRUE,"PASS"
"#cb2-89","","internal",TRUE,TRUE,"PASS"
"#cb2-90","","internal",TRUE,TRUE,"PASS"
"#cb2-91","","internal",TRUE,TRUE,"PASS"
"#cb2-92","","internal",TRUE,TRUE,"PASS"
"#cb2-93","","internal",TRUE,TRUE,"PASS"
"#cb2-94","","internal",TRUE,TRUE,"PASS"
"#cb2-95","","internal",TRUE,TRUE,"PASS"
"#cb2-96","","internal",TRUE,TRUE,"PASS"
"#cb2-97","","internal",TRUE,TRUE,"PASS"
"#cb2-98","","internal",TRUE,TRUE,"PASS"
"#cb2-99","","internal",TRUE,TRUE,"PASS"
"#cb2-100","","internal",TRUE,TRUE,"PASS"
"#cb2-101","","internal",TRUE,TRUE,"PASS"
"#cb2-102","","internal",TRUE,TRUE,"PASS"
"#cb2-103","","internal",TRUE,TRUE,"PASS"
"#cb2-104","","internal",TRUE,TRUE,"PASS"
"#cb2-105","","internal",TRUE,TRUE,"PASS"
"#cb2-106","","internal",TRUE,TRUE,"PASS"
"#cb2-107","","internal",TRUE,TRUE,"PASS"
"#cb2-108","","internal",TRUE,TRUE,"PASS"
"#cb2-109","","internal",TRUE,TRUE,"PASS"
"#cb2-110","","internal",TRUE,TRUE,"PASS"
"#cb2-111","","internal",TRUE,TRUE,"PASS"
"#cb2-112","","internal",TRUE,TRUE,"PASS"
"#cb2-113","","internal",TRUE,TRUE,"PASS"
"#cb2-114","","internal",TRUE,TRUE,"PASS"
"#cb2-115","","internal",TRUE,TRUE,"PASS"
"#cb2-116","","internal",TRUE,TRUE,"PASS"
"#cb2-117","","internal",TRUE,TRUE,"PASS"
"#cb2-118","","internal",TRUE,TRUE,"PASS"
"#cb2-119","","internal",TRUE,TRUE,"PASS"
"#cb2-120","","internal",TRUE,TRUE,"PASS"
"#cb2-121","","internal",TRUE,TRUE,"PASS"
"#cb2-122","","internal",TRUE,TRUE,"PASS"
"#cb2-123","","internal",TRUE,TRUE,"PASS"
"#cb2-124","","internal",TRUE,TRUE,"PASS"
"#cb2-125","","internal",TRUE,TRUE,"PASS"
"#cb2-126","","internal",TRUE,TRUE,"PASS"
"#cb2-127","","internal",TRUE,TRUE,"PASS"
"#cb2-128","","internal",TRUE,TRUE,"PASS"
"#cb2-129","","internal",TRUE,TRUE,"PASS"
"#cb2-130","","internal",TRUE,TRUE,"PASS"
"#cb2-131","","internal",TRUE,TRUE,"PASS"
"#cb2-132","","internal",TRUE,TRUE,"PASS"
"#cb2-133","","internal",TRUE,TRUE,"PASS"
"#cb2-134","","internal",TRUE,TRUE,"PASS"
"#cb3-1","","internal",TRUE,TRUE,"PASS"
"#cb3-2","","internal",TRUE,TRUE,"PASS"
"#cb3-3","","internal",TRUE,TRUE,"PASS"
"#cb3-4","","internal",TRUE,TRUE,"PASS"
"#cb3-5","","internal",TRUE,TRUE,"PASS"
"#cb3-6","","internal",TRUE,TRUE,"PASS"
"#cb3-7","","internal",TRUE,TRUE,"PASS"
"#cb3-8","","internal",TRUE,TRUE,"PASS"
"#cb3-9","","internal",TRUE,TRUE,"PASS"
"#cb3-10","","internal",TRUE,TRUE,"PASS"
"#cb3-11","","internal",TRUE,TRUE,"PASS"
"#cb3-12","","internal",TRUE,TRUE,"PASS"
"#cb3-13","","internal",TRUE,TRUE,"PASS"
"#cb3-14","","internal",TRUE,TRUE,"PASS"
"#cb3-15","","internal",TRUE,TRUE,"PASS"
"#cb3-16","","internal",TRUE,TRUE,"PASS"
"#cb3-17","","internal",TRUE,TRUE,"PASS"
"#cb3-18","","internal",TRUE,TRUE,"PASS"
"#cb3-19","","internal",TRUE,TRUE,"PASS"
"#cb3-20","","internal",TRUE,TRUE,"PASS"
"#cb3-21","","internal",TRUE,TRUE,"PASS"
"#cb3-22","","internal",TRUE,TRUE,"PASS"
"#cb3-23","","internal",TRUE,TRUE,"PASS"
"#cb3-24","","internal",TRUE,TRUE,"PASS"
"#cb3-25","","internal",TRUE,TRUE,"PASS"
"#cb3-26","","internal",TRUE,TRUE,"PASS"
"#cb3-27","","internal",TRUE,TRUE,"PASS"
"#cb3-28","","internal",TRUE,TRUE,"PASS"
"#cb3-29","","internal",TRUE,TRUE,"PASS"
"#cb3-30","","internal",TRUE,TRUE,"PASS"
"#cb3-31","","internal",TRUE,TRUE,"PASS"
"#cb3-32","","internal",TRUE,TRUE,"PASS"
"#cb3-33","","internal",TRUE,TRUE,"PASS"
"#cb3-34","","internal",TRUE,TRUE,"PASS"
"#cb3-35","","internal",TRUE,TRUE,"PASS"
"#cb3-36","","internal",TRUE,TRUE,"PASS"
