run_id,data_scenario,placement,sample_scenario,analytical_role,metric_order,metric_id,manuscript_name,abbreviation,manuscript_category,analysis_unit,response_family,response_transform,effect_scale,display_unit,fit_role,model_name,formula,engine,observations,log_likelihood,aic,warnings,error,fit_status,converged,positive_definite_hessian,singular,max_gradient,convergence_message,fixed_columns,fixed_rank,fixed_full_rank,fixed_condition_number,aliased_coefficients
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,final_estimation_same_as_ML,M_age,response ~ site + age_decade,lm,154,-87.45438478855762,194.90876957711524,,,FITTED,TRUE,TRUE,FALSE,,,9,9,TRUE,23.252707566001614,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,final_estimation_same_as_ML,M_age_site,response ~ site * age_decade,lm,154,-80.24151328250387,194.48302656500775,,,FITTED,TRUE,TRUE,FALSE,,,16,16,TRUE,166.89894415995192,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,final_estimation_same_as_ML,M_sex,response ~ site + biological_sex,lm,154,-87.9672259604937,195.9344519209874,,,FITTED,TRUE,TRUE,FALSE,,,9,9,TRUE,4.11268183608053,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,final_estimation_same_as_ML,M_sex_site,response ~ site * biological_sex,lm,154,-85.85748217233653,205.71496434467306,,,FITTED,TRUE,TRUE,FALSE,,,16,16,TRUE,11.8557447457707,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,maximum_likelihood_comparison,M0,response ~ site,lm,154,-88.26886200532012,194.53772401064023,,,FITTED,TRUE,TRUE,FALSE,,,8,8,TRUE,4.1407517940078975,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,maximum_likelihood_comparison,M_age,response ~ site + age_decade,lm,154,-87.45438478855762,194.90876957711524,,,FITTED,TRUE,TRUE,FALSE,,,9,9,TRUE,23.252707566001614,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,maximum_likelihood_comparison,M_age_site,response ~ site * age_decade,lm,154,-80.24151328250387,194.48302656500775,,,FITTED,TRUE,TRUE,FALSE,,,16,16,TRUE,166.89894415995192,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,maximum_likelihood_comparison,M_sex,response ~ site + biological_sex,lm,154,-87.9672259604937,195.9344519209874,,,FITTED,TRUE,TRUE,FALSE,,,9,9,TRUE,4.11268183608053,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,maximum_likelihood_comparison,M_sex_site,response ~ site * biological_sex,lm,154,-85.85748217233653,205.71496434467306,,,FITTED,TRUE,TRUE,FALSE,,,16,16,TRUE,11.8557447457707,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,2,intradaily_variability,Intradaily variability,IV,dynamics-based,participant,gaussian,identity,difference,dimensionless,final_estimation_same_as_ML,M_age,response ~ site + age_decade,lm,154,-66.77502436742343,153.55004873484685,,,FITTED,TRUE,TRUE,FALSE,,,9,9,TRUE,23.252707566001614,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,2,intradaily_variability,Intradaily variability,IV,dynamics-based,participant,gaussian,identity,difference,dimensionless,final_estimation_same_as_ML,M_age_site,response ~ site * age_decade,lm,154,-61.29633275960266,156.59266551920533,,,FITTED,TRUE,TRUE,FALSE,,,16,16,TRUE,166.89894415995192,
