item,identity_or_observation,status
Order 60a order,"65b74f1932428617b671baba90df5cbd4857e1e5c31eb533e42962eb87834349",PASS
Order 60a dispatch,"0bdee2aee78f55bab67a6e2f5c3ab0aed6677f61b319b0e7c0643a8d47ea6682",PASS
Independent stop acceptance,"5d7dfc444898ce191cbaf895110b83b499777f5de3568e5ec84fb35ac3f49eef",PASS
Independent verification,"a40da333361435f6e0bba6bbaa6995e5dbed3caffcabb6605cb64816de392896",PASS
Coordination matrix,"c8990a95151ebfd5deb0a1abca3a69ad2c4a1720f30537de13deebab2386b6ac; active_order60_h11_result_target_render",PASS
H11 result QMD,"7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",PASS
Stale H11 result HTML,"c5724711ad1aa94631df0b6186fee92398d414ae02690ade08f320b29d6b6db7",PASS
Sass database,"22f60821f5020edfa0900fc872503bbe993388c7f5acb86c059bc53dcd606853; 36864 bytes; owner zauner; no WAL or SHM",PASS
First Order 60 semantic directory,"zero entries under the accepted stopped-state seal",PASS
Related processes,"zero H11, Quarto, Pandoc, semantic-hook, or task-owned loopback matches",PASS
