placement,sample_scenario,metric_order,metric_id,manuscript_name,estimate_main,estimate_gap_timing_unaware,conf_low_main,conf_low_gap_timing_unaware,conf_high_main,conf_high_gap_timing_unaware,p_adjusted_main,p_adjusted_gap_timing_unaware,adjusted_significant_main,adjusted_significant_gap_timing_unaware,participants_main,participants_gap_timing_unaware,participant_days_main,participant_days_gap_timing_unaware,sites_main,sites_gap_timing_unaware,row_key_hash_main,row_key_hash_gap_timing_unaware,exact_common_keys,stability_classification
chest,all_available,1,daily_geometric_mean_medi,Mean melEDI,-0.029117538060243454,-0.023343431059654966,-0.07578119604077554,-0.07119156329347147,0.017546119920288636,0.024504701174161536,0.2860728902521842,0.43675505028817985,FALSE,FALSE,154,154,902,897,8,8,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,,stable within model uncertainty
chest,all_available,2,m10_mean_medi,Brightest 10 h mean,-0.05134736401082243,-0.04130934928076558,-0.11859675514386013,-0.10906642171639078,0.015902027122215265,0.02644772315485961,0.2450246030094023,0.4315002625614331,FALSE,FALSE,154,154,902,897,8,8,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,,stable within model uncertainty
chest,all_available,3,l10_mean_medi,Darkest 10 h mean,0.007383272699895148,0.002713767171898374,-0.028493834966484593,-0.03248568328468591,0.043260380366274886,0.03791321762848266,0.772627531852315,0.8798995433986005,FALSE,FALSE,154,154,902,897,8,8,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,,stable within model uncertainty
chest,all_available,4,duration_above_1000,"Time above 1,000 lx melEDI",-0.1354309340615524,-0.1321833724880538,-0.2533649103575765,-0.2503794439488007,-0.0174969577655283,-0.013987301027306956,0.1680737626578893,0.25193681897453285,FALSE,FALSE,154,154,902,897,8,8,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,,stable within model uncertainty
chest,all_available,5,duration_above_250_wake,Time above 250 lx melEDI during wake,-0.0831569687363441,-0.08976815247795795,-0.1744821041017609,-0.18163167580084771,0.008168166629072701,0.0020953708449317904,0.1680737626578893,0.25193681897453285,FALSE,FALSE,154,153,818,839,8,8,9866d96dc5cde14dd0ea6908bfe5f100ffb2ecd58e84bbe86a684fa16eec388a,c72461c5a340301968c9ca533a809e318d51862321de6ca8d142879cf4161eeb,,stable within model uncertainty
chest,all_available,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,0.06689534309048703,0.05181162417226499,-0.03688698325352349,-0.044717018740232574,0.17067766943449755,0.14834026708476256,0.2860728902521842,0.43675505028817985,FALSE,FALSE,153,154,743,867,8,8,797cba2a91bb3e82d683f6f2e082d4237fa95a4659083b6945cde91ae37a7634,1bdae35ae4ac254fbc706c6cc6bf896e1e34a249075cf59912cfa42493356177,,stable within model uncertainty
chest,all_available,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,-0.0025682411875184077,-0.0028320529636208036,-0.030474998316998743,-0.03188493503535605,0.02533851594196193,0.02622082910811444,0.8568518587194737,0.8798995433986005,FALSE,FALSE,154,154,861,878,8,8,f3cac6989c6f1f291fc69c0dd96d36e988017d9c671a1430f8b6e8e31a7ebc6d,fd3b873824ab80303dc2297404d43ef285b31bd0dcd332e540492cb81ee66fa2,,stable within model uncertainty
chest,all_available,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,-0.03391026568982302,-0.032095391499256644,-0.06884841146366061,-0.06835985076031587,0.001027880084014575,0.004169067761802585,0.1680737626578893,0.25359215779390865,FALSE,FALSE,154,154,902,897,8,8,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,,stable within model uncertainty
chest,all_available,9,dose_time_sensitive_corrected_medi,melEDI dose,-0.06102968167689746,-0.03975621401348959,-0.12374982945255622,-0.10586790917751626,0.0016904660987613063,0.026355481150537076,0.1680737626578893,0.4315002625614331,FALSE,FALSE,154,154,851,897,8,8,cd7805caba6dede5d964ca1c97a5b7f3d81876d9fcdd07b3f87acf6bc6da847b,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,,stable within model uncertainty
glasses,all_available,1,daily_geometric_mean_medi,Mean melEDI,-0.03866312587682787,-0.034058134207343854,-0.09072944322997833,-0.08705052674354255,0.013403191476322601,0.01893425832885484,0.2209094814795377,0.31382429573304227,FALSE,FALSE,141,141,816,811,9,9,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b,,stable within model uncertainty
