"sequence","text"
1,"×1.03"
2,"×0.93"
3,"×0.98"
4,"×1.09"
5,"-0.06"
6,"-0.00"
7,"+0.00"
8,"+0.06"
9,"×1.09"
10,"×0.92"
11,"×0.89"
12,"×0.94"
13,"×1.20"
14,"×0.89"
15,"×0.91"
16,"×0.93"
17,"×1.00"
18,"×0.96"
19,"×0.92"
20,"×0.97"
21,"×1.23"
22,"×0.89"
23,"×0.91"
24,"×0.83"
25,"×1.12"
26,"×0.91"
27,"×0.95"
28,"×0.95"
29,"-0.01 h"
30,"+0.05 h"
31,"+0.03 h"
32,"-0.03 h"
33,"Unfit"
34,"Unfit"
35,"Unfit"
36,"Unfit"
37,"×1.12"
38,"×0.92"
39,"×0.93"
40,"×0.94"
41,"+0.05 h"
42,"+0.13 h"
43,"+0.03 h"
44,"-0.08 h"
45,"-0.14 h"
46,"+0.08 h"
47,"-0.02 h"
48,"+0.13 h"
49,"+0.02 h"
50,"+0.09 h"
51,"-0.10 h"
52,"-0.17 h"
53,"-0.22 h"
54,"+0.32 h"
55,"+0.02 h"
56,"-0.10 h"
57,"+0.31 h"
58,"-0.07 h"
59,"-0.01 h"
60,"-0.08 h"
61,"×1.28"
62,"×0.89"
63,"×0.87"
64,"×0.88"
65,"+0.00"
66,"-0.00"
67,"-0.01"
68,"-0.02"
69,"Melanopic daylight efficacy ratio"
70,"melEDI dose"
71,"Last light timing above 250 lx melEDI"
72,"First light timing above 250 lx melEDI"
73,"Mean timing of exposure above 250 lx melEDI"
74,"Midpoint of the darkest 10 hours"
75,"Midpoint of the brightest 10 hours"
76,"Longest continuous period above 250 lx melEDI"
77,"Time below 1 lx melEDI during sleep"
78,"Time below 10 lx melEDI before sleep"
79,"Time above 250 lx melEDI during wake"
80,"Time above 1,000 lx melEDI"
81,"Darkest 10 h mean"
82,"Brightest 10 h mean"
83,"Mean melEDI"
84,"Intradaily variability"
85,"Interdaily stability"
86,"F2: Spending time outdoors"
87,"F3: Using phones and smartwatches in bed before sleep"
88,"F4: Controlling and using ambient light before bedtime"
89,"F5: Using light in the morning and during daytime"
90,"Model-scale effect"
91,"per LEBA SD"
92,"-0.3"
93,"-0.2"
94,"-0.1"
95,"0.0"
96,"0.1"
97,"0.2"
98,"0.3"
99,"Cell values are reader-scale effects per participant SD;"
100,"grey cells are unfit for inference; no association remained after the 68-test adjustment"
101,"Near-eye associations between LEBA factors and personal light exposure"
