"label","title","canonical_source_fragment","fragment_whole_file_sha256","rendered_source_html_in_current_export","rendered_source_html_whole_file_sha256","source_table_element_sha256_in_current_export","latest_corrected_main_html","latest_corrected_main_html_sha256","current_editable_docx","current_editable_docx_sha256","required_action","writer_action","key","in_B","native_action","new_native_tables_in_document","candidate_source","candidate_source_sha256","source_status"
"Table_1","Participant and measurement characteristics","manuscript/R0_NatHealth/display_assets/table1_participant_site.html","95781f53b177f06750c4503f8861fb605e4c9f293de5112131c523d8cc41e4ea","audit/manuscript_nature_health/revision_2026_09_11/manuscript_render/ZaunerEtAl2026_NatHealth_phase3_brown.html","6a9b6b5707b8848cd4b3134528ede4b6ce0817c345352d5b52ed431f0cda6b0f","00c62ea74ce921932bfdb0a183b6fb6bde354ca65cc156fad1b66a82b1cfc3e3","audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/render_html_attempt2/ZaunerEtAl2026_NatHealth_phase3_brown.html","acf0400d876a2d6ff9e1d69694e5843f79360573e9fc5a9db4bdbcf4b7cd2c78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_1.docx","5d09fe9d798c78295d5e8f783e0d73aaee81e1331f0527aa8e860f3bc2d70049","Retain exact accepted DOCX and prior visual evidence unless final accepted source mapping demonstrates a changed table","reuse_native_docx_byte_exact_and_reuse_prior_QA","main_table_1",FALSE,"REUSE byte-exact native DOCX; do not re-export",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table1_participant_site.html","95781f53b177f06750c4503f8861fb605e4c9f293de5112131c523d8cc41e4ea","Unchanged pinned fragment; retain latest display overlay and prior accepted appearance"
"Table_2","Recommendation adherence","manuscript/R0_NatHealth/display_assets/table2_brown_adherence.html","6f7367bf3e8d5ea657c18f11217a197265311bd08a8292dcbaaad30e8ba41d9a","audit/manuscript_nature_health/revision_2026_09_11/manuscript_render/ZaunerEtAl2026_NatHealth_phase3_brown.html","6a9b6b5707b8848cd4b3134528ede4b6ce0817c345352d5b52ed431f0cda6b0f","7a52f532098b3423cbed44e030ec5a6a3c4361b5425a55cd93b31bdfa2c07543","audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/render_html_attempt2/ZaunerEtAl2026_NatHealth_phase3_brown.html","acf0400d876a2d6ff9e1d69694e5843f79360573e9fc5a9db4bdbcf4b7cd2c78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_2.docx","a29823ac1f1b2455486d7d4f569c0f8a2d3f7f08bed47f10f6b660bbe4e6b4a0","Export this one combined accepted-result candidate after source/visual acceptance","primary_sample_combined_table_source_implemented","main_table_2",TRUE,"NEW: one Table_2.docx containing one primary-sample native table",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_01/source/table2_primary_adherence.html","57d87bee7b45f043d06ddc434ec627698ba2813f8680308f592a24965718025f","Author instruction 005: three rows, seven columns; separate descriptive fractions and primary any-valid fitted estimates"
"Table_3","Near-eye metrics and geographic and photoperiod context","manuscript/R0_NatHealth/display_assets/table3_metric_context.html","d50b25afae95a95d61641349116e504a2bbf06780b43a46b195ac468246e8dc2","audit/manuscript_nature_health/revision_2026_09_11/manuscript_render/ZaunerEtAl2026_NatHealth_phase3_brown.html","6a9b6b5707b8848cd4b3134528ede4b6ce0817c345352d5b52ed431f0cda6b0f","8a56380c224726998cdba87bcf8f4b848bf95387a258d9fabfb1d5ffd8fe2118","audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/render_html_attempt2/ZaunerEtAl2026_NatHealth_phase3_brown.html","acf0400d876a2d6ff9e1d69694e5843f79360573e9fc5a9db4bdbcf4b7cd2c78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_3.docx","54a31ca2ebfc7c6030971312bd3aafb43f53f792e0de84aa514bdd53cab82bd3","Retain exact accepted DOCX and prior visual evidence unless final accepted source mapping demonstrates a changed table","reuse_native_docx_byte_exact_and_reuse_prior_QA","main_table_3",FALSE,"REUSE byte-exact native DOCX; do not re-export",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table3_metric_context.html","d50b25afae95a95d61641349116e504a2bbf06780b43a46b195ac468246e8dc2","Unchanged pinned fragment; retain latest display overlay and prior accepted appearance"
"Table_S1","Descriptive sample flow","audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-descriptive-sample-flow.html","5f856811303db236267269216d61176ff54283174bc824c7f82744f67c2f62c7","audit/manuscript_nature_health/revision_2026_09_11/manuscript_render/ZaunerEtAl2026_NatHealth_phase3_brown.html","6a9b6b5707b8848cd4b3134528ede4b6ce0817c345352d5b52ed431f0cda6b0f","642fd7148a0966168af123456eb45361e6cdbef7cd44e08a39e3a5baf48af02e","audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/render_html_attempt2/ZaunerEtAl2026_NatHealth_phase3_brown.html","acf0400d876a2d6ff9e1d69694e5843f79360573e9fc5a9db4bdbcf4b7cd2c78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_S1.docx","9ece9a78981962ffb5a2e067e3937582484babe27d7afb050e953413de5ed24f","Retain exact accepted DOCX and prior visual evidence unless final accepted source mapping demonstrates a changed table","reuse_native_docx_byte_exact_and_reuse_prior_QA","supp_table_s1",FALSE,"REUSE byte-exact native DOCX; do not re-export",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-descriptive-sample-flow.html","5f856811303db236267269216d61176ff54283174bc824c7f82744f67c2f62c7","Unchanged pinned fragment; retain latest display overlay and prior accepted appearance"
"Table_S2","Full near-eye metric dictionary and distributions","audit/manuscript_nature_health/figure_table_selection_assets/tbl-near-eye-metrics.html","6832c791ed3ebcf8895106dafe68c7c5118a12a74e37aacdeb8a84b02d9bfe97","audit/manuscript_nature_health/revision_2026_09_11/manuscript_render/ZaunerEtAl2026_NatHealth_phase3_brown.html","6a9b6b5707b8848cd4b3134528ede4b6ce0817c345352d5b52ed431f0cda6b0f","4e014b2db9602043d0fd13ba01baa7dcc50a26e335982af64bb5cbaedd808313","audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/render_html_attempt2/ZaunerEtAl2026_NatHealth_phase3_brown.html","acf0400d876a2d6ff9e1d69694e5843f79360573e9fc5a9db4bdbcf4b7cd2c78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_S2.docx","dafc44b0f41e91537d24aefda9c78772ff4c5f6a403594a8e56b373275ffc675","Apply exact semantic mean plus-minus SD no-break repair in candidate HTML/capture/native exporter; propagate three PNG parts, native DOCX and ZIP","new_native_export_only_S2_no_break_width; optional_numeric_minus_one_pt","supp_table_s2",FALSE,"NEW: width/whole-mean-SD no-break repair only; first trial has no font reduction",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/tbl-near-eye-metrics.html","6832c791ed3ebcf8895106dafe68c7c5118a12a74e37aacdeb8a84b02d9bfe97","Unchanged pinned fragment; retain latest display overlay and prior accepted appearance"
"Table_S3","Descriptive recommendation-range fractions","manuscript/R0_NatHealth/display_assets/table_s3_recommendation_windows.html","33ebc99f976acffb54082eb7afd4a6b44549b3f9de330dea998ce2f69c4ba6e6","audit/manuscript_nature_health/revision_2026_09_11/manuscript_render/ZaunerEtAl2026_NatHealth_phase3_brown.html","6a9b6b5707b8848cd4b3134528ede4b6ce0817c345352d5b52ed431f0cda6b0f","ed2f9ded07c3fc8fe847fa2d0f2370bfcb06dcce67059a2c9b7243bb72bc8120","audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/render_html_attempt2/ZaunerEtAl2026_NatHealth_phase3_brown.html","acf0400d876a2d6ff9e1d69694e5843f79360573e9fc5a9db4bdbcf4b7cd2c78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_S3.docx","29d32faf828a660ff8179f95de219aef2d69a23c1a33870a20f19dfa6cb99e5d","Reconfirm descriptive/exploratory context against accepted Brown package; re-export only if explicitly changed","reconfirm_Brown_scope_then_reuse_if_unchanged","supp_table_s3",FALSE,"REUSE byte-exact native DOCX; do not re-export",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table_s3_recommendation_windows.html","33ebc99f976acffb54082eb7afd4a6b44549b3f9de330dea998ce2f69c4ba6e6","Unchanged descriptive pooled-minute fractions; not replaced by main-model period estimates"
"Table_S4","Exploratory cross-window recommendation-adherence associations","audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-cross-window-associations.html","9dc92f253ecb1f0d83256a14db5002a3850c8c1f11c3840e628b7feea1e6a1a6","audit/manuscript_nature_health/revision_2026_09_11/manuscript_render/ZaunerEtAl2026_NatHealth_phase3_brown.html","6a9b6b5707b8848cd4b3134528ede4b6ce0817c345352d5b52ed431f0cda6b0f","99dea59c500351f4a0f160495cdef4890337e9b54eb265ebbd662e381d156308","audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/render_html_attempt2/ZaunerEtAl2026_NatHealth_phase3_brown.html","acf0400d876a2d6ff9e1d69694e5843f79360573e9fc5a9db4bdbcf4b7cd2c78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_S4.docx","449372acfb60acba928d40240792575a20be572622fcdb8bac7ae619dac38f5e","Reconfirm descriptive/exploratory context against accepted Brown package; re-export only if explicitly changed","reconfirm_Brown_scope_then_reuse_if_unchanged","supp_table_s4",FALSE,"REUSE byte-exact native DOCX; do not re-export",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-cross-window-associations.html","9dc92f253ecb1f0d83256a14db5002a3850c8c1f11c3840e628b7feea1e6a1a6","Unchanged four-effect exploratory extension; sample, CIs, FDR and withheld within-participant claim checked against final accepted sources"
"Table_S5","Near-eye fitted-curve dispersion and full-model R² allocation","audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-glasses-variation-shapley-gt-candidate.html","1147881a649557c66e9f494193bbe521ef429eec533e5c3787e41b9817bb0a28","audit/manuscript_nature_health/revision_2026_09_11/manuscript_render/ZaunerEtAl2026_NatHealth_phase3_brown.html","6a9b6b5707b8848cd4b3134528ede4b6ce0817c345352d5b52ed431f0cda6b0f","28e7c83dc87b8497ca3c2d37229e57f4d7172f2a66ded901a10f7837b1b76838","audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/render_html_attempt2/ZaunerEtAl2026_NatHealth_phase3_brown.html","acf0400d876a2d6ff9e1d69694e5843f79360573e9fc5a9db4bdbcf4b7cd2c78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_S5.docx","2c572a23620b5c6851275901842f814db5768139ef3bdf509dd35f91dc858aa0","Retain exact accepted DOCX and prior visual evidence unless final accepted source mapping demonstrates a changed table","reuse_native_docx_byte_exact_and_reuse_prior_QA","supp_table_s5",FALSE,"REUSE byte-exact native DOCX; do not re-export",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-glasses-variation-shapley-gt-candidate.html","1147881a649557c66e9f494193bbe521ef429eec533e5c3787e41b9817bb0a28","Unchanged pinned fragment; retain latest display overlay and prior accepted appearance"
"Table_S6","Chest fitted-curve dispersion and full-model R² allocation","audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-chest-variation-shapley-gt-candidate.html","1fd4579929dcacccbd6258e007f29367d9738d1a3b162abfe23936fc922ac3d8","audit/manuscript_nature_health/revision_2026_09_11/manuscript_render/ZaunerEtAl2026_NatHealth_phase3_brown.html","6a9b6b5707b8848cd4b3134528ede4b6ce0817c345352d5b52ed431f0cda6b0f","48231c48ec21b1b9a15f907757a56ba7c1da39b8b6160a69406201157e47538e","audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/render_html_attempt2/ZaunerEtAl2026_NatHealth_phase3_brown.html","acf0400d876a2d6ff9e1d69694e5843f79360573e9fc5a9db4bdbcf4b7cd2c78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_S6.docx","2be5f95d9d762072e22ea6c629865b733a262d8ab8e7b11e81904ae9f7106dce","Retain exact accepted DOCX and prior visual evidence unless final accepted source mapping demonstrates a changed table","reuse_native_docx_byte_exact_and_reuse_prior_QA","supp_table_s6",FALSE,"REUSE byte-exact native DOCX; do not re-export",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-chest-variation-shapley-gt-candidate.html","1fd4579929dcacccbd6258e007f29367d9738d1a3b162abfe23936fc922ac3d8","Unchanged pinned fragment; retain latest display overlay and prior accepted appearance"
"Table_S7","Geographic and photoperiod associations","manuscript/R0_NatHealth/display_assets/table_s6_geographic_associations.html","f18fdc5b9912d1d0ab0ff7be6fdcd230223837f4dfa2f32456583e3055f70a78","audit/manuscript_nature_health/revision_2026_09_11/manuscript_render/ZaunerEtAl2026_NatHealth_phase3_brown.html","6a9b6b5707b8848cd4b3134528ede4b6ce0817c345352d5b52ed431f0cda6b0f","1bb9a0ada306de9dc0f3be1b7f18215cf04f0b8e7c9fbc647db465453232dde0","audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/render_html_attempt2/ZaunerEtAl2026_NatHealth_phase3_brown.html","acf0400d876a2d6ff9e1d69694e5843f79360573e9fc5a9db4bdbcf4b7cd2c78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_S7.docx","9ec20d78bffd51bc6e27fe08e255cb6450a04e732e2d8da830d3d6cb4c4fe96a","Retain exact accepted DOCX and prior visual evidence unless final accepted source mapping demonstrates a changed table","reuse_native_docx_byte_exact_and_reuse_prior_QA","supp_table_s7",FALSE,"REUSE byte-exact native DOCX; do not re-export",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table_s6_geographic_associations.html","f18fdc5b9912d1d0ab0ff7be6fdcd230223837f4dfa2f32456583e3055f70a78","Unchanged pinned fragment; retain latest display overlay and prior accepted appearance"
