path,scope,pre_sha256,pre_bytes,post_sha256,post_bytes,status
notebooks/hypotheses/H06.qmd,mutable or controlling source,938f1a253bffefa99947783dc1ae4c739f92ad82fb224a4d8626d91bcebea061,60541,468ecebe8485de05d2bc47bb4a0948a3eaf8308c7ea1fdf6dacb54316a7544e2,60677,authorized change
audit/hypotheses/H06/H06_analysis_preparation.qmd,mutable or controlling source,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,59613,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,59613,unchanged
audit/handoffs/H06_worker_handoff.md,mutable or controlling source,5bf8dc5a5ee0a27f15edeceef1aaac7d10fd3d0bbf1895517fea8451cdea99a3,10408,21b37d161f07ec27a2802239a3999621f484b9d697c7cddaf3a73f6c09fe4e90,11453,authorized change
tests/hypotheses/H06/test_h06_report017_source_harmonization_37a.R,mutable or controlling source,not present at dispatch,not present at dispatch,fd8b4b5243d9942075a4845ea3fe21ace64fd5cc62300d8cd42b4b86c3eadb61,52962,new
_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html,protected read-only input,222894f4416f6f4d48bace8e9bfa9c08d22f22d613bf2b0c1e5440b0485efcae,771694,222894f4416f6f4d48bace8e9bfa9c08d22f22d613bf2b0c1e5440b0485efcae,771694,unchanged
_build/nathealth/notebooks/hypotheses/H06.html,protected read-only input,ff3518c09a4322dc8a2c23a961f2ef3ffc8d124843874547a40415c8330fd555,6109797,ff3518c09a4322dc8a2c23a961f2ef3ffc8d124843874547a40415c8330fd555,6109797,unchanged
_quarto-nathealth.yml,protected read-only input,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,unchanged
artifacts/06_model_data/H06/H06_category_cells.csv,protected read-only input,2285e77afc2b24709de5936e29517b0f85a1945c81a6d7af4763eb9a56bfb36c,17784,2285e77afc2b24709de5936e29517b0f85a1945c81a6d7af4763eb9a56bfb36c,17784,unchanged
artifacts/06_model_data/H06/H06_exact_samples.csv,protected read-only input,98dcf8c8228eae31c1d077152918469176bc8206cbc233f8821cd0e590e45f32,1392,98dcf8c8228eae31c1d077152918469176bc8206cbc233f8821cd0e590e45f32,1392,unchanged
artifacts/06_model_data/H06/H06_exploratory_two_part_formula_registry.csv,protected read-only input,0d55a1320de4539953922165cbe1abd9587cd8b60af3ad715b3ad4bec4d09567,1882,0d55a1320de4539953922165cbe1abd9587cd8b60af3ad715b3ad4bec4d09567,1882,unchanged
artifacts/06_model_data/H06/H06_multiplicity_registry.csv,protected read-only input,cb1719e0c3b2e030be530380d01406fb99be85679f897df424c0a3d676b61050,376,cb1719e0c3b2e030be530380d01406fb99be85679f897df424c0a3d676b61050,376,unchanged
artifacts/07_models/H06/H06_exploratory_time_of_day_two_part.rds,protected read-only input,70e6b1be3b33f3bbac0ceb8d8d2938022b886244b32289ce4691d10fa756c5c1,200385952,70e6b1be3b33f3bbac0ceb8d8d2938022b886244b32289ce4691d10fa756c5c1,200385952,unchanged
artifacts/07_models/H06/H06_robust_core_models.rds,protected read-only input,a0247d023c94e8e8cbaf1a85faa24f41d8b89c7f56a9a71e73bb9129c8eca271,7404368,a0247d023c94e8e8cbaf1a85faa24f41d8b89c7f56a9a71e73bb9129c8eca271,7404368,unchanged
