record_type,site,Id,local_date,source_value,analysis_value,unit
largest_active_travel,THUAS,THUAS_S007,2025-04-10,11.666666666666666,11.666666666666666,hours
largest_active_travel,IZTECH,IZTECH_S015,2025-05-02,8.333333333333334,8.333333333333334,hours
largest_active_travel,FUSPCEU,FUSPCEU_S007,2024-10-26,8,8,hours
largest_active_travel,FUSPCEU,FUSPCEU_S007,2024-10-27,8,8,hours
largest_active_travel,KNUST,KNUST_S012,2025-01-11,8,8,hours
largest_sedentary_time_after_H06_adapter,IZTECH,IZTECH_S016,2025-05-11,1200,20,source minutes / analysis hours
largest_sedentary_time_after_H06_adapter,RISE,RISE_S002,2025-03-22,1050,17.5,source minutes / analysis hours
largest_sedentary_time_after_H06_adapter,RISE,RISE_S002,2025-03-23,960,16,source minutes / analysis hours
largest_sedentary_time_after_H06_adapter,IZTECH,IZTECH_S017,2025-06-01,930,15.5,source minutes / analysis hours
largest_sedentary_time_after_H06_adapter,UCR,UCR_S001,2025-06-18,930,15.5,source minutes / analysis hours
