component,basis_k,diagnostic_seed,diagnostic_rows,permutations,smooth,k',edf,k-index,p-value
occurrence,16,6316,16596,400,s(clock_hour):day_activity_groupWork day · Sedentary,14,7.947010065222066,0.7109258095733301,0
occurrence,16,6316,16596,400,s(clock_hour):day_activity_groupWork day · Active,14,9.219571252358024,0.7109258095733301,0
occurrence,16,6316,16596,400,s(clock_hour):day_activity_groupFree day · Sedentary,14,7.945069813719219,0.7109258095733301,0
occurrence,16,6316,16596,400,s(clock_hour):day_activity_groupFree day · Active,14,9.797888593454033,0.7109258095733301,0
occurrence,16,6316,16596,400,s(participant_key),137,95.11457689818755,,
occurrence,16,6316,16596,400,s(participant_day_key),715,1.2417789279299283e-4,,
positive_magnitude,16,6416,11899,400,s(clock_hour):day_activity_groupWork day · Sedentary,14,9.673447910598673,0.6272115287704524,0
positive_magnitude,16,6416,11899,400,s(clock_hour):day_activity_groupWork day · Active,14,10.996890396918214,0.6272115287704524,0
positive_magnitude,16,6416,11899,400,s(clock_hour):day_activity_groupFree day · Sedentary,14,9.161563052013163,0.6272115287704524,0
positive_magnitude,16,6416,11899,400,s(clock_hour):day_activity_groupFree day · Active,14,10.400038224067865,0.6272115287704524,0
positive_magnitude,16,6416,11899,400,s(participant_key),137,96.83018969384855,,
positive_magnitude,16,6416,11899,400,s(participant_day_key),715,2.4768834496215875e-4,,
