component,basis_k,diagnostic_seed,diagnostic_rows,permutations,smooth,k',edf,k-index,p-value
occurrence,12,6312,5000,400,s(clock_hour):day_activity_groupWork day · Sedentary,10,6.998924888694337,0.9507888114754983,0
occurrence,12,6312,5000,400,s(clock_hour):day_activity_groupWork day · Active,10,7.858281259213689,0.9507888114754983,0
occurrence,12,6312,5000,400,s(clock_hour):day_activity_groupFree day · Sedentary,10,7.05030757008171,0.9507888114754983,0
occurrence,12,6312,5000,400,s(clock_hour):day_activity_groupFree day · Active,10,8.274683318005758,0.9507888114754983,0
occurrence,12,6312,5000,400,s(participant_key),137,95.26132787609536,,
occurrence,12,6312,5000,400,s(participant_day_key),715,1.2661923014267221e-4,,
positive_magnitude,12,6412,5000,400,s(clock_hour):day_activity_groupWork day · Sedentary,10,8.045105380921369,0.7966680916902331,0.0025
positive_magnitude,12,6412,5000,400,s(clock_hour):day_activity_groupWork day · Active,10,8.76920273995951,0.7966680916902331,0.015
positive_magnitude,12,6412,5000,400,s(clock_hour):day_activity_groupFree day · Sedentary,10,7.7500013923911215,0.7966680916902331,0.005
positive_magnitude,12,6412,5000,400,s(clock_hour):day_activity_groupFree day · Active,10,8.480178389167746,0.7966680916902331,0.01
positive_magnitude,12,6412,5000,400,s(participant_key),137,95.17541141627548,,
positive_magnitude,12,6412,5000,400,s(participant_day_key),715,2.528439129917769e-4,,
occurrence,16,6316,5000,400,s(clock_hour):day_activity_groupWork day · Sedentary,14,7.947010065222066,0.9935724115698656,0.3675
occurrence,16,6316,5000,400,s(clock_hour):day_activity_groupWork day · Active,14,9.219571252358024,0.9935724115698656,0.3625
occurrence,16,6316,5000,400,s(clock_hour):day_activity_groupFree day · Sedentary,14,7.945069813719219,0.9935724115698656,0.395
occurrence,16,6316,5000,400,s(clock_hour):day_activity_groupFree day · Active,14,9.797888593454033,0.9935724115698656,0.415
occurrence,16,6316,5000,400,s(participant_key),137,95.11457689818755,,
occurrence,16,6316,5000,400,s(participant_day_key),715,1.2417789279299283e-4,,
positive_magnitude,16,6416,5000,400,s(clock_hour):day_activity_groupWork day · Sedentary,14,9.673447910598673,0.81303831561406,0.375
positive_magnitude,16,6416,5000,400,s(clock_hour):day_activity_groupWork day · Active,14,10.996890396918214,0.81303831561406,0.3575
positive_magnitude,16,6416,5000,400,s(clock_hour):day_activity_groupFree day · Sedentary,14,9.161563052013163,0.81303831561406,0.4025
positive_magnitude,16,6416,5000,400,s(clock_hour):day_activity_groupFree day · Active,14,10.400038224067865,0.81303831561406,0.3675
positive_magnitude,16,6416,5000,400,s(participant_key),137,96.83018969384855,,
positive_magnitude,16,6416,5000,400,s(participant_day_key),715,2.4768834496215875e-4,,
