run_id,model_role,working_power,covariance_type,covariance_warnings,covariance_error,dimension,finite,numerical_rank,positive_definite,minimum_eigenvalue,maximum_eigenvalue,condition_number
main__glasses__all_available,additive,1,HC0,,,12,TRUE,12,TRUE,0.00208171002748473,0.09775564728697816,46.95930076538733
main__glasses__all_available,additive,1,HC1,,,12,TRUE,12,TRUE,0.0020830908047581864,0.09782048762225054,46.95930076538643
main__glasses__all_available,additive,1,HC2,,,12,TRUE,12,TRUE,0.00227230382435176,0.10613593825929313,46.708515437882284
main__glasses__all_available,additive,1,HC3,,,12,TRUE,12,TRUE,0.0024968395636258897,0.11646489144071062,46.64492390195118
main__glasses__all_available,full,1,HC0,,,36,TRUE,36,TRUE,1.9236608140894428e-4,0.4577615704171756,2379.6376526693207
main__glasses__all_available,full,1,HC1,,,36,TRUE,36,TRUE,1.9277265223320824e-4,0.4587290616589982,2379.6376526689432
main__glasses__all_available,full,1,HC2,,,36,TRUE,36,TRUE,2.4129994537996883e-4,0.5666620197446073,2348.3719354030486
main__glasses__all_available,full,1,HC3,,,36,TRUE,36,TRUE,3.09071854038412e-4,0.7173083353797174,2320.8465151620344
main__chest__all_available,additive,1,HC0,,,11,TRUE,11,TRUE,0.0012333968998848304,0.08963289437273078,72.67157423624167
main__chest__all_available,additive,1,HC1,,,11,TRUE,11,TRUE,0.0012340693806110101,0.08968176460574583,72.6715742362417
main__chest__all_available,additive,1,HC2,,,11,TRUE,11,TRUE,0.0013051197082341473,0.09785204906966151,74.9755355407645
main__chest__all_available,additive,1,HC3,,,11,TRUE,11,TRUE,0.0013893114432689823,0.10806959896868316,77.78644557508333
main__chest__all_available,full,1,HC0,,,32,TRUE,32,TRUE,1.5843411093443676e-4,0.8889591974844773,5610.907854637103
main__chest__all_available,full,1,HC1,,,32,TRUE,32,TRUE,1.587022035894196e-4,0.8904634406679939,5610.907854636491
main__chest__all_available,full,1,HC2,,,32,TRUE,32,TRUE,1.8267758066750338e-4,1.1484089202343433,6286.534538272624
main__chest__all_available,full,1,HC3,,,32,TRUE,32,TRUE,2.1557858146175514e-4,1.5046151225073081,6979.42769780325
main__glasses__paired_common,additive,1,HC0,,,11,TRUE,11,TRUE,0.002367866769933497,0.1027861518298513,43.40875641104509
main__glasses__paired_common,additive,1,HC1,,,11,TRUE,11,TRUE,0.002369712196455131,0.10286625950020419,43.40875641104542
main__glasses__paired_common,additive,1,HC2,,,11,TRUE,11,TRUE,0.0026112211370468465,0.11306089922886044,43.2980943761532
main__glasses__paired_common,additive,1,HC3,,,11,TRUE,11,TRUE,0.0029030856264036535,0.1263706291150518,43.52976294109517
main__glasses__paired_common,full,1,HC0,,,32,TRUE,32,TRUE,1.9696864879912966e-4,0.4555116391710512,2312.609859224784
main__glasses__paired_common,full,1,HC1,,,32,TRUE,32,TRUE,1.9744530985400062e-4,0.4566139702260331,2312.609859224677
main__glasses__paired_common,full,1,HC2,,,32,TRUE,32,TRUE,2.4733959577911713e-4,0.5625255485447715,2274.304471036358
main__glasses__paired_common,full,1,HC3,,,32,TRUE,32,TRUE,3.179520452228324e-4,0.7118700733444825,2238.922768512396
main__chest__paired_common,additive,1,HC0,,,11,TRUE,11,TRUE,0.002184833029184303,0.1097227853558228,50.220215407850766
main__chest__paired_common,additive,1,HC1,,,11,TRUE,11,TRUE,0.002186535806075565,0.10980829917809369,50.22021540785086
main__chest__paired_common,additive,1,HC2,,,11,TRUE,11,TRUE,0.0023839177547798807,0.11657679704927286,48.90135023137029
main__chest__paired_common,additive,1,HC3,,,11,TRUE,11,TRUE,0.002621536795051128,0.1256750594320033,47.93946042231776
main__chest__paired_common,full,1,HC0,,,32,TRUE,32,TRUE,1.492898602223215e-4,0.836946868711631,5606.186967187558
main__chest__paired_common,full,1,HC1,,,32,TRUE,32,TRUE,1.4965113935321356e-4,0.8389722670668283,5606.186967188048
main__chest__paired_common,full,1,HC2,,,32,TRUE,32,TRUE,1.7042789227716474e-4,1.0741093454671375,6302.426974337786
main__chest__paired_common,full,1,HC3,,,32,TRUE,32,TRUE,2.009646153889793e-4,1.4063014669056262,6997.756615927852
gap_timing_unaware__glasses__all_available,additive,1,HC0,,,12,TRUE,12,TRUE,0.0020711720718037505,0.09069186930230531,43.787703849889795
gap_timing_unaware__glasses__all_available,additive,1,HC1,,,12,TRUE,12,TRUE,0.002072568339058129,0.09075300863933583,43.78770384989003
gap_timing_unaware__glasses__all_available,additive,1,HC2,,,12,TRUE,12,TRUE,0.0022623452437399057,0.09828370417966477,43.443282784368925
gap_timing_unaware__glasses__all_available,additive,1,HC3,,,12,TRUE,12,TRUE,0.002488085425933284,0.10804223675099887,43.42384534906879
gap_timing_unaware__glasses__all_available,full,1,HC0,,,36,TRUE,36,TRUE,2.04145420331432e-4,0.46321867044458787,2269.062267929146
gap_timing_unaware__glasses__all_available,full,1,HC1,,,36,TRUE,36,TRUE,2.045839577223839e-4,0.46421373909159336,2269.062267929735
gap_timing_unaware__glasses__all_available,full,1,HC2,,,36,TRUE,36,TRUE,2.640395860327459e-4,0.5737769451344379,2173.071673666685
gap_timing_unaware__glasses__all_available,full,1,HC3,,,36,TRUE,36,TRUE,3.3914687727486866e-4,0.7271850903194179,2144.159769839354
gap_timing_unaware__chest__all_available,additive,1,HC0,,,11,TRUE,11,TRUE,0.0012069428809807364,0.09649969776605999,79.95382323946131
gap_timing_unaware__chest__all_available,additive,1,HC1,,,11,TRUE,11,TRUE,0.0012076096634131845,0.09655300957080333,79.95382323946149
gap_timing_unaware__chest__all_available,additive,1,HC2,,,11,TRUE,11,TRUE,0.001273750974216143,0.10639728698160773,83.53068153457849
gap_timing_unaware__chest__all_available,additive,1,HC3,,,11,TRUE,11,TRUE,0.001352433024743974,0.11817538403199628,87.379842010563
gap_timing_unaware__chest__all_available,full,1,HC0,,,32,TRUE,32,TRUE,1.6596256881620092e-4,0.8888934881467803,5355.987765718461
gap_timing_unaware__chest__all_available,full,1,HC1,,,32,TRUE,32,TRUE,1.6624712853043663e-4,0.8904175864948194,5355.987765718319
gap_timing_unaware__chest__all_available,full,1,HC2,,,32,TRUE,32,TRUE,1.880857802175509e-4,1.1483170285028206,6105.283595466975
gap_timing_unaware__chest__all_available,full,1,HC3,,,32,TRUE,32,TRUE,2.1710004327924108e-4,1.5044790594302477,6929.888344126852
