component,basis_k,.type,.term,.concurvity
occurrence,12,worst,para,0.9999999999999987
occurrence,12,worst,s(clock_hour):day_activity_groupWork day · Sedentary,0.4454532405870779
occurrence,12,worst,s(clock_hour):day_activity_groupWork day · Active,0.1912517915838714
occurrence,12,worst,s(clock_hour):day_activity_groupFree day · Sedentary,0.19629085972867394
occurrence,12,worst,s(clock_hour):day_activity_groupFree day · Active,0.11545635250566148
occurrence,12,worst,s(participant_key),1.0000000000000044
occurrence,12,worst,s(participant_day_key),1.0000000000000027
occurrence,12,observed,para,0.9999999999999988
occurrence,12,observed,s(clock_hour):day_activity_groupWork day · Sedentary,0.15591203084894273
occurrence,12,observed,s(clock_hour):day_activity_groupWork day · Active,0.05501363835547138
occurrence,12,observed,s(clock_hour):day_activity_groupFree day · Sedentary,0.0559233916803511
occurrence,12,observed,s(clock_hour):day_activity_groupFree day · Active,0.052653360372101755
occurrence,12,observed,s(participant_key),0.9999999999999998
occurrence,12,observed,s(participant_day_key),0.0906086408528985
occurrence,12,estimate,para,1
occurrence,12,estimate,s(clock_hour):day_activity_groupWork day · Sedentary,0.11658022631874645
occurrence,12,estimate,s(clock_hour):day_activity_groupWork day · Active,0.08139321000446362
occurrence,12,estimate,s(clock_hour):day_activity_groupFree day · Sedentary,0.07112995464494729
occurrence,12,estimate,s(clock_hour):day_activity_groupFree day · Active,0.06037803928776206
occurrence,12,estimate,s(participant_key),1
occurrence,12,estimate,s(participant_day_key),0.19803092732473407
positive_magnitude,12,worst,para,0.9999999999999993
positive_magnitude,12,worst,s(clock_hour):day_activity_groupWork day · Sedentary,0.6341629269310558
positive_magnitude,12,worst,s(clock_hour):day_activity_groupWork day · Active,0.7484035280129051
positive_magnitude,12,worst,s(clock_hour):day_activity_groupFree day · Sedentary,0.5632061329108995
positive_magnitude,12,worst,s(clock_hour):day_activity_groupFree day · Active,0.5939990050805528
positive_magnitude,12,worst,s(participant_key),1.0000000000000027
positive_magnitude,12,worst,s(participant_day_key),1.000000000000003
positive_magnitude,12,observed,para,1
positive_magnitude,12,observed,s(clock_hour):day_activity_groupWork day · Sedentary,0.35337588882322313
positive_magnitude,12,observed,s(clock_hour):day_activity_groupWork day · Active,0.430197243175136
positive_magnitude,12,observed,s(clock_hour):day_activity_groupFree day · Sedentary,0.3359560812756978
positive_magnitude,12,observed,s(clock_hour):day_activity_groupFree day · Active,0.3454506558571688
