component,basis_k,residual_type,sequence,observations,lag1
occurrence,12,AR_standardized,BAUA::BAUA_S002::2025-06-11::1,24,-0.06088040699304149
occurrence,12,AR_standardized,BAUA::BAUA_S002::2025-06-12::1,24,-0.05938506969319565
occurrence,12,AR_standardized,BAUA::BAUA_S002::2025-06-13::1,16,0.04026469380987647
occurrence,12,AR_standardized,BAUA::BAUA_S002::2025-06-13::2,6,-0.8884694981356459
occurrence,12,AR_standardized,BAUA::BAUA_S002::2025-06-14::1,13,0.07637547153631649
occurrence,12,AR_standardized,BAUA::BAUA_S002::2025-06-14::2,10,-0.7851393413335316
occurrence,12,AR_standardized,BAUA::BAUA_S002::2025-06-15::1,24,0.19927475534416836
occurrence,12,AR_standardized,BAUA::BAUA_S002::2025-06-16::1,24,0.2767554668065124
occurrence,12,AR_standardized,BAUA::BAUA_S003::2025-06-11::1,24,0.03694488277060812
occurrence,12,AR_standardized,BAUA::BAUA_S003::2025-06-12::1,24,-0.23636905469055694
occurrence,12,AR_standardized,BAUA::BAUA_S003::2025-06-13::1,24,0.2065585436657924
occurrence,12,AR_standardized,BAUA::BAUA_S003::2025-06-14::1,24,-0.012175483705015833
occurrence,12,AR_standardized,BAUA::BAUA_S003::2025-06-16::1,24,-0.30238209055549214
occurrence,12,AR_standardized,BAUA::BAUA_S004::2025-06-11::1,18,-0.14390182447553562
occurrence,12,AR_standardized,BAUA::BAUA_S004::2025-06-11::2,5,-0.03484934286480781
occurrence,12,AR_standardized,BAUA::BAUA_S004::2025-06-12::1,19,-0.13112365426198216
occurrence,12,AR_standardized,BAUA::BAUA_S004::2025-06-12::2,3,1
occurrence,12,AR_standardized,BAUA::BAUA_S004::2025-06-13::1,12,0.006435471834533768
occurrence,12,AR_standardized,BAUA::BAUA_S004::2025-06-13::2,11,0.9936209201659304
occurrence,12,AR_standardized,BAUA::BAUA_S004::2025-06-14::1,23,-0.21330732800991106
occurrence,12,AR_standardized,BAUA::BAUA_S004::2025-06-15::1,17,0.08108743473146691
occurrence,12,AR_standardized,BAUA::BAUA_S004::2025-06-15::2,5,-0.9169435098253377
occurrence,12,AR_standardized,BAUA::BAUA_S004::2025-06-16::1,18,-0.1416995314819192
occurrence,12,AR_standardized,BAUA::BAUA_S004::2025-06-16::2,4,-0.9916577585248233
occurrence,12,AR_standardized,BAUA::BAUA_S005::2025-06-11::1,17,-0.0857406926870996
occurrence,12,AR_standardized,BAUA::BAUA_S005::2025-06-11::3,3,1
occurrence,12,AR_standardized,BAUA::BAUA_S005::2025-06-12::1,13,0.15070800885335794
occurrence,12,AR_standardized,BAUA::BAUA_S005::2025-06-12::3,8,0.9987114637583956
occurrence,12,AR_standardized,BAUA::BAUA_S005::2025-06-13::1,13,-0.15746057972709898
occurrence,12,AR_standardized,BAUA::BAUA_S005::2025-06-13::2,3,-1
occurrence,12,AR_standardized,BAUA::BAUA_S005::2025-06-13::3,6,0.9951041191115894
occurrence,12,AR_standardized,BAUA::BAUA_S005::2025-06-14::1,24,-0.14093448723934016
occurrence,12,AR_standardized,BAUA::BAUA_S005::2025-06-15::1,24,-0.252688339447888
occurrence,12,AR_standardized,BAUA::BAUA_S006::2025-06-13::1,13,-0.30623281988990736
occurrence,12,AR_standardized,BAUA::BAUA_S006::2025-06-13::2,10,0.9961648330241497
occurrence,12,AR_standardized,BAUA::BAUA_S006::2025-06-15::1,24,0.2476549182315876
occurrence,12,AR_standardized,BAUA::BAUA_S007::2025-06-25::1,24,0.24031519164900533
occurrence,12,AR_standardized,BAUA::BAUA_S007::2025-06-26::1,24,0.1815306606110804
occurrence,12,AR_standardized,BAUA::BAUA_S007::2025-06-27::1,17,0.27189854626530635
occurrence,12,AR_standardized,BAUA::BAUA_S007::2025-06-27::2,6,-0.846011158055023
occurrence,12,AR_standardized,BAUA::BAUA_S007::2025-06-28::1,24,0.3405067876268675
occurrence,12,AR_standardized,BAUA::BAUA_S007::2025-06-29::1,9,0.14512574509504053
occurrence,12,AR_standardized,BAUA::BAUA_S007::2025-06-29::2,8,0.07715331788145517
occurrence,12,AR_standardized,BAUA::BAUA_S007::2025-06-29::3,4,-0.16390999275217252
occurrence,12,AR_standardized,BAUA::BAUA_S007::2025-06-30::1,13,0.2071600463289441
occurrence,12,AR_standardized,BAUA::BAUA_S007::2025-06-30::2,10,0.24149020390997586
occurrence,12,AR_standardized,BAUA::BAUA_S009::2025-06-25::1,21,0.22021384618657935
occurrence,12,AR_standardized,BAUA::BAUA_S009::2025-06-26::1,22,-0.26267091396451103
occurrence,12,AR_standardized,BAUA::BAUA_S009::2025-06-27::1,24,0.21871688281424007
occurrence,12,AR_standardized,BAUA::BAUA_S009::2025-06-28::1,24,-0.053628551720351234
occurrence,12,AR_standardized,BAUA::BAUA_S009::2025-06-29::1,24,0.01590379733715509
occurrence,12,AR_standardized,BAUA::BAUA_S009::2025-06-30::1,24,0.06831274479594908
