component,basis_k,smooth,edf,Ref.df,Chi.sq,p-value,F
occurrence,12,s(clock_hour):day_activity_groupWork day · Sedentary,6.998924888694337,10,510.53466633524545,0,
occurrence,12,s(clock_hour):day_activity_groupWork day · Active,7.858281259213689,10,1342.5182091856877,0,
occurrence,12,s(clock_hour):day_activity_groupFree day · Sedentary,7.05030757008171,10,386.5649989996018,0,
occurrence,12,s(clock_hour):day_activity_groupFree day · Active,8.274683318005758,10,974.9418774122921,0,
occurrence,12,s(participant_key),95.26132787609536,128,361.13922571968254,0,
occurrence,12,s(participant_day_key),1.2661923014267221e-4,702,7.513531949904298e-5,1,
positive_magnitude,12,s(clock_hour):day_activity_groupWork day · Sedentary,8.045105380921369,10,,0,42.47065151354646
positive_magnitude,12,s(clock_hour):day_activity_groupWork day · Active,8.76920273995951,10,,0,150.95791095545084
positive_magnitude,12,s(clock_hour):day_activity_groupFree day · Sedentary,7.7500013923911215,10,,0,25.559944512521323
positive_magnitude,12,s(clock_hour):day_activity_groupFree day · Active,8.480178389167746,10,,0,111.28134672788205
positive_magnitude,12,s(participant_key),95.17541141627548,128,,0,3.182455499067463
positive_magnitude,12,s(participant_day_key),2.528439129917769e-4,702,,0,3.248281911344945e-6
occurrence,16,s(clock_hour):day_activity_groupWork day · Sedentary,7.947010065222066,14,502.8119688277964,0,
occurrence,16,s(clock_hour):day_activity_groupWork day · Active,9.219571252358024,14,1332.1159648060825,0,
occurrence,16,s(clock_hour):day_activity_groupFree day · Sedentary,7.945069813719219,14,386.9499396236864,0,
occurrence,16,s(clock_hour):day_activity_groupFree day · Active,9.797888593454033,14,967.1486665583565,0,
occurrence,16,s(participant_key),95.11457689818755,128,359.3382473625878,0,
occurrence,16,s(participant_day_key),1.2417789279299283e-4,702,7.308696312873934e-5,1,
positive_magnitude,16,s(clock_hour):day_activity_groupWork day · Sedentary,9.673447910598673,14,,0,32.17158546551514
positive_magnitude,16,s(clock_hour):day_activity_groupWork day · Active,10.996890396918214,14,,0,108.97952432582431
positive_magnitude,16,s(clock_hour):day_activity_groupFree day · Sedentary,9.161563052013163,14,,0,19.300652151249967
positive_magnitude,16,s(clock_hour):day_activity_groupFree day · Active,10.400038224067865,14,,0,83.77408307397188
positive_magnitude,16,s(participant_key),96.83018969384855,128,,0,3.6075723728859104
positive_magnitude,16,s(participant_day_key),2.4768834496215875e-4,702,,0,0.008472581994483294
