run_id,model_role,lag_hours,residual_correlation,residual_pairs
main__glasses__all_available,additive,1,0.4638797551609462,15544
main__glasses__all_available,additive,2,0.2331181077380276,14520
main__glasses__all_available,additive,3,0.125677106607034,13533
main__glasses__all_available,additive,4,0.0845270040617517,12585
main__glasses__all_available,additive,5,0.03875709387276759,11668
main__glasses__all_available,additive,6,0.012734845445541017,10787
main__chest__all_available,additive,1,0.36637568457149494,17210
main__chest__all_available,additive,2,0.18655946816711425,16104
main__chest__all_available,additive,3,0.0914240176653182,15026
main__chest__all_available,additive,4,0.048608505150017606,13985
main__chest__all_available,additive,5,0.014523030843806541,12976
main__chest__all_available,additive,6,-0.00626104312049766,12003
main__glasses__paired_common,additive,1,0.4627312526756256,12027
main__glasses__paired_common,additive,2,0.2379832195135424,11236
main__glasses__paired_common,additive,3,0.1270665958191896,10472
main__glasses__paired_common,additive,4,0.0827850981815366,9739
main__glasses__paired_common,additive,5,0.038450788430720584,9032
main__glasses__paired_common,additive,6,0.011030315236726734,8353
main__chest__paired_common,additive,1,0.37554798527758093,12025
main__chest__paired_common,additive,2,0.1839770036363708,11232
main__chest__paired_common,additive,3,0.08639045662436498,10466
main__chest__paired_common,additive,4,0.04440124621368589,9731
main__chest__paired_common,additive,5,0.013651656064398186,9022
main__chest__paired_common,additive,6,-0.0074858720835674596,8341
gap_timing_unaware__glasses__all_available,additive,1,0.4605618676039173,15301
gap_timing_unaware__glasses__all_available,additive,2,0.2281221309371994,14300
gap_timing_unaware__glasses__all_available,additive,3,0.11998535929223492,13335
gap_timing_unaware__glasses__all_available,additive,4,0.08253647555675303,12407
gap_timing_unaware__glasses__all_available,additive,5,0.03870617631335994,11508
gap_timing_unaware__glasses__all_available,additive,6,0.01264214262697467,10644
gap_timing_unaware__chest__all_available,additive,1,0.3633553537626274,16996
gap_timing_unaware__chest__all_available,additive,2,0.18207145832982471,15914
gap_timing_unaware__chest__all_available,additive,3,0.08697247509455312,14859
gap_timing_unaware__chest__all_available,additive,4,0.045714457273440624,13839
gap_timing_unaware__chest__all_available,additive,5,0.012907987917042904,12849
gap_timing_unaware__chest__all_available,additive,6,-0.007751776783356668,11894
