deletion_type,deletion_unit,observations,participants,sites,additive_converged,additive_full_rank,additive_hc3_positive_definite,full_converged,full_design_full_rank,full_hc3_positive_definite,full_hc3_condition_number,log_estimate_shift,absolute_shift_full_hc3_se,predictor_id,full_log_estimate,full_log_standard_error,deletion_log_estimate,deletion_estimate_ratio,deletion_conf_low_ratio,deletion_conf_high_ratio
participant,BAUA::BAUA_S012,16465,136,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2340.2320799535278,-0.06529037875142679,0.5315218399862952,work_free_day,0.37236969771635997,0.12283668109124216,0.3070793189649332,1.359448793866818,1.0779567261487841,1.7144482503937397
participant,BAUA::BAUA_S012,16465,136,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2340.2320799535278,-0.05384510689617117,0.3645283772482225,activity_status,0.723722844168114,0.14771170163113473,0.6698777372719429,1.9539984048553927,1.456368008237954,2.6216655025242654
participant,BAUA::BAUA_S012,16465,136,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2340.2320799535278,-0.040572574926673016,0.5886414014700984,previous_sleep_duration_centered_h,-0.022456359710173235,0.06892579221465789,-0.06302893463684625,0.938916306093747,0.8344019926284202,1.0565217217084344
participant,BAUA::BAUA_S009,16456,136,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2338.0669094140685,-0.04683332199225371,0.38126495747199707,work_free_day,0.37236969771635997,0.12283668109124216,0.32553637572410626,1.3847732055483346,1.0850271248043897,1.7673261681364119
participant,BAUA::BAUA_S009,16456,136,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2338.0669094140685,-0.036578566882888075,0.24763486222799042,activity_status,0.723722844168114,0.14771170163113473,0.687144277285226,1.988030156301798,1.481272028407806,2.6681553601019337
participant,BAUA::BAUA_S009,16456,136,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2338.0669094140685,0.03790933206108807,0.5500021231968691,previous_sleep_duration_centered_h,-0.022456359710173235,0.06892579221465789,0.015452972350914836,1.0155729869252232,0.9060092750396455,1.138386239729265
participant,RISE::RISE_S012,16428,136,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2315.587512689881,-0.018630368205328873,0.15166779206196868,work_free_day,0.37236969771635997,0.12283668109124216,0.3537393295110311,1.4243838432499811,1.096825161490828,1.8497654905672516
participant,RISE::RISE_S012,16428,136,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2315.587512689881,-0.07193789218142721,0.48701552677979654,activity_status,0.723722844168114,0.14771170163113473,0.6517849519866868,1.918963030746505,1.4676864418347508,2.5089957966556056
participant,RISE::RISE_S012,16428,136,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2315.587512689881,-0.0217987403369918,0.31626390697263596,previous_sleep_duration_centered_h,-0.022456359710173235,0.06892579221465789,-0.044255100047165034,0.9567098696080971,0.8379361544510727,1.092319229506389
participant,RISE::RISE_S002,16455,136,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2314.1581920355065,0.013588640336571811,0.11062363632633701,work_free_day,0.37236969771635997,0.12283668109124216,0.3859583380529318,1.471023383839731,1.1544899460634015,1.8743426940891317
