run_id,model_role,site,work_free_day,activity_status,clock_hour_bin,one_hour_observations,participant_days,participants,residual_mean,residual_sd,fitted_mean,observed_mean,zero_fraction
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",0,27,27,11,-19.062398670619036,0.24012909248569228,363.49068508059776,0.030075052678849152,0.8888888888888888
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",1,28,28,11,-19.09671345187817,0.2936370563092398,364.7733399623482,0.0028662943727732456,0.9642857142857143
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",2,28,28,11,-19.096863153112665,0.2936623698642933,364.7733399623482,0,1
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",3,28,28,11,-19.096863153112665,0.2936623698642933,364.7733399623482,0,1
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",4,28,28,11,-19.096863153112665,0.2936623698642933,364.7733399623482,0,1
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",5,28,28,11,-19.096821502135768,0.2936538376257224,364.7733399623482,7.978252342123403e-4,0.8214285714285714
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",6,28,28,11,-18.852187345804992,0.8144950164010571,364.7733399623482,4.649633593549363,0.17857142857142858
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",7,27,27,11,-11.629092709588114,10.610410235401138,364.4492562702046,143.46607101096794,0.1111111111111111
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",8,25,25,10,-2.909813852263935,22.32314392896157,364.287820221015,307.5411253492129,0
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",9,28,28,11,-1.6792800358421593,21.69514899930082,364.7733399623482,331.29954062315187,0
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",10,28,28,11,1.7074897312928758,30.529090072702726,364.7733399623482,394.297613565212,0
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",11,28,28,11,1.9673673026425313,26.688972632554165,364.7733399623482,399.43371821422517,0
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",12,28,28,11,2.028651970012396,22.418154145676635,364.7733399623482,401.17992690613016,0
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",13,28,28,11,22.039691817167384,102.40685455558497,364.7733399623482,778.8147948480944,0
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",14,28,28,11,20.1492413679882,77.02105334027036,364.7733399623482,741.073803291007,0
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",15,28,28,11,16.179167022892358,54.03579889796224,364.7733399623482,666.3129106092551,0
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",16,27,27,10,21.97691165040542,74.27152906928211,365.32632860996034,783.621378131901,0.037037037037037035
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",17,26,26,10,28.938295796128536,117.23061656423269,365.1820838259266,921.1863479351448,0
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",18,26,26,9,12.415584088950794,70.75732607576563,365.36157783939376,599.0143937915224,0
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",19,26,26,10,-10.299201232895523,28.926084035933584,364.6430425067538,168.316854363118,0.038461538461538464
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",20,28,28,11,-14.279645487739494,16.20447863892922,364.7733399623482,91.97943478966337,0
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",21,27,27,11,-18.915651236354247,0.30501651705945915,364.4492562702046,3.306592570911301,0
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",22,26,26,11,-18.987754328135043,0.2723246051387707,364.47173911763184,1.947117948756847,0.23076923076923078
main__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",23,27,27,11,-19.051174607106063,0.2544841951630741,365.01221346686077,1.0112325538059175,0.5555555555555556
main__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",0,18,18,11,-22.82003969942533,0.2557019353722671,521.7543377430057,0.4713991759238394,0.7222222222222222
main__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",1,18,18,11,-22.832868233367677,0.2695530311800369,521.7543377430057,0.17341580819745342,0.9444444444444444
main__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",2,17,17,11,-22.84083499524883,0.2739013623184329,522.1770855359017,0.2019996288965185,0.9411764705882353
main__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",3,17,17,11,-22.848933613831235,0.2895107772773715,522.1770855359017,0.012216914770820283,0.7647058823529411
main__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",4,18,18,11,-22.77260817488676,0.31389726584406497,521.7543377430057,1.5495857381875051,0.8333333333333334
main__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",5,18,18,11,-22.395353576331626,1.0859093714614418,521.7543377430057,10.181885471734878,0.6666666666666666
main__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",6,18,18,11,-21.73307854757046,2.1341462666105535,521.7543377430057,25.377709658703008,0.2777777777777778
main__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",7,18,18,11,-18.74970201727983,12.737259533002396,521.7543377430057,94.03598309151253,0.16666666666666666
main__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",8,18,18,11,-13.01991096832226,15.432957220843923,521.7543377430057,223.3490638885484,0
main__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",9,18,18,11,34.74336221243961,190.40500204734937,521.7543377430057,1308.4973692263404,0
main__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",10,18,18,11,65.4864331887407,209.20157259299793,521.7543377430057,2012.3233701912034,0
