deletion_type,deletion_id,full_omnibus_p,deletion_omnibus_p,omnibus_decision_changed,ratio_relative_change_percent,full_ratio_inside_deletion_interval,run_id,placement,scenario_id,working_power,category_order,category_code,light_source,short_label,distribution,expected_mel_edi_lx,expected_conf_low_lx,expected_conf_high_lx,model_ratio_to_indoor,ratio_to_indoor,ratio_conf_low,ratio_conf_high,statistic,df,p_raw,estimability_status,hours,participants,participant_days,sites,family_id,family_n,p_adjusted,full_ratio,full_conf_low,full_conf_high,full_p_adjusted
site,BAUA,6.574149673174995e-45,3.9219982652640145e-37,FALSE,0,TRUE,influence__Chest__site__BAUA,Chest,delete_site,1.539919,1,electric_indoor,Electric light source indoors,Indoor electric,site_standardized,89.18898456863805,74.9115200328939,106.18760592351926,1,1,1,1,,131,,REFERENCE,5121,132,698,7,H03-I-Chest-site-context-contrasts,,,1,1,1,
site,BAUA,6.574149673174995e-45,3.9219982652640145e-37,FALSE,-17.966706597642567,TRUE,influence__Chest__site__BAUA,Chest,delete_site,1.539919,2,electric_outdoor,Electric light source outdoors,Outdoor electric,site_standardized,45.48098793331554,24.148890655224168,85.65694768024085,0.509939519474115,0.509939519474115,0.29362186842957216,0.8856231142193136,-2.4135368150527565,131,0.017181587141739233,ESTIMABLE,217,57,127,7,H03-I-Chest-site-context-contrasts,6,0.020617904570087078,0.6216250723629494,0.3504659293821016,1.1025828709556054,0.10326768735002957
site,BAUA,6.574149673174995e-45,3.9219982652640145e-37,FALSE,-0.46185810432383123,TRUE,influence__Chest__site__BAUA,Chest,delete_site,1.539919,3,daylight_indoor,Daylight indoors,Indoor daylight,site_standardized,231.08919767018355,195.94976275715177,272.5301451170045,2.591006039454816,2.591006039454816,2.096591371914044,3.202012746223666,8.895029690797715,131,4.0621757394878345e-15,ESTIMABLE,4213,129,640,7,H03-I-Chest-site-context-contrasts,6,1.2186527218463504e-14,2.6030283367861085,2.130029067772513,3.181062936947255,2.2269193902981017e-16
site,BAUA,6.574149673174995e-45,3.9219982652640145e-37,FALSE,-5.584514676201923,TRUE,influence__Chest__site__BAUA,Chest,delete_site,1.539919,4,daylight_outdoor,Daylight outdoors (including shade),Outdoor daylight,site_standardized,1249.0805724486956,965.6348034510485,1615.7270542577887,14.004874912410607,14.004874912410607,10.380870075020082,18.894034882898634,17.437082636774083,131,5.966360033264721e-36,ESTIMABLE,1322,126,474,7,H03-I-Chest-site-context-contrasts,6,3.5798160199588323e-35,14.833239340327344,11.38993185325031,19.317498310110338,8.44917299602186e-44
site,BAUA,6.574149673174995e-45,3.9219982652640145e-37,FALSE,-14.537160482321365,TRUE,influence__Chest__site__BAUA,Chest,delete_site,1.539919,5,display,Emissive display light,Emissive display,site_standardized,44.131630562459996,29.97445394039323,64.9753560139719,0.49481032636375827,0.49481032636375827,0.3343856049991614,0.7322003561631278,-3.551729456922539,131,5.325042647770747e-4,ESTIMABLE,756,86,251,7,H03-I-Chest-site-context-contrasts,6,7.98756397165612e-4,0.5789771661651881,0.40019526892093327,0.8376274908109929,0.005990299687040589
site,BAUA,6.574149673174995e-45,3.9219982652640145e-37,FALSE,7.854663390709327,TRUE,influence__Chest__site__BAUA,Chest,delete_site,1.539919,6,sleep_darkness,Darkness during sleep,Sleep darkness,site_standardized,4.185826378262643,1.5608802527351147,11.225167618244406,0.04693210039902757,0.04693210039902757,0.01749850476048241,0.12587487205413553,-6.133813533785853,131,9.453521853629973e-9,ESTIMABLE,4766,124,664,7,H03-I-Chest-site-context-contrasts,6,1.8907043707259947e-8,0.04351420599127319,0.017180138927867815,0.11021366771252016,9.484134431545094e-10
site,BAUA,6.574149673174995e-45,3.9219982652640145e-37,FALSE,10.307899859965918,TRUE,influence__Chest__site__BAUA,Chest,delete_site,1.539919,7,sleep_external_light,Light entering from outside during sleep,External light during sleep,site_standardized,36.36756703239115,14.047841213812235,94.1496925915596,0.40775850524908047,0.40775850524908047,0.1699918623663908,0.9780879877920389,-2.028333319969521,131,0.04455346756464014,ESTIMABLE,619,52,184,6,H03-I-Chest-site-context-contrasts,6,0.04455346756464014,0.3696548531580451,0.16363561092668968,0.8350548495493074,0.02043582327225783
site,FUSPCEU,6.574149673174995e-45,1.6270398003282792e-40,FALSE,0,TRUE,influence__Chest__site__FUSPCEU,Chest,delete_site,1.539919,1,electric_indoor,Electric light source indoors,Indoor electric,site_standardized,82.82454480315354,68.14994150071568,100.6590038199453,1,1,1,1,,128,,REFERENCE,4614,127,656,7,H03-I-Chest-site-context-contrasts,,,1,1,1,
site,FUSPCEU,6.574149673174995e-45,1.6270398003282792e-40,FALSE,,,influence__Chest__site__FUSPCEU,Chest,delete_site,1.539919,2,electric_outdoor,Electric light source outdoors,Outdoor electric,site_standardized,61.39489398050447,31.359052073772997,120.19920111137061,0.7412644902114435,,,,,128,,SUPPORT_NON_ESTIMABLE,189,49,108,7,H03-I-Chest-site-context-contrasts,,,0.6216250723629494,0.3504659293821016,1.1025828709556054,0.10326768735002957
site,FUSPCEU,6.574149673174995e-45,1.6270398003282792e-40,FALSE,11.35502650608986,TRUE,influence__Chest__site__FUSPCEU,Chest,delete_site,1.539919,3,daylight_indoor,Daylight indoors,Indoor daylight,site_standardized,240.0754652928889,204.4667290953428,281.8856118577675,2.898602894389201,2.898602894389201,2.312895340950287,3.632632480425772,9.328713531260147,128,4.181033733548457e-16,ESTIMABLE,4484,126,651,7,H03-I-Chest-site-context-contrasts,5,1.0452584333871142e-15,2.6030283367861085,2.130029067772513,3.181062936947255,2.2269193902981017e-16
site,FUSPCEU,6.574149673174995e-45,1.6270398003282792e-40,FALSE,16.89640219072168,TRUE,influence__Chest__site__FUSPCEU,Chest,delete_site,1.539919,4,daylight_outdoor,Daylight outdoors (including shade),Outdoor daylight,site_standardized,1436.1381092843078,1134.2560872547272,1818.3659687739628,17.339523117181404,17.339523117181404,13.069384731513908,23.004836731624867,19.967475384807095,128,3.874905457879919e-41,ESTIMABLE,1479,125,485,7,H03-I-Chest-site-context-contrasts,5,1.9374527289399595e-40,14.833239340327344,11.38993185325031,19.317498310110338,8.44917299602186e-44
site,FUSPCEU,6.574149673174995e-45,1.6270398003282792e-40,FALSE,0.303894179022568,TRUE,influence__Chest__site__FUSPCEU,Chest,delete_site,1.539919,5,display,Emissive display light,Emissive display,site_standardized,48.099248195694386,31.655841253759544,73.08406870142007,0.580736644071034,0.580736644071034,0.37765627326418905,0.8930211773046873,-2.498935683993847,128,0.013722823310408779,ESTIMABLE,768,87,246,7,H03-I-Chest-site-context-contrasts,5,0.017153529138010975,0.5789771661651881,0.40019526892093327,0.8376274908109929,0.005990299687040589
site,FUSPCEU,6.574149673174995e-45,1.6270398003282792e-40,FALSE,21.000775483837252,TRUE,influence__Chest__site__FUSPCEU,Chest,delete_site,1.539919,6,sleep_darkness,Darkness during sleep,Sleep darkness,site_standardized,4.360921556255471,1.6431860168514771,11.573635988123547,0.052652526695074926,0.052652526695074926,0.01965737518206457,0.1410304550683359,-5.912427740840678,128,2.8778815699009545e-8,ESTIMABLE,4706,123,664,7,H03-I-Chest-site-context-contrasts,5,4.796469283168258e-8,0.04351420599127319,0.017180138927867815,0.11021366771252016,9.484134431545094e-10
site,FUSPCEU,6.574149673174995e-45,1.6270398003282792e-40,FALSE,10.235891982062185,TRUE,influence__Chest__site__FUSPCEU,Chest,delete_site,1.539919,7,sleep_external_light,Light entering from outside during sleep,External light during sleep,site_standardized,33.750366298569475,13.932785400389484,81.75588674865915,0.4074923246337531,0.4074923246337531,0.18238080680507407,0.9104576163701911,-2.209556765917941,128,0.028914190927987058,ESTIMABLE,759,63,225,7,H03-I-Chest-site-context-contrasts,5,0.028914190927987058,0.3696548531580451,0.16363561092668968,0.8350548495493074,0.02043582327225783
site,IZTECH,6.574149673174995e-45,1.0562724579846873e-39,FALSE,0,TRUE,influence__Chest__site__IZTECH,Chest,delete_site,1.539919,1,electric_indoor,Electric light source indoors,Indoor electric,site_standardized,94.77720841945543,78.83618923757076,113.94157077678767,1,1,1,1,,134,,REFERENCE,4762,133,671,7,H03-I-Chest-site-context-contrasts,,,1,1,1,
site,IZTECH,6.574149673174995e-45,1.0562724579846873e-39,FALSE,,,influence__Chest__site__IZTECH,Chest,delete_site,1.539919,2,electric_outdoor,Electric light source outdoors,Outdoor electric,site_standardized,65.97683712091033,33.88562801632369,128.4598601620189,0.6961255582557009,,,,,134,,SUPPORT_NON_ESTIMABLE,178,53,112,7,H03-I-Chest-site-context-contrasts,,,0.6216250723629494,0.3504659293821016,1.1025828709556054,0.10326768735002957
site,IZTECH,6.574149673174995e-45,1.0562724579846873e-39,FALSE,-0.3043566521136021,TRUE,influence__Chest__site__IZTECH,Chest,delete_site,1.539919,3,daylight_indoor,Daylight indoors,Indoor daylight,site_standardized,245.956887720928,207.02316043571287,292.21267074681094,2.595105846886698,2.595105846886698,2.0860892577044927,3.2283251215991453,8.638553718262964,134,1.4920748923144843e-14,ESTIMABLE,4391,132,660,7,H03-I-Chest-site-context-contrasts,5,3.7301872307862106e-14,2.6030283367861085,2.130029067772513,3.181062936947255,2.2269193902981017e-16
site,IZTECH,6.574149673174995e-45,1.0562724579846873e-39,FALSE,-2.0366647806650318,TRUE,influence__Chest__site__IZTECH,Chest,delete_site,1.539919,4,daylight_outdoor,Daylight outdoors (including shade),Outdoor daylight,site_standardized,1377.2205032390227,1083.376549648404,1750.7636796804472,14.531135978851147,14.531135978851147,10.98591363106791,19.220423528428608,18.92608208203549,134,1.1172105235004662e-39,ESTIMABLE,1590,131,510,7,H03-I-Chest-site-context-contrasts,5,5.586052617502331e-39,14.833239340327344,11.38993185325031,19.317498310110338,8.44917299602186e-44
site,IZTECH,6.574149673174995e-45,1.0562724579846873e-39,FALSE,0.2924862901000802,TRUE,influence__Chest__site__IZTECH,Chest,delete_site,1.539919,5,display,Emissive display light,Emissive display,site_standardized,55.03433800527239,37.58063300651009,80.59412834142243,0.5806705949990313,0.5806705949990313,0.3937509447302173,0.8563238880037491,-2.767533440193147,134,0.006447652477378104,ESTIMABLE,794,87,246,7,H03-I-Chest-site-context-contrasts,5,0.00805956559672263,0.5789771661651881,0.40019526892093327,0.8376274908109929,0.005990299687040589
site,IZTECH,6.574149673174995e-45,1.0562724579846873e-39,FALSE,0.12015774813809443,TRUE,influence__Chest__site__IZTECH,Chest,delete_site,1.539919,6,sleep_darkness,Darkness during sleep,Sleep darkness,site_standardized,4.129110462184225,1.5007774970112404,11.360480312953099,0.04356649168131248,0.04356649168131248,0.015790865932026995,0.12019855057905793,-6.106726190155922,134,1.031447427779717e-8,ESTIMABLE,4930,126,680,7,H03-I-Chest-site-context-contrasts,5,1.7190790462995284e-8,0.04351420599127319,0.017180138927867815,0.11021366771252016,9.484134431545094e-10
site,IZTECH,6.574149673174995e-45,1.0562724579846873e-39,FALSE,6.624787115664188,TRUE,influence__Chest__site__IZTECH,Chest,delete_site,1.539919,7,sleep_external_light,Light entering from outside during sleep,External light during sleep,site_standardized,37.355839625097524,14.465874834536347,96.46556257796716,0.3941437002424866,0.3941437002424866,0.16449356746489951,0.9444093093426792,-2.1072801580061906,134,0.036956598308148465,ESTIMABLE,629,55,196,6,H03-I-Chest-site-context-contrasts,5,0.036956598308148465,0.3696548531580451,0.16363561092668968,0.8350548495493074,0.02043582327225783
site,KNUST,6.574149673174995e-45,7.53481179359457e-53,FALSE,0,TRUE,influence__Chest__site__KNUST,Chest,delete_site,1.539919,1,electric_indoor,Electric light source indoors,Indoor electric,site_standardized,92.92661095440043,78.13560753778732,110.51753861764412,1,1,1,1,,135,,REFERENCE,4838,134,685,7,H03-I-Chest-site-context-contrasts,,,1,1,1,
site,KNUST,6.574149673174995e-45,7.53481179359457e-53,FALSE,,,influence__Chest__site__KNUST,Chest,delete_site,1.539919,2,electric_outdoor,Electric light source outdoors,Outdoor electric,site_standardized,53.36241356111287,23.30616808232418,122.17998132549613,0.5742425448755263,,,,,135,,SUPPORT_NON_ESTIMABLE,154,44,88,7,H03-I-Chest-site-context-contrasts,,,0.6216250723629494,0.3504659293821016,1.1025828709556054,0.10326768735002957
site,KNUST,6.574149673174995e-45,7.53481179359457e-53,FALSE,2.660860783290575,TRUE,influence__Chest__site__KNUST,Chest,delete_site,1.539919,3,daylight_indoor,Daylight indoors,Indoor daylight,site_standardized,248.32697371106676,212.5755126348124,290.0912015131044,2.672291296977591,2.672291296977591,2.175020539550495,3.2832521100596193,9.441295956558509,135,1.4765313067931297e-16,ESTIMABLE,4714,133,681,7,H03-I-Chest-site-context-contrasts,5,2.460885511321883e-16,2.6030283367861085,2.130029067772513,3.181062936947255,2.2269193902981017e-16
site,KNUST,6.574149673174995e-45,7.53481179359457e-53,FALSE,7.308397784356191,TRUE,influence__Chest__site__KNUST,Chest,delete_site,1.539919,4,daylight_outdoor,Daylight outdoors (including shade),Outdoor daylight,site_standardized,1479.1418109353322,1164.4425432565315,1878.890898934684,15.917311475624079,15.917311475624079,12.09463197166643,20.94820290568339,19.927792583652842,135,4.903368197905294e-42,ESTIMABLE,1445,130,483,7,H03-I-Chest-site-context-contrasts,5,2.451684098952647e-41,14.833239340327344,11.38993185325031,19.317498310110338,8.44917299602186e-44
site,KNUST,6.574149673174995e-45,7.53481179359457e-53,FALSE,2.576049647121925,TRUE,influence__Chest__site__KNUST,Chest,delete_site,1.539919,5,display,Emissive display light,Emissive display,site_standardized,55.18836204310515,38.029980390995014,80.08826914152296,0.5938919054111029,0.5938919054111029,0.4064929622634182,0.8676843833873479,-2.718039622963458,135,0.007428960327544274,ESTIMABLE,799,88,250,7,H03-I-Chest-site-context-contrasts,5,0.009286200409430342,0.5789771661651881,0.40019526892093327,0.8376274908109929,0.005990299687040589
site,KNUST,6.574149673174995e-45,7.53481179359457e-53,FALSE,-45.28642126450259,FALSE,influence__Chest__site__KNUST,Chest,delete_site,1.539919,6,sleep_darkness,Darkness during sleep,Sleep darkness,site_standardized,2.2124134205626342,1.2978945287265866,3.7713181118716177,0.023808179356161783,0.023808179356161783,0.013537467946213326,0.0418711539341979,-13.093325699863902,135,8.49765002932711e-26,ESTIMABLE,4884,127,683,7,H03-I-Chest-site-context-contrasts,5,2.1244125073317776e-25,0.04351420599127319,0.017180138927867815,0.11021366771252016,9.484134431545094e-10
site,KNUST,6.574149673174995e-45,7.53481179359457e-53,FALSE,-1.1664712666650257,TRUE,influence__Chest__site__KNUST,Chest,delete_site,1.539919,7,sleep_external_light,Light entering from outside during sleep,External light during sleep,site_standardized,33.950080833087874,14.151837870982078,81.44581637248608,0.3653429355101237,0.3653429355101237,0.16296044484959718,0.8190666185916733,-2.466622240638374,135,0.014892101934583596,ESTIMABLE,747,58,218,6,H03-I-Chest-site-context-contrasts,5,0.014892101934583596,0.3696548531580451,0.16363561092668968,0.8350548495493074,0.02043582327225783
site,RISE,6.574149673174995e-45,1.5761034446694023e-41,FALSE,0,TRUE,influence__Chest__site__RISE,Chest,delete_site,1.539919,1,electric_indoor,Electric light source indoors,Indoor electric,site_standardized,85.87882922623768,71.95262093744327,102.50041225991458,1,1,1,1,,134,,REFERENCE,4919,133,689,7,H03-I-Chest-site-context-contrasts,,,1,1,1,
site,RISE,6.574149673174995e-45,1.5761034446694023e-41,FALSE,-0.08037344058686724,TRUE,influence__Chest__site__RISE,Chest,delete_site,1.539919,2,electric_outdoor,Electric light source outdoors,Outdoor electric,site_standardized,53.34152652631811,28.420931153948427,100.11348455634986,0.6211254509047407,0.6211254509047407,0.353246245653714,1.0921469952148133,-1.6689200485736115,134,0.09746803687229033,ESTIMABLE,211,57,125,7,H03-I-Chest-site-context-contrasts,6,0.09746803687229033,0.6216250723629494,0.3504659293821016,1.1025828709556054,0.10326768735002957
site,RISE,6.574149673174995e-45,1.5761034446694023e-41,FALSE,-4.7269303962565346,TRUE,influence__Chest__site__RISE,Chest,delete_site,1.539919,3,daylight_indoor,Daylight indoors,Indoor daylight,site_standardized,212.97820822231873,180.3394687379151,251.52407010530794,2.479984999111395,2.479984999111395,1.9990418501869875,3.0766367373660803,8.332533371663677,134,8.262376267583496e-14,ESTIMABLE,4397,133,658,7,H03-I-Chest-site-context-contrasts,6,2.4787128802750487e-13,2.6030283367861085,2.130029067772513,3.181062936947255,2.2269193902981017e-16
site,RISE,6.574149673174995e-45,1.5761034446694023e-41,FALSE,-18.968177061248937,TRUE,influence__Chest__site__RISE,Chest,delete_site,1.539919,4,daylight_outdoor,Daylight outdoors (including shade),Outdoor daylight,site_standardized,1032.232974904122,833.2561266910504,1278.724368593182,12.01964423833522,12.01964423833522,9.305637782220453,15.525195692892323,19.216594754657095,134,2.503633006389749e-40,ESTIMABLE,1509,129,493,7,H03-I-Chest-site-context-contrasts,6,1.5021798038338495e-39,14.833239340327344,11.38993185325031,19.317498310110338,8.44917299602186e-44
site,RISE,6.574149673174995e-45,1.5761034446694023e-41,FALSE,16.38587712212218,TRUE,influence__Chest__site__RISE,Chest,delete_site,1.539919,5,display,Emissive display light,Emissive display,site_standardized,57.86924753178833,41.919809737238154,79.88704698057218,0.6738476531781611,0.6738476531781611,0.479405279046197,0.9471540667994178,-2.2932337995587817,134,0.023391432762078654,ESTIMABLE,718,84,225,7,H03-I-Chest-site-context-contrasts,6,0.03508714914311798,0.5789771661651881,0.40019526892093327,0.8376274908109929,0.005990299687040589
site,RISE,6.574149673174995e-45,1.5761034446694023e-41,FALSE,7.566710574337709,TRUE,influence__Chest__site__RISE,Chest,delete_site,1.539919,6,sleep_darkness,Darkness during sleep,Sleep darkness,site_standardized,4.019713185316999,1.5343441631540446,10.530945064499916,0.046806800017353954,0.046806800017353954,0.01772967209684908,0.123571181457661,-6.237774571202861,134,5.409731544825984e-9,ESTIMABLE,4874,126,673,7,H03-I-Chest-site-context-contrasts,6,1.0819463089651968e-8,0.04351420599127319,0.017180138927867815,0.11021366771252016,9.484134431545094e-10
site,RISE,6.574149673174995e-45,1.5761034446694023e-41,FALSE,18.521711234887928,TRUE,influence__Chest__site__RISE,Chest,delete_site,1.539919,7,sleep_external_light,Light entering from outside during sleep,External light during sleep,site_standardized,37.62534066402431,16.099860640577493,87.93034248482182,0.4381212576257272,0.4381212576257272,0.20174674623988026,0.9514415471926212,-2.1047793390343155,134,0.037177709760872375,ESTIMABLE,640,53,187,6,H03-I-Chest-site-context-contrasts,6,0.04461325171304685,0.3696548531580451,0.16363561092668968,0.8350548495493074,0.02043582327225783
site,THUAS,6.574149673174995e-45,5.465698175722853e-39,FALSE,0,TRUE,influence__Chest__site__THUAS,Chest,delete_site,1.539919,1,electric_indoor,Electric light source indoors,Indoor electric,site_standardized,81.53608679243632,67.53600671382861,98.43835566994578,1,1,1,1,,135,,REFERENCE,4918,134,691,7,H03-I-Chest-site-context-contrasts,,,1,1,1,
