run_id,placement,interpretation,.component,.variance,.std_dev,.lower_ci,.upper_ci
reader_temporal_raw_mean__near_eye,Near-eye,penalty-scale variance/standard-deviation parameter; not a percentage of raw melEDI variance,s(time_hour),0.24253731618345986,0.49248077747609587,0.30102740524722327,0.8056984578672245
reader_temporal_raw_mean__near_eye,Near-eye,penalty-scale variance/standard-deviation parameter; not a percentage of raw melEDI variance,"s(time_hour,light_source)1",0.20431359389040085,0.45201061258603303,0.012157972119360459,16.804907256289074
reader_temporal_raw_mean__near_eye,Near-eye,penalty-scale variance/standard-deviation parameter; not a percentage of raw melEDI variance,"s(time_hour,light_source)2",0.016201127253022918,0.12728364880463994,0.047327863045059114,0.34231689771411017
reader_temporal_raw_mean__near_eye,Near-eye,penalty-scale variance/standard-deviation parameter; not a percentage of raw melEDI variance,"s(time_hour,light_source)3",0.007475040949024464,0.08645831914295156,0.035080114800723566,0.2130848485384741
reader_temporal_raw_mean__near_eye,Near-eye,penalty-scale variance/standard-deviation parameter; not a percentage of raw melEDI variance,"s(time_hour,light_source)4",0.006027033601843696,0.07763397195715092,0.02516565368436147,0.23949441875968577
reader_temporal_raw_mean__near_eye,Near-eye,penalty-scale variance/standard-deviation parameter; not a percentage of raw melEDI variance,"s(time_hour,light_source)5",9.331589166922402e-4,0.0305476499373068,0.006587783737076662,0.14164990138342504
reader_temporal_raw_mean__near_eye,Near-eye,penalty-scale variance/standard-deviation parameter; not a percentage of raw melEDI variance,"s(time_hour,light_source)6",0.1762518992765731,0.41982365259305376,0.015293725629516907,11.524458038949435
reader_temporal_raw_mean__near_eye,Near-eye,penalty-scale variance/standard-deviation parameter; not a percentage of raw melEDI variance,"s(time_hour,light_source)7",6.135514241349221e-7,7.832952343369147e-4,4.0818113135801583e-48,1503135194156653e26
reader_temporal_raw_mean__near_eye,Near-eye,penalty-scale variance/standard-deviation parameter; not a percentage of raw melEDI variance,"s(time_hour,site)1",0.10838985577690634,0.32922614686094775,0.14108566511738996,0.7682556246002801
reader_temporal_raw_mean__near_eye,Near-eye,penalty-scale variance/standard-deviation parameter; not a percentage of raw melEDI variance,"s(time_hour,site)2",0.016416902022618585,0.12812845906596468,0.04084939678246778,0.4018884809986858
