placement,light_source,sites_standardized,minimum_site_mean_lx,maximum_site_mean_lx,link_scale_equal_site_backtransform_lx,response_scale_equal_site_mean_lx,category_order,category_code,reported_expected_mel_edi_lx,response_minus_link_scale_lx,response_relative_to_link_scale_percent,reported_minus_link_scale_lx,reported_estimand,alternative_estimand
Chest,Electric light source indoors,8,55.29593140580171,155.17817128615516,88.32253701393316,93.6542133309824,1,electric_indoor,88.32253701393316,5.331676317049244,6.0365977895405765,0,exp(equal-site mean linear predictor),equal-site arithmetic mean of response-scale expected melEDI
Chest,Electric light source outdoors,8,34.373337361508156,96.46264195490626,54.903503462565425,58.21780713896699,2,electric_outdoor,54.903503462565475,3.3143036764015648,6.036597789540599,4.973799150320701e-14,exp(equal-site mean linear predictor),equal-site arithmetic mean of response-scale expected melEDI
Chest,Daylight indoors,8,143.93687635828277,403.93317710851034,229.90606662410795,243.78457115995852,3,daylight_indoor,229.90606662410795,13.878504535850567,6.0365977895405765,0,exp(equal-site mean linear predictor),equal-site arithmetic mean of response-scale expected melEDI
Chest,Daylight outdoors (including shade),8,820.2177850885802,2301.7949550818516,1310.1093306725913,1389.1953615685377,4,daylight_outdoor,1310.1093306725911,79.08603089594635,6.0365977895405765,-2.2737367544323206e-13,exp(equal-site mean linear predictor),equal-site arithmetic mean of response-scale expected melEDI
Chest,Emissive display light,8,32.01508166579571,89.84461786195432,51.13673218884698,54.223651033802206,5,display,51.13673218884696,3.0869188449552283,6.036597789540599,-1.4210854715202004e-14,exp(equal-site mean linear predictor),equal-site arithmetic mean of response-scale expected melEDI
Chest,Darkness during sleep,8,2.406158549671368,6.75245491069483,3.8432850692961384,4.0752887308350125,6,sleep_darkness,3.843285069296139,0.23200366153887408,6.0365977895405765,4.440892098500626e-16,exp(equal-site mean linear predictor),equal-site arithmetic mean of response-scale expected melEDI
Chest,Light entering from outside during sleep,8,20.440409404048964,57.362364120117626,32.648854450431465,34.619734476496525,7,sleep_external_light,32.648854450431465,1.9708800260650605,6.036597789540554,0,exp(equal-site mean linear predictor),equal-site arithmetic mean of response-scale expected melEDI
Near-eye,Electric light source indoors,9,42.76073546166811,152.5583888330087,88.87257185054436,97.11702282456147,1,electric_indoor,88.8725718505442,8.244450974017113,9.276710240682217,-1.5631940186722204e-13,exp(equal-site mean linear predictor),equal-site arithmetic mean of response-scale expected melEDI
Near-eye,Electric light source outdoors,9,39.25266351863434,140.04256566576518,81.58150511728788,89.14958495700601,2,electric_outdoor,81.5815051172878,7.568079839718138,9.276710240682217,-7.105427357601002e-14,exp(equal-site mean linear predictor),equal-site arithmetic mean of response-scale expected melEDI
Near-eye,Daylight indoors,9,98.66295784470434,352.00194112143015,205.05799807631877,224.08063438320255,3,daylight_indoor,205.0579980763184,19.022636306883783,9.276710240682196,-3.694822225952521e-13,exp(equal-site mean linear predictor),equal-site arithmetic mean of response-scale expected melEDI
Near-eye,Daylight outdoors (including shade),9,497.2791687653311,1774.1535071365502,1033.5294325209395,1129.4069632280743,4,daylight_outdoor,1033.529432520936,95.87753070713484,9.276710240682217,-3.410605131648481e-12,exp(equal-site mean linear predictor),equal-site arithmetic mean of response-scale expected melEDI
Near-eye,Emissive display light,9,25.565696886579502,91.21128260073866,53.13494281450181,58.06411749595536,5,display,53.13494281450177,4.929174681453546,9.27671024068224,-4.263256414560601e-14,exp(equal-site mean linear predictor),equal-site arithmetic mean of response-scale expected melEDI
Near-eye,Darkness during sleep,9,1.3204256557281537,4.710910802557039,2.744331281841443,2.9989149429022737,6,sleep_darkness,2.7443312818414425,0.25458366106083075,9.276710240682217,-4.440892098500626e-16,exp(equal-site mean linear predictor),equal-site arithmetic mean of response-scale expected melEDI
Near-eye,Light entering from outside during sleep,9,19.215940472138495,68.55712107590799,39.93780817490389,43.64272291576922,7,sleep_external_light,39.93780817490384,3.704914740865327,9.276710240682217,-4.973799150320701e-14,exp(equal-site mean linear predictor),equal-site arithmetic mean of response-scale expected melEDI
