Placement and role,Predictor,Metric,Practical association (95% CI),Raw p,FDR-adjusted p,Sample
Near eye (primary),"Age, per 10 years",Brightest 10 h mean,1.31× (1.09–1.58),0.003,**0.018**,141 participants; 816 participant-days/observations
Near eye (primary),"Age, per 10 years","Time above 1,000 lx melEDI",1.27× (1.11–1.45),<0.001,**0.009**,141 participants; 816 participant-days/observations
Near eye (primary),"Age, per 10 years",melEDI dose,1.31× (1.09–1.56),0.003,**0.018**,141 participants; 761 participant-days/observations
Chest (complementary),"Age, per 10 years",Mean melEDI,1.16× (1.04–1.30),0.006,**0.017**,154 participants; 902 participant-days/observations
Chest (complementary),"Age, per 10 years",Brightest 10 h mean,1.35× (1.15–1.57),<0.001,**<0.001**,154 participants; 902 participant-days/observations
Chest (complementary),"Age, per 10 years","Time above 1,000 lx melEDI",1.31× (1.18–1.46),<0.001,**<0.001**,154 participants; 902 participant-days/observations
Chest (complementary),"Age, per 10 years",Time above 250 lx melEDI during wake,1.16× (1.06–1.26),0.001,**0.004**,154 participants; 818 participant-days/observations
Chest (complementary),"Age, per 10 years",Longest continuous period above 250 lx melEDI,1.18× (1.09–1.27),<0.001,**<0.001**,154 participants; 902 participant-days/observations
Chest (complementary),"Age, per 10 years",melEDI dose,1.40× (1.21–1.61),<0.001,**<0.001**,154 participants; 851 participant-days/observations
Chest (complementary),"Measured biological sex, Female minus Male",Mean melEDI,0.74× (0.60–0.92),0.006,**0.048**,154 participants; 902 participant-days/observations
Chest (complementary),"Measured biological sex, Female minus Male",Darkest 10 h mean,0.76× (0.65–0.90),<0.001,**0.016**,154 participants; 902 participant-days/observations
