"token","before_count","after_count","delta"
"-0.88",1,1,0
"-1",3,3,0
"-1.05",1,1,0
"0",20,20,0
"0.05",3,3,0
"0.1",4,4,0
"0.10",1,1,0
"0.12",2,2,0
"0.15",1,1,0
"0.18",1,1,0
"0.2",1,1,0
"0.4",1,1,0
"0.5",1,1,0
"0.75",2,2,0
"0.9",1,1,0
"0.90",1,1,0
"007",1,1,0
"06",6,6,0
"08",5,5,0
"09",4,4,0
"1",31,31,0
"1.25",1,1,0
"10",11,11,0
"100",2,2,0
"11",6,7,1
"11.5",1,1,0
"12",20,20,0
"13",2,2,0
"14",2,2,0
"15",2,2,0
"17",1,1,0
"18",1,1,0
"180",1,1,0
"19",1,1,0
"2",208,207,-1
"2,000",3,3,0
"2.5",1,1,0
"20",2,2,0
"21",1,1,0
"22",2,2,0
"24",4,4,0
"25",1,1,0
"256",11,11,0
"27",2,2,0
"29",1,1,0
"3",5,5,0
"3.4",1,1,0
"30",25,25,0
"33",2,2,0
"34",1,1,0
"35",3,3,0
"38",2,2,0
"4",5,5,0
"4.6.1",3,3,0
"40",1,1,0
"43",1,1,0
"44",1,1,0
"447",1,1,0
"45",1,1,0
"46",1,1,0
"48",5,5,0
"5",5,5,0
"5.5",2,2,0
"50",2,2,0
"55",1,1,0
"56",4,4,0
"6",3,3,0
"6.5",1,1,0
"60",2,2,0
"64",1,1,0
"65",1,1,0
"677",1,1,0
"7",3,3,0
"7.5",1,1,0
"8",2,2,0
"80",1,1,0
"9",7,7,0
"95",3,3,0
"TOTAL",476,476,0
