source,route,protected_main_exact,page_navigation_exact
index.qmd,index.html,TRUE,TRUE
supplementary_information.qmd,supplementary_information.html,TRUE,TRUE
notebooks/preparation/01_import_state_alignment.qmd,notebooks/preparation/01_import_state_alignment.html,TRUE,TRUE
notebooks/preparation/02_coverage_sample_flow.qmd,notebooks/preparation/02_coverage_sample_flow.html,TRUE,TRUE
notebooks/preparation/03_reference_profiles.qmd,notebooks/preparation/03_reference_profiles.html,TRUE,TRUE
notebooks/preparation/04_metric_derivation.qmd,notebooks/preparation/04_metric_derivation.html,TRUE,TRUE
notebooks/preparation/05_model_input_acquisition.qmd,notebooks/preparation/05_model_input_acquisition.html,TRUE,TRUE
notebooks/preparation/06_model_ready_datasets.qmd,notebooks/preparation/06_model_ready_datasets.html,TRUE,TRUE
notebooks/preparation/07_example_days.qmd,notebooks/preparation/07_example_days.html,TRUE,TRUE
notebooks/placement_decision.qmd,notebooks/placement_decision.html,TRUE,TRUE
notebooks/descriptives.qmd,notebooks/descriptives.html,TRUE,TRUE
notebooks/preregistration_deviations.qmd,notebooks/preregistration_deviations.html,TRUE,TRUE
notebooks/hypotheses/H01.qmd,notebooks/hypotheses/H01.html,TRUE,TRUE
audit/hypotheses/H01/H01_analysis_preparation.qmd,audit/hypotheses/H01/H01_analysis_preparation.html,TRUE,TRUE
notebooks/hypotheses/H02.qmd,notebooks/hypotheses/H02.html,TRUE,TRUE
audit/hypotheses/H02/H02_analysis_preparation.qmd,audit/hypotheses/H02/H02_analysis_preparation.html,TRUE,TRUE
notebooks/hypotheses/H03.qmd,notebooks/hypotheses/H03.html,TRUE,TRUE
audit/hypotheses/H03/H03_analysis_preparation.qmd,audit/hypotheses/H03/H03_analysis_preparation.html,TRUE,TRUE
notebooks/hypotheses/H04.qmd,notebooks/hypotheses/H04.html,TRUE,TRUE
audit/hypotheses/H04/H04_analysis_preparation.qmd,audit/hypotheses/H04/H04_analysis_preparation.html,TRUE,TRUE
notebooks/hypotheses/H05.qmd,notebooks/hypotheses/H05.html,TRUE,TRUE
audit/hypotheses/H05/H05_analysis_preparation.qmd,audit/hypotheses/H05/H05_analysis_preparation.html,TRUE,TRUE
notebooks/hypotheses/H06.qmd,notebooks/hypotheses/H06.html,TRUE,TRUE
audit/hypotheses/H06/H06_analysis_preparation.qmd,audit/hypotheses/H06/H06_analysis_preparation.html,TRUE,TRUE
notebooks/hypotheses/H06_daily.qmd,notebooks/hypotheses/H06_daily.html,TRUE,TRUE
audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,TRUE,TRUE
notebooks/hypotheses/H07.qmd,notebooks/hypotheses/H07.html,TRUE,TRUE
audit/hypotheses/H07/H07_analysis_preparation.qmd,audit/hypotheses/H07/H07_analysis_preparation.html,TRUE,TRUE
notebooks/hypotheses/H08.qmd,notebooks/hypotheses/H08.html,TRUE,TRUE
audit/hypotheses/H08/H08_analysis_preparation.qmd,audit/hypotheses/H08/H08_analysis_preparation.html,TRUE,TRUE
notebooks/hypotheses/H09.qmd,notebooks/hypotheses/H09.html,TRUE,TRUE
audit/hypotheses/H09/H09_analysis_preparation.qmd,audit/hypotheses/H09/H09_analysis_preparation.html,TRUE,TRUE
notebooks/hypotheses/H10.qmd,notebooks/hypotheses/H10.html,TRUE,TRUE
audit/hypotheses/H10/H10_analysis_preparation.qmd,audit/hypotheses/H10/H10_analysis_preparation.html,TRUE,TRUE
notebooks/hypotheses/H11.qmd,notebooks/hypotheses/H11.html,TRUE,TRUE
audit/hypotheses/H11/H11_analysis_preparation.qmd,audit/hypotheses/H11/H11_analysis_preparation.html,TRUE,TRUE
notebooks/sensitivity_battery.qmd,notebooks/sensitivity_battery.html,TRUE,TRUE
