"check","pass","detail"
"stopped_package_and_models_exact",TRUE,"133 stopped members; both model manifests; 13 stored finalization checks"
"budget_and_unconsumed_outputs",TRUE,"6 jobs, 68.001416874991264 seconds retained; no scientific output write by audit"
"only_two_ast_assignments_changed",TRUE,"family_checks bookkeeping and current executed driver manifest path"
"byte_exact_reverse",TRUE,""
"original_masking_reproduced",TRUE,""
"original_failure_writes_no_outputs",TRUE,""
"full_remaining_driver_completes",TRUE,""
"both_full_grids_and_families",TRUE,""
"complete_M6_and_coverage",TRUE,""
"support_M6_has_no_p_or_FDR",TRUE,""
"full_output_manifest_exact_and_versioned",TRUE,"23 synthetic members"
"compact_table_and_named_inputs_exported",TRUE,""
"write_once_rejects_repeat",TRUE,""
"missing_family_member_rejected_1_primary_any_valid",TRUE,""
"missing_family_member_rejected_1_support_80",TRUE,""
"missing_family_member_rejected_2_primary_any_valid",TRUE,""
"missing_family_member_rejected_2_support_80",TRUE,""
"missing_family_member_rejected_3_primary_any_valid",TRUE,""
"missing_family_member_rejected_3_support_80",TRUE,""
"missing_family_member_rejected_4_primary_any_valid",TRUE,""
"missing_family_member_rejected_4_support_80",TRUE,""
"missing_family_member_rejected_5_primary_any_valid",TRUE,""
"missing_family_member_rejected_5_support_80",TRUE,""
"nonfinite_p_value_rejected",TRUE,""
"nonfinite_p_adjusted_rejected",TRUE,""
"failed_scientific_gate_still_stops",TRUE,""
"failed_gate_evidence_preserved",TRUE,""
"all_real_stopped_members_unchanged",TRUE,""
"real_scientific_output_roots_still_absent",TRUE,""
