check,pass,detail
exact_supervisor_reverse,True,
old_supervisor_rejects_sealed_failed_job,True,
old_rejection_has_no_job_write_or_R_call,True,
new_exact_recovery_passes,True,
failed_runtime_retained,True,
ordinary_cap_and_new_time_preserved,True,
successful_child_reaped_and_lock_removed,True,
duplicate_job_rejected,True,
future_original_plan_job_after_recovery_passes,True,
same_accumulator_continues,True,
tampered_historical_start.json_rejected,True,
tampered_historical_finish.json_rejected,True,
tampered_historical_execution.log_rejected,True,
nonexact_recovery_driver_rejected,True,
any_other_failed_job_rejected,True,
missing_failed_history_rejected,True,
future_job_before_recovery_rejected,True,
fixture_recovery_for_new_failure,True,
new_recovery_failure_still_blocks,True,
