label_type,label,expected_minimum_occurrences,observed_occurrences,status
plot literal,Near-eye associations between LEBA factors and personal light exposure,1,1,PASS
plot literal,Cell values are reader-scale effects per participant SD;,1,1,PASS
plot literal,grey cells are unfit for inference; no association remained after the 68-test adjustment,1,1,PASS
plot literal,Model-scale effect,1,1,PASS
plot literal,per LEBA SD,1,1,PASS
metric label,Interdaily stability,1,1,PASS
metric label,Intradaily variability,1,1,PASS
metric label,Mean melEDI,1,1,PASS
metric label,Brightest 10 h mean,1,1,PASS
metric label,Darkest 10 h mean,1,1,PASS
metric label,"Time above 1,000 lx melEDI",1,1,PASS
metric label,Time above 250 lx melEDI during wake,1,1,PASS
metric label,Time below 10 lx melEDI before sleep,1,1,PASS
metric label,Time below 1 lx melEDI during sleep,1,1,PASS
metric label,Longest continuous period above 250 lx melEDI,1,1,PASS
metric label,Midpoint of the brightest 10 hours,1,1,PASS
metric label,Midpoint of the darkest 10 hours,1,1,PASS
metric label,Mean timing of exposure above 250 lx melEDI,1,1,PASS
metric label,First light timing above 250 lx melEDI,1,1,PASS
metric label,Last light timing above 250 lx melEDI,1,1,PASS
metric label,melEDI dose,1,1,PASS
metric label,Melanopic daylight efficacy ratio,1,1,PASS
factor label,F2: Spending time outdoors,1,1,PASS
factor label,F3: Using phones and smartwatches in bed before sleep,1,1,PASS
factor label,F4: Controlling and using ambient light before bedtime,1,1,PASS
factor label,F5: Using light in the morning and during daytime,1,1,PASS
effect label,-0.00,2,2,PASS
effect label,-0.01,1,1,PASS
effect label,-0.01 h,2,2,PASS
effect label,-0.02,1,1,PASS
effect label,-0.02 h,1,1,PASS
effect label,-0.03 h,1,1,PASS
effect label,-0.06,1,1,PASS
effect label,-0.07 h,1,1,PASS
effect label,-0.08 h,2,2,PASS
effect label,-0.10 h,2,2,PASS
effect label,-0.14 h,1,1,PASS
effect label,-0.17 h,1,1,PASS
effect label,-0.22 h,1,1,PASS
effect label,+0.00,2,2,PASS
effect label,+0.02 h,2,2,PASS
effect label,+0.03 h,2,2,PASS
effect label,+0.05 h,2,2,PASS
effect label,+0.06,1,1,PASS
effect label,+0.08 h,1,1,PASS
effect label,+0.09 h,1,1,PASS
effect label,+0.13 h,2,2,PASS
effect label,+0.31 h,1,1,PASS
effect label,+0.32 h,1,1,PASS
effect label,×0.83,1,1,PASS
effect label,×0.87,1,1,PASS
effect label,×0.88,1,1,PASS
effect label,×0.89,4,4,PASS
effect label,×0.91,3,3,PASS
effect label,×0.92,3,3,PASS
effect label,×0.93,3,3,PASS
effect label,×0.94,2,2,PASS
effect label,×0.95,2,2,PASS
effect label,×0.96,1,1,PASS
effect label,×0.97,1,1,PASS
effect label,×0.98,1,1,PASS
effect label,×1.00,1,1,PASS
effect label,×1.03,1,1,PASS
effect label,×1.09,2,2,PASS
effect label,×1.12,2,2,PASS
effect label,×1.20,1,1,PASS
effect label,×1.23,1,1,PASS
effect label,×1.28,1,1,PASS
effect label,Unfit,4,4,PASS
