placement,metric_order,metric_id,manuscript_name,abbreviation,omitted_site_present,omitted_site,observations,participants,sites,statistic,degrees_freedom,p_raw,comparison_method,comparison_status,predictor,estimand,term,estimate_model,standard_error,conf_low_model,conf_high_model,interval_distribution,estimate_status,estimate_practical,conf_low_practical,conf_high_practical,practical_effect_type,practical_unit,estimate_model_per_year,conf_low_model_per_year,conf_high_model_per_year,estimate_minutes,conf_low_minutes,conf_high_minutes,final_converged,final_positive_definite_hessian,final_singular,final_max_gradient,final_convergence_message,fit_warnings,fit_errors,omitted_site_order,omitted_site_name,p_adjusted,adjusted_significant,p_raw_display,p_adjusted_display,full_p_adjusted,full_adjusted_significant,full_estimate_model,full_standard_error,estimate_change_from_full,change_in_full_standard_errors,sign_reversal,adjusted_support_changed
chest,1,interdaily_stability,Interdaily stability,IS,TRUE,RISE,137,137,7,1.2233548165344212,1,0.27076170071819156,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,0.04326709710814828,0.039118441166903314,-0.034129696809059855,0.1206638910253564,t(129),ESTIMABLE,1.0442167648844454,0.966446151526752,1.1282456351481,odds ratio,odds ratio,0.004326709710814828,-0.0034129696809059853,0.01206638910253564,,,,TRUE,TRUE,FALSE,,,,,1,Borås (SE),0.38357907601743807,FALSE,0.271,0.384,0.3402946389686567,FALSE,0.04196411687733611,0.03519662220538253,0.0013029802308121702,0.03702003627532499,FALSE,FALSE
chest,1,interdaily_stability,Interdaily stability,IS,TRUE,THUAS,138,138,7,0.8069033331656573,1,0.37069806990545573,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,0.0348626761753091,0.0388105651804402,-0.04191938550199779,0.111644737852616,t(130),ESTIMABLE,1.0354775033046104,0.9589470824942808,1.1181155659403594,odds ratio,odds ratio,0.0034862676175309104,-0.004191938550199779,0.0111644737852616,,,,TRUE,TRUE,FALSE,,,,,2,Delft (NL),0.5237362228150287,FALSE,0.371,0.524,0.3402946389686567,FALSE,0.04196411687733611,0.03519662220538253,-0.0071014407020270065,0.20176483585805577,FALSE,FALSE
chest,1,interdaily_stability,Interdaily stability,IS,TRUE,BAUA,134,134,7,0.5594535296641369,1,0.45587427372821243,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,0.030623086007340507,0.040941801184658726,-0.05039953492964361,0.11164570694432463,t(126),ESTIMABLE,1.0310967958262378,0.9508494510309125,1.1181166494974086,odds ratio,odds ratio,0.0030623086007340507,-0.005039953492964361,0.011164570694432463,,,,TRUE,TRUE,FALSE,,,,,3,Dortmund (DE),0.6362974126351193,FALSE,0.456,0.636,0.3402946389686567,FALSE,0.04196411687733611,0.03519662220538253,-0.011341030869995602,0.32221929717622866,FALSE,FALSE
chest,1,interdaily_stability,Interdaily stability,IS,FALSE,MPI,153,153,8,1.4215240208995885,1,0.235113778983077,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,0.04196411687733611,0.03519662220538253,-0.027604648975276862,0.11153288272994907,t(144),ESTIMABLE,1.0428570571116633,0.9727728775418399,1.1179905059810042,odds ratio,odds ratio,0.004196411687733611,-0.002760464897527686,0.011153288272994907,,,,TRUE,TRUE,FALSE,,,,,4,Tübingen (DE),0.3402946389686567,FALSE,0.235,0.340,0.3402946389686567,FALSE,0.04196411687733611,0.03519662220538253,0,0,FALSE,FALSE
chest,1,interdaily_stability,Interdaily stability,IS,TRUE,TUM,143,143,7,2.190690607343295,1,0.14117697591206696,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,0.05003636758135691,0.03380611396587121,-0.016821722932416287,0.1168944580951301,t(135),ESTIMABLE,1.0513093292583642,0.9833189722324349,1.1240007942452417,odds ratio,odds ratio,0.005003636758135691,-0.0016821722932416287,0.01168944580951301,,,,TRUE,TRUE,FALSE,,,,,5,Munich (DE),0.24000085905051383,FALSE,0.141,0.240,0.3402946389686567,FALSE,0.04196411687733611,0.03519662220538253,0.008072250704020803,0.22934731227664043,FALSE,FALSE
chest,1,interdaily_stability,Interdaily stability,IS,TRUE,FUSPCEU,131,131,7,1.435254517586322,1,0.23321221434217743,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,0.04580065721822929,0.03823025974405849,-0.029873797860324708,0.12147511229678329,t(123),ESTIMABLE,1.0468657050338368,0.9705680135797388,1.1291612633450487,odds ratio,odds ratio,0.004580065721822929,-0.002987379786032471,0.012147511229678328,,,,TRUE,TRUE,FALSE,,,,,6,Madrid (ES),0.3604188767106378,FALSE,0.233,0.360,0.3402946389686567,FALSE,0.04196411687733611,0.03519662220538253,0.003836540340893181,0.10900308326480457,FALSE,FALSE
chest,1,interdaily_stability,Interdaily stability,IS,TRUE,IZTECH,136,136,7,1.3843777632984897,1,0.2415403203117809,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,0.04173940502396174,0.035474717584945456,-0.028453384567599008,0.11193219461552249,t(128),ESTIMABLE,1.042622741097334,0.9719476008478173,1.1184370220216486,odds ratio,odds ratio,0.004173940502396174,-0.002845338456759901,0.011193219461552249,,,,TRUE,TRUE,FALSE,,,,,7,Izmir (TR),0.34218212044168966,FALSE,0.242,0.342,0.3402946389686567,FALSE,0.04196411687733611,0.03519662220538253,-2.2471185337436667e-4,0.006384472125282581,FALSE,FALSE
chest,1,interdaily_stability,Interdaily stability,IS,TRUE,UCR,114,114,7,1.3832809313631607,1,0.24217774163805175,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,0.04832730307724822,0.041090115758793726,-0.03313784791176364,0.12979245406626008,t(106),ESTIMABLE,1.0495141083120605,0.967405195611226,1.138592048650434,odds ratio,odds ratio,0.004832730307724822,-0.003313784791176364,0.012979245406626008,,,,TRUE,TRUE,FALSE,,,,,8,San José (CR),0.41170216078468796,FALSE,0.242,0.412,0.3402946389686567,FALSE,0.04196411687733611,0.03519662220538253,0.0063631861999121075,0.18078968381627833,FALSE,FALSE
chest,1,interdaily_stability,Interdaily stability,IS,TRUE,KNUST,138,138,7,1.269121519039767,1,0.2620067926350385,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,0.039802309945460475,0.03533106048648433,-0.03009596782466322,0.10970058771558416,t(130),ESTIMABLE,1.0406050365904818,0.9703524064703725,1.1159438931226482,odds ratio,odds ratio,0.0039802309945460475,-0.003009596782466322,0.010970058771558416,,,,TRUE,TRUE,FALSE,,,,,9,Kumasi (GH),0.34262426729197343,FALSE,0.262,0.343,0.3402946389686567,FALSE,0.04196411687733611,0.03519662220538253,-0.0021618069318756344,0.0614208636061967,FALSE,FALSE
chest,2,intradaily_variability,Intradaily variability,IV,TRUE,RISE,137,137,7,0.16669947985332545,1,0.6837388097858477,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,-0.015066520726242332,0.03690165557441131,-0.0880773500563467,0.057944308603862044,t(129),ESTIMABLE,-0.015066520726242332,-0.0880773500563467,0.057944308603862044,difference,dimensionless,-0.0015066520726242333,-0.00880773500563467,0.005794430860386205,,,,TRUE,TRUE,FALSE,,,,,1,Borås (SE),0.8302542690256721,FALSE,0.684,0.830,0.30791782299780845,FALSE,-0.04374143895534003,0.03255067074082883,0.0286749182290977,0.8809317158902746,FALSE,FALSE
chest,2,intradaily_variability,Intradaily variability,IV,TRUE,THUAS,138,138,7,1.7803244035829007,1,0.18444202979042698,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,-0.04801273648068017,0.03598378860865078,-0.11920235877778218,0.023176885816421848,t(130),ESTIMABLE,-0.04801273648068017,-0.11920235877778218,0.023176885816421848,difference,dimensionless,-0.004801273648068017,-0.011920235877778218,0.002317688581642185,,,,TRUE,TRUE,FALSE,,,,,2,Delft (NL),0.31355145064372586,FALSE,0.184,0.314,0.30791782299780845,FALSE,-0.04374143895534003,0.03255067074082883,-0.00427129752534014,0.13121995424759658,FALSE,FALSE
chest,2,intradaily_variability,Intradaily variability,IV,TRUE,BAUA,134,134,7,1.20617044317121,1,0.27418612431601636,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,-0.039853909718075724,0.03628829735822399,-0.11166738338629467,0.03195956395014322,t(126),ESTIMABLE,-0.039853909718075724,-0.11166738338629467,0.03195956395014322,difference,dimensionless,-0.003985390971807572,-0.011166738338629467,0.003195956395014322,,,,TRUE,TRUE,FALSE,,,,,3,Dortmund (DE),0.42374219212475256,FALSE,0.274,0.424,0.30791782299780845,FALSE,-0.04374143895534003,0.03255067074082883,0.003887529237264306,0.11943008081821538,FALSE,FALSE
chest,2,intradaily_variability,Intradaily variability,IV,FALSE,MPI,153,153,8,1.8057858580043376,1,0.18112813117518145,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,-0.04374143895534003,0.03255067074082883,-0.10808028311771864,0.020597405207038587,t(144),ESTIMABLE,-0.04374143895534003,-0.10808028311771864,0.020597405207038587,difference,dimensionless,-0.004374143895534003,-0.010808028311771864,0.0020597405207038585,,,,TRUE,TRUE,FALSE,,,,,4,Tübingen (DE),0.30791782299780845,FALSE,0.181,0.308,0.30791782299780845,FALSE,-0.04374143895534003,0.03255067074082883,0,0,FALSE,FALSE
chest,2,intradaily_variability,Intradaily variability,IV,TRUE,TUM,143,143,7,2.0380970854968923,1,0.15571055885646895,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,-0.046329367030956074,0.03245218422947161,-0.11050980116112724,0.017851067099215086,t(135),ESTIMABLE,-0.046329367030956074,-0.11050980116112724,0.017851067099215086,difference,dimensionless,-0.004632936703095608,-0.011050980116112724,0.0017851067099215086,,,,TRUE,TRUE,FALSE,,,,,5,Munich (DE),0.24064359095999746,FALSE,0.156,0.241,0.30791782299780845,FALSE,-0.04374143895534003,0.03255067074082883,-0.0025879280756160444,0.0795046005724842,FALSE,FALSE
chest,2,intradaily_variability,Intradaily variability,IV,TRUE,FUSPCEU,131,131,7,3.939147845904791,1,0.04940030701884958,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,-0.06922656869515291,0.03487961360156466,-0.13826862517919603,-1.845122111097941e-4,t(123),ESTIMABLE,-0.06922656869515291,-0.13826862517919603,-1.845122111097941e-4,difference,dimensionless,-0.006922656869515291,-0.013826862517919602,-1.845122111097941e-5,,,,TRUE,TRUE,FALSE,,,,,6,Madrid (ES),0.11997217418863468,FALSE,0.049,0.120,0.30791782299780845,FALSE,-0.04374143895534003,0.03255067074082883,-0.02548512973981288,0.7829371610412461,FALSE,FALSE
chest,2,intradaily_variability,Intradaily variability,IV,TRUE,IZTECH,136,136,7,1.5242740461050113,1,0.2192355404733942,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,-0.03956482710290259,0.03204628898657046,-0.1029738849661084,0.023844230760303224,t(128),ESTIMABLE,-0.03956482710290259,-0.1029738849661084,0.023844230760303224,difference,dimensionless,-0.00395648271029026,-0.01029738849661084,0.0023844230760303223,,,,TRUE,TRUE,FALSE,,,,,7,Izmir (TR),0.34218212044168966,FALSE,0.219,0.342,0.30791782299780845,FALSE,-0.04374143895534003,0.03255067074082883,0.004176611852437437,0.12831108414606784,FALSE,FALSE
