placement,predictor,metric_order,metric_id,manuscript_name,abbreviation,sites_checked,registered_site_rows,failed_or_nonconverged,sign_reversals,adjusted_support_changes,max_change_in_full_standard_errors,influential_omitted_site,site_influence_assessment
chest,age,1,interdaily_stability,Interdaily stability,IS,8,9,0,0,0,0.32221929717622866,BAUA,acceptable
chest,age,2,intradaily_variability,Intradaily variability,IV,8,9,0,0,0,0.8809317158902746,RISE,acceptable
chest,age,3,daily_geometric_mean_medi,Mean melEDI,Mean,8,9,0,0,2,1.0362182080051767,FUSPCEU,acceptable with specified limitations
chest,age,4,m10_mean_medi,Brightest 10 h mean,M10mean,8,9,0,0,0,1.0673676143591881,RISE,acceptable with specified limitations
chest,age,5,l10_mean_medi,Darkest 10 h mean,L10mean,8,9,0,0,0,0.9741170178717669,FUSPCEU,acceptable
chest,age,6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,8,9,0,0,0,0.6603212815081477,RISE,acceptable
chest,age,7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,8,9,0,0,0,0.5491397942646046,THUAS,acceptable
chest,age,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,8,9,0,0,2,1.1120052555128783,FUSPCEU,acceptable with specified limitations
chest,age,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,8,9,0,0,0,0.7580215647401037,FUSPCEU,acceptable
chest,age,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,8,9,0,0,0,0.5743268728607415,RISE,acceptable
chest,age,11,m10_midpoint,Midpoint of the brightest 10 hours,M10,8,9,0,2,0,0.9905043094179342,RISE,acceptable with specified limitations
chest,age,12,l10_midpoint,Midpoint of the darkest 10 hours,L10,8,9,0,2,0,0.3821601829279687,FUSPCEU,acceptable with specified limitations
chest,age,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,8,9,0,0,0,0.8678703821171281,RISE,acceptable
chest,age,14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,8,9,0,0,2,0.6288588040789572,UCR,acceptable with specified limitations
chest,age,15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,8,9,0,1,1,1.4224999805893488,BAUA,acceptable with specified limitations
chest,age,16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,8,9,0,0,0,0.9044618244962822,RISE,acceptable
chest,age,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,8,9,0,0,0,0.46299008171046946,RISE,acceptable
chest,biological_sex,1,interdaily_stability,Interdaily stability,IS,8,9,0,0,0,0.4350026701057547,BAUA,acceptable
chest,biological_sex,2,intradaily_variability,Intradaily variability,IV,8,9,0,0,0,0.8653044183839447,FUSPCEU,acceptable
chest,biological_sex,3,daily_geometric_mean_medi,Mean melEDI,Mean,8,9,0,0,6,1.335208784573292,UCR,acceptable with specified limitations
chest,biological_sex,4,m10_mean_medi,Brightest 10 h mean,M10mean,8,9,0,0,1,1.524883352018097,UCR,acceptable with specified limitations
chest,biological_sex,5,l10_mean_medi,Darkest 10 h mean,L10mean,8,9,0,0,2,0.5684706034248552,UCR,acceptable with specified limitations
chest,biological_sex,6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,8,9,0,0,0,1.1387645785967782,UCR,acceptable with specified limitations
chest,biological_sex,7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,8,9,0,0,0,0.9453078190019303,UCR,acceptable
chest,biological_sex,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,8,9,0,3,0,0.670023510743263,TUM,acceptable with specified limitations
chest,biological_sex,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,8,9,0,0,0,0.4268152315570996,UCR,acceptable
chest,biological_sex,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,8,9,0,0,0,0.8400696962861328,UCR,acceptable
chest,biological_sex,11,m10_midpoint,Midpoint of the brightest 10 hours,M10,8,9,0,0,0,0.7297323446921303,KNUST,acceptable
chest,biological_sex,12,l10_midpoint,Midpoint of the darkest 10 hours,L10,8,9,0,1,0,0.7420518435907048,KNUST,acceptable with specified limitations
chest,biological_sex,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,8,9,0,0,0,0.7671261143574261,BAUA,acceptable
chest,biological_sex,14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,8,9,0,2,0,0.7839723668448483,IZTECH,acceptable with specified limitations
chest,biological_sex,15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,8,9,0,0,0,1.166703598928593,UCR,acceptable with specified limitations
chest,biological_sex,16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,8,9,0,0,0,1.116269523831057,UCR,acceptable with specified limitations
chest,biological_sex,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,8,9,0,1,0,1.0545268816277509,KNUST,acceptable with specified limitations
glasses,age,1,interdaily_stability,Interdaily stability,IS,9,9,0,0,0,0.36684380907792413,RISE,acceptable
glasses,age,2,intradaily_variability,Intradaily variability,IV,9,9,0,0,0,1.1537196218681167,FUSPCEU,acceptable with specified limitations
glasses,age,3,daily_geometric_mean_medi,Mean melEDI,Mean,9,9,0,0,0,1.1865326821361508,FUSPCEU,acceptable with specified limitations
