run_id,data_scenario,placement,sample_scenario,analytical_role,metric_order,metric_id,manuscript_name,abbreviation,manuscript_category,analysis_unit,response_family,response_transform,effect_scale,display_unit,predictor,converged,positive_definite_hessian,singular,max_gradient,convergence_message,fixed_columns,fixed_rank,fixed_full_rank,fixed_condition_number,aliased_coefficients,residual_n,residual_mean,residual_sd,residual_skewness,residual_qq_correlation,residual_absolute_fitted_spearman,residual_absolute_above_3_fraction,consecutive_day_pairs,participants_with_consecutive_pairs,pooled_consecutive_day_residual_correlation,serial_status,tweedie_power,dispersion,observed_zero_n,observed_zero_fraction,expected_zero_n,expected_zero_fraction,zero_mass_standardized_difference,zero_mass_method,zero_mass_status,fitted_natural_min,fitted_natural_max,fitted_below_lower_n,fitted_above_upper_n,observed_above_audit_threshold_n,prediction_bound_status,participant_random_intercept_sd,fit_warnings,fit_error,diagnostic_assessment,diagnostic_issues
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,age,TRUE,TRUE,FALSE,,,9,9,TRUE,23.252707566001614,,154,4.686006272768518e-18,0.42835817444730023,0.353303203761586,0.9933997359848076,-0.025506872091251177,0,0,0,,NOT_APPLICABLE_PARTICIPANT_LEVEL,,,0,0,,,,not applicable,NOT_APPLICABLE,0.2590611954514975,0.34514136039539856,0,0,,PASS,,,,acceptable,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,2,intradaily_variability,Intradaily variability,IV,dynamics-based,participant,gaussian,identity,difference,dimensionless,age,TRUE,TRUE,FALSE,,,9,9,TRUE,23.252707566001614,,154,5.9476233462061954e-18,0.37453233485126997,-0.14373853836897568,0.9930178601570084,0.09539558546389877,0,0,0,,NOT_APPLICABLE_PARTICIPANT_LEVEL,,,0,0,,,,not applicable,NOT_APPLICABLE,1.049844656537905,1.514349306635852,0,,,PASS,,,,acceptable,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,3,daily_geometric_mean_medi,Mean melEDI,Mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,age,TRUE,TRUE,FALSE,2.26737029151991e-5,,9,9,TRUE,22.821176701932337,,897,7.558056744563566e-16,0.32261209370889454,-0.8769236499601297,0.9738515312448451,-0.1862642566557732,0,725,154,0.010610957782177794,PASS_DESCRIPTIVE_CHECK,,,3,0.0033444816053511705,,,,not applicable,NOT_APPLICABLE,0.4980128808111476,19.767163913216127,0,,,PASS,0.2586861658694684,,,acceptable,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,4,m10_mean_medi,Brightest 10 h mean,M10mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,age,TRUE,TRUE,FALSE,1.1491465556900948e-5,,9,9,TRUE,22.821176701932337,,897,-1.8418856802698137e-15,0.5397728899351047,-1.3492360685203086,0.9585917108858566,-0.21854606412428673,0,725,154,0.012492994016677033,PASS_DESCRIPTIVE_CHECK,,,3,0.0033444816053511705,,,,not applicable,NOT_APPLICABLE,4.174163044746144,785.4602427125631,0,,,PASS,0.33463568875302796,,,acceptable,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,5,l10_mean_medi,Darkest 10 h mean,L10mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,age,TRUE,TRUE,FALSE,8.213874025386758e-8,,9,9,TRUE,22.821176701932337,,897,5.487992074902948e-16,0.2025112574346856,1.447637584904979,0.961664457511988,0.38920618032078763,0,725,154,1.9032922018514257e-4,PASS_DESCRIPTIVE_CHECK,,,133,0.14827201783723523,,,,not applicable,NOT_APPLICABLE,0.0050374760180306455,1.1715928953176789,0,,,PASS,0.2005773355754127,,,acceptable with specified limitations,RESIDUAL_SPREAD_REVIEW
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,duration-based,participant_day,tweedie_log,identity,ratio,h,age,TRUE,TRUE,FALSE,,,9,9,TRUE,22.821176701932337,,897,-0.025247381171875277,0.90613441629739,1.2453556563909913,0.9547282041358671,0.07336831581421731,0.008918617614269788,725,154,-0.05930492144496333,PASS_DESCRIPTIVE_CHECK,1.509825544083953,0.8227546763401564,88,0.09810479375696766,85.74297281574985,0.0955885984568002,0.2630767658575792,Analytical compound-Poisson zero probability; no simulation or resampling,PASS_DESCRIPTIVE_CHECK,0.19179146682295298,5.338853460947853,0,0,,PASS,0.5425316765488867,,,acceptable,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,duration-based,participant_day,tweedie_log,identity,ratio,h,age,TRUE,TRUE,FALSE,,,9,9,TRUE,22.19881492578934,,839,-0.021747038534314513,0.8716199916569527,0.5850220815414827,0.9866988821881153,-0.07690665867048832,0.0023837902264600714,668,152,0.02092401650400097,PASS_DESCRIPTIVE_CHECK,1.4953702742933246,0.7768926439473046,21,0.025029797377830752,19.730607777615717,0.023516814991198714,0.2920907149678738,Analytical compound-Poisson zero probability; no simulation or resampling,PASS_DESCRIPTIVE_CHECK,0.9169525509981531,7.4799047515098,0,,,PASS,0.44383250326247636,,,acceptable,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,duration-based,participant_day,gaussian,identity,difference,h,age,TRUE,TRUE,FALSE,2.191882231272757e-6,,9,9,TRUE,22.7777052970652,,867,-2.0806117305778017e-15,0.8366504812216453,0.3362555015884784,0.994578903956933,9.076517890039664e-4,0.0034602076124567475,686,153,-0.06680113126223321,PASS_DESCRIPTIVE_CHECK,,,9,0.010380622837370242,,,,not applicable,NOT_APPLICABLE,0.9148527459987305,2.6462554933574896,0,0,0,PASS,0.4674127733572209,,,acceptable,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,duration-based,participant_day,tweedie_log,identity,ratio,h,age,TRUE,TRUE,FALSE,,,9,9,TRUE,22.798619203898436,,878,-0.008939760951511352,0.8538827279333213,-1.1719054963339384,0.9570890224721228,-0.07328438354526295,0.0193621867881549,699,154,0.05855882737849735,PASS_DESCRIPTIVE_CHECK,1.0482757868996633,0.42506057864829816,5,0.0056947608200455585,6.021307723885054e-4,6.857981462283651e-7,203.73876430751335,Analytical compound-Poisson zero probability; no simulation or resampling,REVIEW_ABSOLUTE_STANDARDIZED_DIFFERENCE_AT_LEAST_3.29,4.754339625935707,9.282268535282562,0,,,PASS,0.14109901140730216,,,acceptable with specified limitations,ZERO_MASS_REVIEW
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,duration-based,participant_day,gaussian,log10_offset_0.1,ratio,h,age,TRUE,TRUE,FALSE,1.708713170955889e-6,,9,9,TRUE,22.821176701932337,,897,-1.6344692229170104e-16,0.30853454913517775,-0.2710520525242948,0.9961544321062219,-0.021200169051435867,0,725,154,-0.025812647909666624,PASS_DESCRIPTIVE_CHECK,,,30,0.033444816053511704,,,,not applicable,NOT_APPLICABLE,0.19523072189962368,1.767112787087152,0,0,,PASS,0.17420856753357036,,,acceptable,
