run_id,data_scenario,placement,sample_scenario,analytical_role,metric_order,metric_id,manuscript_name,abbreviation,manuscript_category,analysis_unit,response_family,response_transform,effect_scale,display_unit,predictor,deleted_participant,observations_after_deletion,participants_after_deletion,estimate_model_after_deletion,conf_low_model_after_deletion,conf_high_model_after_deletion,estimate_change_from_full,change_in_full_standard_errors,sign_reversal,converged,positive_definite_hessian,singular,warnings,error,deletion_status
primary__chest__all_available,primary,chest,all_available,complementary_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,age,TUM:TUM_S003,152,152,0.043344166780816665,-0.024590331769377305,0.11127866533101063,0.0013800499034805555,0.039209725735258424,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,biological_sex,TUM:TUM_S003,152,152,0.029832411869480883,-0.1053571390464807,0.16502196278544246,-0.013236927142232766,0.1896732885322855,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,2,intradaily_variability,Intradaily variability,IV,dynamics-based,participant,gaussian,identity,difference,dimensionless,age,FUSPCEU:FUSPCEU_S004,152,152,-0.053290653580234854,-0.11676026526205872,0.010178958101589017,-0.009549214624894824,0.29336460378732193,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,2,intradaily_variability,Intradaily variability,IV,dynamics-based,participant,gaussian,identity,difference,dimensionless,biological_sex,BAUA:BAUA_S016,152,152,0.06812646337972535,-0.05785206388778201,0.1941049906472327,0.012227728817736441,0.18944682634372875,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,Mean melEDI,Mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,age,KNUST:KNUST_S001,896,153,0.06509084063474743,0.017747270296373095,0.11243441097312176,-3.0392864165951217e-5,0.001262787944749452,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,Mean melEDI,Mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,biological_sex,KNUST:KNUST_S001,896,153,-0.13068968606765563,-0.22489352645087615,-0.03648584568443511,-9.925880098846929e-4,0.020804842202015617,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,4,m10_mean_medi,Brightest 10 h mean,M10mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,age,THUAS:THUAS_S007,896,153,0.1270252498496949,0.060116315039390564,0.19393418465999923,-0.0018689252331232087,0.05499025676126674,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,4,m10_mean_medi,Brightest 10 h mean,M10mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,biological_sex,THUAS:THUAS_S007,896,153,-0.15867425680028643,-0.2952727959055028,-0.02207571769507008,-0.005380267081564638,0.07730959216695762,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,5,l10_mean_medi,Darkest 10 h mean,L10mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,age,KNUST:KNUST_S001,896,153,-0.028493142270533938,-0.06513893126877882,0.008152646727710936,-4.019167141252958e-4,0.021444575337361778,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,5,l10_mean_medi,Darkest 10 h mean,L10mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,biological_sex,KNUST:KNUST_S001,896,153,-0.1145052328061311,-0.18553717693438215,-0.04347328867788004,0.0032331723632454262,0.08954266839066213,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
