"source_path","copied_path","source_sha256","copied_sha256","source_bytes","copied_bytes","role","status"
"audit/hypotheses/H05/report017_order36/bounded_audit.md","audit/hypotheses/H05/report017_order36b_final_verifier/prior_order36a_failed_evidence/bounded_audit.md","fb89602246456be99c850787d5e6658b0c4a5bc8ee556109d2de63f7eec24309","fb89602246456be99c850787d5e6658b0c4a5bc8ee556109d2de63f7eec24309",3572,3572,"failed order-36 bounded audit","PASS"
"audit/hypotheses/H05/report017_order36/companion_source_exact.diff","audit/hypotheses/H05/report017_order36b_final_verifier/prior_order36a_failed_evidence/companion_source_exact.diff","56504ff32b040e36d2d03c6924518fa243aeb9b71c06679541252af9531346c5","56504ff32b040e36d2d03c6924518fa243aeb9b71c06679541252af9531346c5",17397,17397,"failed order-36 companion exact diff","PASS"
"audit/hypotheses/H05/report017_order36/defect_list.csv","audit/hypotheses/H05/report017_order36b_final_verifier/prior_order36a_failed_evidence/defect_list.csv","29c44fc01304f3a92fb6cb32f8e578f3721b45a1106ba15bf79a97af36ab4952","29c44fc01304f3a92fb6cb32f8e578f3721b45a1106ba15bf79a97af36ab4952",2303,2303,"failed order-36 six-row defect list","PASS"
"audit/hypotheses/H05/report017_order36/execution_record.md","audit/hypotheses/H05/report017_order36b_final_verifier/prior_order36a_failed_evidence/execution_record.md","3db5219d41f27b1df9d42cde5a62583a38bdbbf98672a5cc7fec254b13225101","3db5219d41f27b1df9d42cde5a62583a38bdbbf98672a5cc7fec254b13225101",995,995,"failed order-36 execution record","PASS"
"audit/hypotheses/H05/report017_order36/H05_report017_order36_source_manifest.csv","audit/hypotheses/H05/report017_order36b_final_verifier/prior_order36a_failed_evidence/H05_report017_order36_source_manifest.csv","70ed24b61d942b4e5d8e97539fb40ce5cf93fcb21b3d06323cb53c435b619b60","70ed24b61d942b4e5d8e97539fb40ce5cf93fcb21b3d06323cb53c435b619b60",25002,25002,"failed order-36 source manifest","PASS"
"audit/hypotheses/H05/report017_order36/handoff_exact.diff","audit/hypotheses/H05/report017_order36b_final_verifier/prior_order36a_failed_evidence/handoff_exact.diff","c956a84f1f8eb15ed5beaffe53d0a6d51d5cae44079003f53ec33ceb8a6ce467","c956a84f1f8eb15ed5beaffe53d0a6d51d5cae44079003f53ec33ceb8a6ce467",4839,4839,"failed order-36 handoff exact diff","PASS"
"audit/hypotheses/H05/report017_order36/package_versions.csv","audit/hypotheses/H05/report017_order36b_final_verifier/prior_order36a_failed_evidence/package_versions.csv","d2d9cbf4bfb11177051b934a21a64493c43af8c3406861a1cb97bc594b364641","d2d9cbf4bfb11177051b934a21a64493c43af8c3406861a1cb97bc594b364641",160,160,"failed order-36 package versions","PASS"
"audit/hypotheses/H05/report017_order36/protected_inventory.csv","audit/hypotheses/H05/report017_order36b_final_verifier/prior_order36a_failed_evidence/protected_inventory.csv","3872b7b8aa23fd61359ff7b53887fd4837a4592349def715a84a514029dd55fe","3872b7b8aa23fd61359ff7b53887fd4837a4592349def715a84a514029dd55fe",37691,37691,"failed order-36 protected inventory","PASS"
"audit/hypotheses/H05/report017_order36/result_source_exact.diff","audit/hypotheses/H05/report017_order36b_final_verifier/prior_order36a_failed_evidence/result_source_exact.diff","c283c5129bb6ea2db476b40bbc227f0975079225c6dc5f5e72505471c02dcf54","c283c5129bb6ea2db476b40bbc227f0975079225c6dc5f5e72505471c02dcf54",36746,36746,"failed order-36 result exact diff","PASS"
"audit/hypotheses/H05/report017_order36/reverse_proof.csv","audit/hypotheses/H05/report017_order36b_final_verifier/prior_order36a_failed_evidence/reverse_proof.csv","010f0bf1d5d77c04a3c7d093a6ea946f9b068e0684b1c0fa51b319d4f6cc9f47","010f0bf1d5d77c04a3c7d093a6ea946f9b068e0684b1c0fa51b319d4f6cc9f47",618,618,"failed order-36 source reverse proof","PASS"
"audit/hypotheses/H05/report017_order36/stored_figure_inventory.csv","audit/hypotheses/H05/report017_order36b_final_verifier/prior_order36a_failed_evidence/stored_figure_inventory.csv","a0908b0fdcb86256097ebbab4876cecc1ea5a19d7fffe3911031020eb44208b6","a0908b0fdcb86256097ebbab4876cecc1ea5a19d7fffe3911031020eb44208b6",989,989,"failed order-36 stored-figure inventory","PASS"
