"path","line","before","after"
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd",45,"The [reader results](../../13_cross_state_association_results_amendment.qmd#sec-brown-main-results) and [preparation companion](../../14_cross_state_association_preparation_and_provenance.qmd#sec-purpose) use the complete main package with exact reuse of the separate exploratory extension. Writer and shared-page propagation remain separate.","The [reader results](../../13_cross_state_association_results_amendment.html#sec-brown-main-results) and [preparation companion](../../14_cross_state_association_preparation_and_provenance.html#sec-purpose) use the complete main package with exact reuse of the separate exploratory extension. Writer and shared-page propagation remain separate."
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd",345,"![Current site Work-Free differences: diamonds compare with zero; asterisks compare with the equal-site effect.](../stage3/figures/main_site_free_work.png){#fig-implementation-free-work fig-alt=""All 27 site effects and CIs with distinct against-zero and departure-from-average markers."" width=""100%""}","![Current site Free-minus-Work differences: diamonds compare with zero; asterisks compare with the equal-site effect.](../stage3/figures/main_site_free_work.png){#fig-implementation-free-work fig-alt=""All 27 site effects and CIs with distinct against-zero and departure-from-average markers."" width=""100%""}"
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",152,"The global interaction and the window-specific site-by-day-type tests assess different questions: whether site differences in the Work-Free pattern vary across windows, and whether each window's Work-Free difference varies across sites.","The global interaction and the window-specific site-by-day-type tests assess different questions: whether site differences in the Free-minus-Work pattern vary across windows, and whether each window's Free-minus-Work difference varies across sites."
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",283,"The actual-date temporal endpoint models failed structural checks. The first eligible beta-binomial temporal fallback in each sample changed both distributional family and random-effects structure and retained near-boundary cautions. Its Work-Free directions and interval conclusions agreed with the corresponding primary sample, but endpoint calibration failed all five applicable checks in both fallback samples. The any-valid fallback retained a Daytime residual-correlation trigger. The absence of a registered trigger in the coverage fallback does not establish independence. These fallbacks do not replace the primary model.","The actual-date temporal endpoint models failed structural checks. The first eligible beta-binomial temporal fallback in each sample changed both distributional family and random-effects structure and retained near-boundary cautions. Its Free-minus-Work directions and interval conclusions agreed with the corresponding primary sample, but endpoint calibration failed all five applicable checks in both fallback samples. The any-valid fallback retained a Daytime residual-correlation trigger. The absence of a registered trigger in the coverage fallback does not establish independence. These fallbacks do not replace the primary model."
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",337,"the main Work-Free analysis.","the main Free-minus-Work analysis."
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",656,"The [preparation and provenance companion](14_cross_state_association_preparation_and_provenance.qmd#sec-purpose) explains the measurement, weighting, samples, model checks and separate testing families. The [implementation and reconciliation report](main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd) retains the complete technical execution and failure history. The exploratory model is documented in its [implementation report](12_cross_state_association_implementation_and_reconciliation.qmd).","The [preparation and provenance companion](14_cross_state_association_preparation_and_provenance.html#sec-purpose) explains the measurement, weighting, samples, model checks and separate testing families. The [implementation and reconciliation report](main_linkage_b_amendment/stage2/implementation_and_reconciliation.html) retains the complete technical execution and failure history. The exploratory model is documented in its [implementation report](12_cross_state_association_implementation_and_reconciliation.html)."
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",42,"This companion explains how the [integrated recommendation-adherence results](13_cross_state_association_results_amendment.qmd#sec-brown-main-results) were constructed and checked. The main analysis compares Work and Free days across recommendation windows and sites. A separate exploratory extension asks whether Daytime adherence aligns with Sleep or Pre-sleep adherence within cycles and between participants.","This companion explains how the [integrated recommendation-adherence results](13_cross_state_association_results_amendment.html#sec-brown-main-results) were constructed and checked. The main analysis compares Work and Free days across recommendation windows and sites. A separate exploratory extension asks whether Daytime adherence aligns with Sleep or Pre-sleep adherence within cycles and between participants."
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",189,"The model supplies population-average adherence on the response scale, integrating the retained participant distribution. Nine sites each receive weight 1/9. A site-average Work or Free estimate is therefore not an observed pooled-minute proportion. Work-Free differences are percentage points. Site-level averages and their contrasts use the joint stored covariance, rather than treating the site reference as an independent estimate.","The model supplies population-average adherence on the response scale, integrating the retained participant distribution. Nine sites each receive weight 1/9. A site-average Work or Free estimate is therefore not an observed pooled-minute proportion. Free-minus-Work differences are percentage points. Site-level averages and their contrasts use the joint stored covariance, rather than treating the site reference as an independent estimate."
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",225,"Both attempted endpoint-inflated temporal routes failed. The coverage-restricted candidate had a finite but indefinite covariance matrix. The first eligible beta-binomial temporal fallback in each sample retained a near-boundary caution; later fallback rungs were not run. These models change both family and random structure. They preserve corresponding Work-Free directions and interval conclusions, but their endpoint calibration fails all five applicable envelopes. Any-valid Daytime residual correlation remains triggered; no trigger in the coverage fallback does not prove independence. Neither fallback replaces the primary model.","Both attempted endpoint-inflated temporal routes failed. The coverage-restricted candidate had a finite but indefinite covariance matrix. The first eligible beta-binomial temporal fallback in each sample retained a near-boundary caution; later fallback rungs were not run. These models change both family and random structure. They preserve corresponding Free-minus-Work directions and interval conclusions, but their endpoint calibration fails all five applicable envelopes. Any-valid Daytime residual correlation remains triggered; no trigger in the coverage fallback does not prove independence. Neither fallback replaces the primary model."
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",272,"### Departure from the equal-site Work-Free effect","### Departure from the equal-site Free-minus-Work effect {#departure-from-the-equal-site-work-free-effect}"
