run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,inference_status,pilot_contract_sha256,approximation,measure,estimate,conf_low,conf_high,bootstrap_successful_used,interval_method,status
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,marginal_r2,0.13843253787305984,0.07704096792630319,0.2171278391444809,50,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,conditional_r2,0.517409944030377,0.4429848695660632,0.5930235927519938,50,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,participant_associated_share,0.3789774061573171,0.3078453496296457,0.43391154073355664,50,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,site_part_r2,0.11681332771048895,0.06925934510337993,0.18154868564568413,50,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,photoperiod_part_r2,0.02308870936173799,0.0011657056915775664,0.06707083527004086,50,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,latitude_model_marginal_r2,0.06136918933204328,0.01552582662908734,0.11923208934852991,50,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,latitude_part_r2,0.03938182390340634,0.00835747950762715,0.07344897650690489,50,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,unrepresented_share,0.482590055969623,0.4069764072480062,0.5570151304339369,50,joint_parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,marginal_r2,0.15192819982113803,0.11161945472106227,0.26634810782196355,50,joint_parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,conditional_r2,0.5282536331214204,0.46437770734445205,0.6000400212299002,50,joint_parametric_percentile,PASS
