placement,bin,unique_participant_hours,fitted_mean_lx,observed_zero_fraction,working_zero_fraction
Near-eye,1,1653,0.01094636720381322,0.9794313369630974,0.9707677217372591
Near-eye,2,1653,0.06676974050408473,0.9153055051421658,0.9335626959346204
Near-eye,3,1653,0.5426713218928221,0.6231094978826376,0.8383645452170863
Near-eye,4,1653,3.463163844429631,0.20992135511191773,0.65491498551328
Near-eye,5,1653,11.69669549535666,0.07985480943738657,0.47113130017143856
Near-eye,6,1653,30.08655110780712,0.036297640653357534,0.3128254083084267
Near-eye,7,1652,66.367206625483945,0.0211864406779661,0.1863852677562083
Near-eye,8,1652,131.55678196502487,0.013922518159806295,0.10028033287638372
Near-eye,9,1652,260.08007756971176,0.011501210653753027,0.044616180031319876
Near-eye,10,1652,1211.3494369469815,0.0036319612590799033,0.009440841783285836
Chest,1,2013,0.008581379119487023,0.9692001987083955,0.979994907068224
Chest,2,2013,0.0635097218386478,0.912568306010929,0.9492126038723433
Chest,3,2013,0.5701856554826155,0.6070541480377546,0.8687701973865792
Chest,4,2013,3.49891983395935,0.24490809736711375,0.7168966748397838
Chest,5,2013,11.533292700256021,0.10382513661202186,0.5580122607638643
Chest,6,2013,29.980674804999104,0.05216095380029806,0.4038331473568408
Chest,7,2013,66.29317153632928,0.03129657228017884,0.27013710673814856
Chest,8,2013,130.91846944885992,0.01092896174863388,0.16690450826061662
Chest,9,2012,262.42661968521173,0.007952286282306162,0.0871485621796017
Chest,10,2012,1356.4587900364645,0.002485089463220676,0.021726319370395653
