"parameter","estimate","standard_error","model_id","sample_id","component","term"
"beta_mu",1.5925258279284,0.099431630566979,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","(Intercept)"
"beta_mu",0.950496109185702,0.0536812264619689,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","target_state1"
"beta_mu",0.388974761706584,0.261637375860831,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","site1"
"beta_mu",0.0154921805456848,0.260253411722462,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","site2"
"beta_mu",-0.0257366370409585,0.233700765354309,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","site3"
"beta_mu",-0.296900895987478,0.18340234218233,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","site4"
"beta_mu",-0.825384687565293,0.267644013550725,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","site5"
"beta_mu",0.502372287358807,0.230842436515077,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","site6"
"beta_mu",-0.934691418939225,0.22659702530547,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","site7"
"beta_mu",-0.00391635533942932,0.423220288112622,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","site8"
"beta_mu",0.154611980718587,0.0534772023067265,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","day_type1"
"beta_mu",-0.0312340670607139,0.0314912776355926,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","wake_within_10pp"
"beta_mu",-0.255306569526802,0.0607103656575068,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","wake_between_centered_10pp"
"beta_mu",0.0414389518275626,0.0617241201193968,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","wake_free_fraction_centered_10pp"
"beta_mu",0.131782998988926,0.133417847065896,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","target_state1:site1"
"beta_mu",-0.432346096095631,0.131200467574036,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","target_state1:site2"
"beta_mu",0.0807178709868777,0.113478799396352,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","target_state1:site3"
"beta_mu",-0.15679648651201,0.0845559347913655,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","target_state1:site4"
"beta_mu",-0.353765040668206,0.117171480214367,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","target_state1:site5"
"beta_mu",0.751494490232626,0.126920094065479,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","target_state1:site6"
"beta_mu",-0.456344573107261,0.105090667533564,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","target_state1:site7"
"beta_mu",-0.333089048886324,0.200927511838013,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","target_state1:site8"
"beta_mu",0.206118295331086,0.0545081665195747,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","target_state1:day_type1"
"beta_mu",0.303226172926612,0.132583495240785,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","site1:day_type1"
"beta_mu",-0.107847086828994,0.128338360510198,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","site2:day_type1"
"beta_mu",0.0663617556195635,0.114172905491975,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","site3:day_type1"
"beta_mu",-0.0518015313494052,0.0865952350774508,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","site4:day_type1"
"beta_mu",0.0167922534736825,0.117765388248417,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","site5:day_type1"
"beta_mu",0.0249393724569654,0.125572776333587,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","site6:day_type1"
"beta_mu",-0.0227395791859741,0.105072757402593,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","site7:day_type1"
"beta_mu",-0.0669341338913322,0.206285795537223,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","site8:day_type1"
"beta_mu",0.0256903814225393,0.0313334742036622,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","target_state1:wake_within_10pp"
"beta_mu",-0.0673162770671481,0.027950629308832,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","target_state1:wake_between_centered_10pp"
"beta_mu",-0.0523208144800043,0.0305220715773366,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","target_state1:wake_free_fraction_centered_10pp"
"beta_mu",0.174115087348999,0.135665029013297,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","target_state1:site1:day_type1"
"beta_mu",0.148905627448705,0.129659677080467,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","target_state1:site2:day_type1"
"beta_mu",-0.113942668698681,0.109686482600265,"CS-ANY-F3-R3-EQUALDAY","primary_any_valid","mean","target_state1:site3:day_type1"
