"target_state","association_level","model_id","conditional_logit_estimate","conditional_logit_standard_error","conditional_logit_conf_low","conditional_logit_conf_high","response_effect_percentage_points","response_standard_error_percentage_points","response_conf_low_percentage_points","response_conf_high_percentage_points","direction","interval_excludes_zero","refit_type","omitted_site","primary_conditional_logit_estimate","primary_direction","primary_interval_excludes_zero","primary_response_effect_percentage_points","direction_preserved","interval_status_preserved","absolute_logit_shift","absolute_response_shift_percentage_points"
"Sleep","within","LOSO-THUAS",-0.0217246376648276,0.0456565782913605,-0.111209886773227,0.0677606114435722,-0.183119111592289,0.385466674188791,-0.938619910242755,0.572381687058177,"negative",FALSE,"leave_one_site_out","THUAS",-0.0306038448160961,"negative",FALSE,-0.263112786436615,TRUE,TRUE,0.00887920715126842,0.0799936748443253
"Pre-sleep","within","LOSO-THUAS",-0.00961924650150453,0.0446706359815991,-0.0971720841919378,0.0779335911889287,-0.184149964387548,0.855465756679638,-1.86083203748694,1.49253210871185,"negative",FALSE,"leave_one_site_out","THUAS",-0.0573201874415112,"negative",FALSE,-1.09428504382323,TRUE,TRUE,0.0477009409400066,0.910135079435681
"Sleep","between","LOSO-THUAS",-0.302388558536521,0.0626368765731357,-0.425154580723948,-0.179622536349095,-2.54948955964773,0.556678942252557,-3.6405602374146,-1.45841888188087,"negative",TRUE,"leave_one_site_out","THUAS",-0.292679761698989,"negative",TRUE,-2.51699025369609,TRUE,TRUE,0.00970879683753262,0.0324993059516387
"Pre-sleep","between","LOSO-THUAS",-0.175917554885123,0.064730345207281,-0.302786700198238,-0.0490484095720072,-3.36647259801534,1.24753173747331,-5.8115898730337,-0.921355322996974,"negative",TRUE,"leave_one_site_out","THUAS",-0.18830070176678,"negative",TRUE,-3.59340407353362,TRUE,TRUE,0.012383146881657,0.226931475518288
"Sleep","within","LOSO-BAUA",-0.0156514437623912,0.0439133427859238,-0.101720014063564,0.0704171265387812,-0.136519554267223,0.383540309966734,-0.88824474842135,0.615205639886905,"negative",FALSE,"leave_one_site_out","BAUA",-0.0306038448160961,"negative",FALSE,-0.263112786436615,TRUE,TRUE,0.0149524010537049,0.126593232169392
"Pre-sleep","within","LOSO-BAUA",-0.0662859278153633,0.0464005700612929,-0.157229373997625,0.0246575183668983,-1.25904448502518,0.883642237483325,-2.99095144571089,0.472862475660521,"negative",FALSE,"leave_one_site_out","BAUA",-0.0573201874415112,"negative",FALSE,-1.09428504382323,TRUE,TRUE,0.00896574037385215,0.164759441201956
"Sleep","between","LOSO-BAUA",-0.275082211051813,0.0701707574599149,-0.412614368441142,-0.137550053662485,-2.39979092999538,0.638493651576467,-3.65121549144272,-1.14836636854804,"negative",TRUE,"leave_one_site_out","BAUA",-0.292679761698989,"negative",TRUE,-2.51699025369609,TRUE,TRUE,0.0175975506471755,0.117199323700712
"Pre-sleep","between","LOSO-BAUA",-0.177530219201673,0.0710215341129992,-0.316729868189934,-0.0383305702134113,-3.37094328833069,1.35738758812058,-6.0313740741087,-0.71051250255267,"negative",TRUE,"leave_one_site_out","BAUA",-0.18830070176678,"negative",TRUE,-3.59340407353362,TRUE,TRUE,0.0107704825651072,0.222460785202938
"Sleep","within","LOSO-TUM",-0.0296739012637288,0.0439324698833069,-0.115779959986901,0.0564321574594433,-0.235413248309924,0.349404865249274,-0.92023420022157,0.449407703601723,"negative",FALSE,"leave_one_site_out","TUM",-0.0306038448160961,"negative",FALSE,-0.263112786436615,TRUE,TRUE,0.000929943552367276,0.0276995381266909
"Pre-sleep","within","LOSO-TUM",-0.0686377881075661,0.0465323995928425,-0.159839615423764,0.0225640392086316,-1.30400051880073,0.887545962093035,-3.04355863912703,0.43555760152557,"negative",FALSE,"leave_one_site_out","TUM",-0.0573201874415112,"negative",FALSE,-1.09428504382323,TRUE,TRUE,0.0113176006660549,0.209715474977501
"Sleep","between","LOSO-TUM",-0.252012500768795,0.0622202445453671,-0.373961939186989,-0.1300630623506,-1.99990539933144,0.51041886282803,-3.00030798750426,-0.999502811158608,"negative",TRUE,"leave_one_site_out","TUM",-0.292679761698989,"negative",TRUE,-2.51699025369609,TRUE,TRUE,0.040667260930194,0.517084854364658
