"parameter","estimate","standard_error","model_id","sample_id","component","term"
"beta_mu",1.68879094564974,0.104491083163803,"CS-80-F3-R3-EQUALDAY","support_80","mean","(Intercept)"
"beta_mu",0.915991209745811,0.0555993205128728,"CS-80-F3-R3-EQUALDAY","support_80","mean","target_state1"
"beta_mu",0.283203584812121,0.269439657567601,"CS-80-F3-R3-EQUALDAY","support_80","mean","site1"
"beta_mu",0.167460495671678,0.287427603231159,"CS-80-F3-R3-EQUALDAY","support_80","mean","site2"
"beta_mu",-0.0597681253332003,0.246406634794809,"CS-80-F3-R3-EQUALDAY","support_80","mean","site3"
"beta_mu",-0.35134591522674,0.192998546838528,"CS-80-F3-R3-EQUALDAY","support_80","mean","site4"
"beta_mu",-0.803318514063692,0.286861962224668,"CS-80-F3-R3-EQUALDAY","support_80","mean","site5"
"beta_mu",0.538755423266868,0.23420411920689,"CS-80-F3-R3-EQUALDAY","support_80","mean","site6"
"beta_mu",-1.03892569706979,0.246356980480318,"CS-80-F3-R3-EQUALDAY","support_80","mean","site7"
"beta_mu",-0.0955980996055847,0.441887084594258,"CS-80-F3-R3-EQUALDAY","support_80","mean","site8"
"beta_mu",0.102871641981201,0.0549773708414172,"CS-80-F3-R3-EQUALDAY","support_80","mean","day_type1"
"beta_mu",-0.0399802792068788,0.0323810720540004,"CS-80-F3-R3-EQUALDAY","support_80","mean","wake_within_10pp"
"beta_mu",-0.235166813408969,0.0636649261227585,"CS-80-F3-R3-EQUALDAY","support_80","mean","wake_between_centered_10pp"
"beta_mu",-0.0190004003261331,0.0668003653119303,"CS-80-F3-R3-EQUALDAY","support_80","mean","wake_free_fraction_centered_10pp"
"beta_mu",0.167925277126666,0.125207157679313,"CS-80-F3-R3-EQUALDAY","support_80","mean","target_state1:site1"
"beta_mu",-0.681228402112645,0.158521441553723,"CS-80-F3-R3-EQUALDAY","support_80","mean","target_state1:site2"
"beta_mu",0.0868156526603941,0.117205754230528,"CS-80-F3-R3-EQUALDAY","support_80","mean","target_state1:site3"
"beta_mu",-0.0887544646436326,0.0885544953982606,"CS-80-F3-R3-EQUALDAY","support_80","mean","target_state1:site4"
"beta_mu",-0.286336683143604,0.128539811821666,"CS-80-F3-R3-EQUALDAY","support_80","mean","target_state1:site5"
"beta_mu",0.777523505125487,0.128310531326472,"CS-80-F3-R3-EQUALDAY","support_80","mean","target_state1:site6"
"beta_mu",-0.491148905680407,0.125060081749407,"CS-80-F3-R3-EQUALDAY","support_80","mean","target_state1:site7"
"beta_mu",-0.31831905933995,0.203589825022672,"CS-80-F3-R3-EQUALDAY","support_80","mean","target_state1:site8"
"beta_mu",0.204435777855668,0.055299041967106,"CS-80-F3-R3-EQUALDAY","support_80","mean","target_state1:day_type1"
"beta_mu",0.361473654931599,0.12855204786831,"CS-80-F3-R3-EQUALDAY","support_80","mean","site1:day_type1"
"beta_mu",-0.0782538655944498,0.156226845848882,"CS-80-F3-R3-EQUALDAY","support_80","mean","site2:day_type1"
"beta_mu",-0.0217424640965133,0.116038650862689,"CS-80-F3-R3-EQUALDAY","support_80","mean","site3:day_type1"
"beta_mu",-0.0348009413359922,0.0904846283289637,"CS-80-F3-R3-EQUALDAY","support_80","mean","site4:day_type1"
"beta_mu",-0.0508849257554497,0.126467086956354,"CS-80-F3-R3-EQUALDAY","support_80","mean","site5:day_type1"
"beta_mu",-0.00882436297753903,0.125817491338292,"CS-80-F3-R3-EQUALDAY","support_80","mean","site6:day_type1"
"beta_mu",-0.0423154719095789,0.118759001699303,"CS-80-F3-R3-EQUALDAY","support_80","mean","site7:day_type1"
"beta_mu",0.00790239673418088,0.211098965818281,"CS-80-F3-R3-EQUALDAY","support_80","mean","site8:day_type1"
"beta_mu",0.0316885262609728,0.0326260304096572,"CS-80-F3-R3-EQUALDAY","support_80","mean","target_state1:wake_within_10pp"
