"parameter","estimate","standard_error","model_id","sample_id","component","term"
"beta_mu",1.51249667175134,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","(Intercept)"
"beta_mu",0.931476155924661,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1"
"beta_mu",0.231750447884241,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","site1"
"beta_mu",0.0154533536509303,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","site2"
"beta_mu",-0.0349759116168877,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","site3"
"beta_mu",-0.213566629543725,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","site4"
"beta_mu",-0.643524489117626,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","site5"
"beta_mu",0.482179861491409,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","site6"
"beta_mu",-0.712783319893925,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","site7"
"beta_mu",-0.313205660283747,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","site8"
"beta_mu",0.141111545335968,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","day_type1"
"beta_mu",-0.0460065576480574,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","wake_within_10pp"
"beta_mu",-0.217821222325916,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","wake_between_centered_10pp"
"beta_mu",0.0357081488055706,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","wake_free_fraction_centered_10pp"
"beta_mu",-0.031276890920622,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","participant_centered_date"
"beta_mu",0.0576340886560928,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:site1"
"beta_mu",-0.398951283753311,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:site2"
"beta_mu",0.036752426161985,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:site3"
"beta_mu",-0.126161849612914,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:site4"
"beta_mu",-0.335827386070831,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:site5"
"beta_mu",0.681502970193744,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:site6"
"beta_mu",-0.420689142570988,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:site7"
"beta_mu",-0.310217488197278,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:site8"
"beta_mu",0.186684756617188,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:day_type1"
"beta_mu",0.356228424854961,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","site1:day_type1"
"beta_mu",-0.1112057080831,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","site2:day_type1"
"beta_mu",0.0512164632019426,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","site3:day_type1"
"beta_mu",-0.0467744946310155,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","site4:day_type1"
"beta_mu",0.0123109162121639,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","site5:day_type1"
"beta_mu",0.071793132902428,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","site6:day_type1"
"beta_mu",-0.031627687249357,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","site7:day_type1"
"beta_mu",-0.130577714200862,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","site8:day_type1"
"beta_mu",0.0125578364335418,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:wake_within_10pp"
