"target_state","association_level","model_id","conditional_logit_estimate","conditional_logit_standard_error","conditional_logit_conf_low","conditional_logit_conf_high","response_effect_percentage_points","response_standard_error_percentage_points","response_conf_low_percentage_points","response_conf_high_percentage_points","direction","interval_excludes_zero","sample_id","sensitivity","primary_conditional_logit_estimate","primary_direction","primary_interval_excludes_zero","primary_response_effect_percentage_points","direction_preserved_vs_primary","interval_status_preserved_vs_primary","absolute_response_shift_vs_primary_percentage_points"
"Sleep","within","CS-80-F3-R3-COMPLETE",-0.0655697371220278,0.0503192922824909,-0.164193737723254,0.0330542634791985,-0.517063757993586,0.398050826634899,-1.29722904221438,0.263101526227213,"negative",FALSE,"support_80","complete_target_pair",-0.0306038448160961,"negative",FALSE,-0.263112786436615,TRUE,TRUE,0.253950971556971
"Pre-sleep","within","CS-80-F3-R3-COMPLETE",-0.0683050025110566,0.0470729071478406,-0.160566205168422,0.023956200146309,-1.28319603164813,0.88673804358924,-3.02117066080455,0.454778597508293,"negative",FALSE,"support_80","complete_target_pair",-0.0573201874415112,"negative",FALSE,-1.09428504382323,TRUE,TRUE,0.188910987824897
"Sleep","between","CS-80-F3-R3-COMPLETE",-0.286067730363227,0.0637750674923768,-0.411064565759897,-0.161070894966557,-2.25650015046713,0.521424353250835,-3.27847310350086,-1.23452719743341,"negative",TRUE,"support_80","complete_target_pair",-0.292679761698989,"negative",TRUE,-2.51699025369609,TRUE,TRUE,0.260490103228961
"Pre-sleep","between","CS-80-F3-R3-COMPLETE",-0.136898195307387,0.0658481184725521,-0.265958135963315,-0.00783825465145804,-2.57140614266143,1.24158580746451,-5.00486960900794,-0.137942676314913,"negative",TRUE,"support_80","complete_target_pair",-0.18830070176678,"negative",TRUE,-3.59340407353362,TRUE,TRUE,1.0219979308722
"Sleep","within","CS-ANY-F3-R3-EQUALDAY",-0.00554368563817456,0.0427424294293245,-0.0893173079313955,0.0782299366550464,-0.0459261636773123,0.354160621696767,-0.74006822694529,0.648215899590666,"negative",FALSE,"primary_any_valid","equal_daytype_between",-0.0306038448160961,"negative",FALSE,-0.263112786436615,TRUE,TRUE,0.217186622759302
"Pre-sleep","within","CS-ANY-F3-R3-EQUALDAY",-0.0569244484832532,0.0460440992100647,-0.147169224635569,0.0333203276690628,-1.06034563595684,0.859307810980512,-2.74455799711259,0.623866725198917,"negative",FALSE,"primary_any_valid","equal_daytype_between",-0.0573201874415112,"negative",FALSE,-1.09428504382323,TRUE,TRUE,0.0339394078663902
"Sleep","between","CS-ANY-F3-R3-EQUALDAY",-0.32262284659395,0.0645287782834276,-0.449096927995838,-0.196148765192061,-2.67399660912044,0.550102620093055,-3.75217793230395,-1.59581528593694,"negative",TRUE,"primary_any_valid","equal_daytype_between",-0.292679761698989,"negative",TRUE,-2.51699025369609,TRUE,TRUE,0.157006355424349
"Pre-sleep","between","CS-ANY-F3-R3-EQUALDAY",-0.187990292459654,0.0690652526767555,-0.323355700289253,-0.0526248846300545,-3.50045238588258,1.29724499412418,-6.04300585349085,-0.957898918274311,"negative",TRUE,"primary_any_valid","equal_daytype_between",-0.18830070176678,"negative",TRUE,-3.59340407353362,TRUE,TRUE,0.0929516876510439
"Sleep","within","CS-80-F3-R3-EQUALDAY",-0.00829175294590608,0.0431601069339457,-0.092884008105337,0.0763005022135249,-0.068260860648206,0.355392467469951,-0.764817297266133,0.628295575969721,"negative",FALSE,"support_80","equal_daytype_between",-0.0306038448160961,"negative",FALSE,-0.263112786436615,TRUE,TRUE,0.194851925788408
"Pre-sleep","within","CS-80-F3-R3-EQUALDAY",-0.0716688054678516,0.0486126377063296,-0.166947824565751,0.0236102136300482,-1.30593844296947,0.886524354427284,-3.04349424906457,0.43161736312563,"negative",FALSE,"support_80","equal_daytype_between",-0.0573201874415112,"negative",FALSE,-1.09428504382323,TRUE,TRUE,0.211653399146239
