"parameter","estimate","standard_error","model_id","sample_id","component","term"
"beta_mu",1.51868352517931,0.0902293623752464,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","(Intercept)"
"beta_mu",0.946675448972303,0.0503167248502728,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","target_state1"
"beta_mu",0.350059140551774,0.25170350509034,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","site1"
"beta_mu",0.105915808975776,0.252535740374283,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","site2"
"beta_mu",-0.0121860404834111,0.214105311648141,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","site3"
"beta_mu",-0.225046497116048,0.175559727058721,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","site4"
"beta_mu",-0.793016199836859,0.263062733630141,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","site5"
"beta_mu",0.631728430889575,0.203689693821783,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","site6"
"beta_mu",-0.81134207130653,0.214087685021064,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","site7"
"beta_mu",-0.463333268832135,0.366593128151644,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","site8"
"beta_mu",0.179016056761003,0.0523951393138982,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","day_type1"
"beta_mu",-0.0439620161299477,0.0299551830598436,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","wake_within_10pp"
"beta_mu",-0.240490231732799,0.0552139277789814,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","wake_between_centered_10pp"
"beta_mu",0.0412035846910817,0.044018284810331,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","wake_free_fraction_centered_10pp"
"beta_mu",0.070017274797095,0.140148325113923,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","target_state1:site1"
"beta_mu",-0.448823237210325,0.130087828129011,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","target_state1:site2"
"beta_mu",0.0477927215952865,0.108210361698337,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","target_state1:site3"
"beta_mu",-0.130385748145324,0.0829475278444117,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","target_state1:site4"
"beta_mu",-0.347094923346503,0.11703651038924,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","target_state1:site5"
"beta_mu",0.726152042161828,0.119714958611291,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","target_state1:site6"
"beta_mu",-0.411798484782985,0.101503593036179,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","target_state1:site7"
"beta_mu",-0.349516152763737,0.19030287554612,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","target_state1:site8"
"beta_mu",0.228283466144076,0.0533708776952632,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","target_state1:day_type1"
"beta_mu",0.372957852287443,0.13419085299561,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","site1:day_type1"
"beta_mu",-0.10681794466947,0.128075218412704,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","site2:day_type1"
"beta_mu",0.0560670431614896,0.1097139537279,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","site3:day_type1"
"beta_mu",-0.0544113050343556,0.0864495015022372,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","site4:day_type1"
"beta_mu",0.0172922095920381,0.117366125926899,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","site5:day_type1"
"beta_mu",0.0650149364860489,0.124523354618885,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","site6:day_type1"
"beta_mu",-0.0288807912509088,0.103838496600208,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","site7:day_type1"
"beta_mu",-0.142871921968316,0.201929256674752,"CS-ANY-F3-R0-Q2-Q1-D0","primary_any_valid","mean","site8:day_type1"
