"parameter","estimate","standard_error","model_id","sample_id","component","term"
"beta_mu",1.60827544010171,0.101347154530524,"CS-80-F3-R3-COMPLETE","support_80","mean","(Intercept)"
"beta_mu",0.891435601453716,0.0591285244305199,"CS-80-F3-R3-COMPLETE","support_80","mean","target_state1"
"beta_mu",0.249649166069757,0.2642610956575,"CS-80-F3-R3-COMPLETE","support_80","mean","site1"
"beta_mu",0.335985303640142,0.300077204879109,"CS-80-F3-R3-COMPLETE","support_80","mean","site2"
"beta_mu",-0.118864558066501,0.227753137599489,"CS-80-F3-R3-COMPLETE","support_80","mean","site3"
"beta_mu",-0.249786876506173,0.185880183939047,"CS-80-F3-R3-COMPLETE","support_80","mean","site4"
"beta_mu",-0.772050975544717,0.288981102042357,"CS-80-F3-R3-COMPLETE","support_80","mean","site5"
"beta_mu",0.636028206737165,0.22281401134005,"CS-80-F3-R3-COMPLETE","support_80","mean","site6"
"beta_mu",-0.920494789361014,0.2292777494215,"CS-80-F3-R3-COMPLETE","support_80","mean","site7"
"beta_mu",-0.552647893120505,0.390305659583092,"CS-80-F3-R3-COMPLETE","support_80","mean","site8"
"beta_mu",0.0950908330413005,0.0649965354510179,"CS-80-F3-R3-COMPLETE","support_80","mean","day_type1"
"beta_mu",-0.0669373698165422,0.0352562998566667,"CS-80-F3-R3-COMPLETE","support_80","mean","wake_within_10pp"
"beta_mu",-0.211482962835307,0.0578498496187978,"CS-80-F3-R3-COMPLETE","support_80","mean","wake_between_centered_10pp"
"beta_mu",-0.00998189279866902,0.0485696703816042,"CS-80-F3-R3-COMPLETE","support_80","mean","wake_free_fraction_centered_10pp"
"beta_mu",0.0777380158168348,0.157043678318552,"CS-80-F3-R3-COMPLETE","support_80","mean","target_state1:site1"
"beta_mu",-0.600177591759918,0.167475959596662,"CS-80-F3-R3-COMPLETE","support_80","mean","target_state1:site2"
"beta_mu",-0.0503743396149318,0.125977034380293,"CS-80-F3-R3-COMPLETE","support_80","mean","target_state1:site3"
"beta_mu",-0.0328476759072632,0.0938310330990774,"CS-80-F3-R3-COMPLETE","support_80","mean","target_state1:site4"
"beta_mu",-0.255260828152978,0.133822171699448,"CS-80-F3-R3-COMPLETE","support_80","mean","target_state1:site5"
"beta_mu",0.740553129515534,0.143428881765476,"CS-80-F3-R3-COMPLETE","support_80","mean","target_state1:site6"
"beta_mu",-0.513133303416214,0.125804491040828,"CS-80-F3-R3-COMPLETE","support_80","mean","target_state1:site7"
"beta_mu",-0.301021096608635,0.209360007486424,"CS-80-F3-R3-COMPLETE","support_80","mean","target_state1:site8"
"beta_mu",0.20720506712714,0.061278050089721,"CS-80-F3-R3-COMPLETE","support_80","mean","target_state1:day_type1"
"beta_mu",0.402882533511453,0.158417940014309,"CS-80-F3-R3-COMPLETE","support_80","mean","site1:day_type1"
"beta_mu",-0.217204826243578,0.172358402750527,"CS-80-F3-R3-COMPLETE","support_80","mean","site2:day_type1"
"beta_mu",0.0400794780373738,0.137621383404002,"CS-80-F3-R3-COMPLETE","support_80","mean","site3:day_type1"
"beta_mu",-0.00551208596054566,0.0997591578434644,"CS-80-F3-R3-COMPLETE","support_80","mean","site4:day_type1"
"beta_mu",-0.103533495427076,0.163576638169213,"CS-80-F3-R3-COMPLETE","support_80","mean","site5:day_type1"
"beta_mu",0.145774341104637,0.147796569717691,"CS-80-F3-R3-COMPLETE","support_80","mean","site6:day_type1"
"beta_mu",-0.0353866212582504,0.125561855298081,"CS-80-F3-R3-COMPLETE","support_80","mean","site7:day_type1"
"beta_mu",0.0525410883895349,0.235674580446487,"CS-80-F3-R3-COMPLETE","support_80","mean","site8:day_type1"
"beta_mu",0.00136763269451438,0.0336294246456401,"CS-80-F3-R3-COMPLETE","support_80","mean","target_state1:wake_within_10pp"
