"parameter","estimate","standard_error","model_id","sample_id","component","term"
"beta_mu",1.54132744964914,0.0907563341327901,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","(Intercept)"
"beta_mu",0.925231105709591,0.0659768350601707,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1"
"beta_mu",0.536951422092618,0.225431285867596,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","site1"
"beta_mu",0.0628971264714568,0.236309531254617,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","site2"
"beta_mu",-0.0844810634393433,0.196050805164859,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","site3"
"beta_mu",-0.21613938176146,0.166009650337201,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","site4"
"beta_mu",-0.959749735418768,0.248700332707107,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","site5"
"beta_mu",0.596674701125892,0.213972954602409,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","site6"
"beta_mu",-0.809380611441214,0.200161358492786,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","site7"
"beta_mu",-0.120321357375634,0.357529543828626,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","site8"
"beta_mu",0.17649891135568,0.0640636414037817,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","day_type1"
"beta_mu",-0.0201838775273558,0.0379387714310876,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","wake_within_10pp"
"beta_mu",-0.246405497262383,0.0513252322188418,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","wake_between_centered_10pp"
"beta_mu",0.056721003062097,0.0420350287439621,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","wake_free_fraction_centered_10pp"
"beta_mu",0.324013239071845,0.155631632026105,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:site1"
"beta_mu",-0.432042490093967,0.158574826794178,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:site2"
"beta_mu",0.139281660781464,0.142110290665926,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:site3"
"beta_mu",-0.131744058432263,0.106639319979652,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:site4"
"beta_mu",-0.433561284571684,0.157363648690257,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:site5"
"beta_mu",0.785713766947645,0.165931425183572,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:site6"
"beta_mu",-0.52517360132142,0.126325409089453,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:site7"
"beta_mu",-0.39352676761927,0.227501855341728,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:site8"
"beta_mu",0.1809768256254,0.0646317732731767,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:day_type1"
"beta_mu",0.131704589769891,0.158617014825773,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","site1:day_type1"
"beta_mu",-0.259905602727015,0.153887855928022,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","site2:day_type1"
"beta_mu",0.109419116006869,0.130033127041605,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","site3:day_type1"
"beta_mu",-0.00924347631483941,0.111130281951427,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","site4:day_type1"
"beta_mu",0.124105285197718,0.157285713386329,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","site5:day_type1"
"beta_mu",0.0340937368847796,0.172979489627263,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","site6:day_type1"
"beta_mu",-0.10260279577814,0.126174539892697,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","site7:day_type1"
"beta_mu",0.0205503012691838,0.242148737116107,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","site8:day_type1"
"beta_mu",-0.00568572995755062,0.0359087457477673,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:wake_within_10pp"
"beta_mu",-0.0681165195126592,0.0335913820224422,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:wake_between_centered_10pp"
"beta_mu",-0.0942449824554506,0.0305469413081373,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:wake_free_fraction_centered_10pp"
"beta_mu",0.0653556018543876,0.153450882401548,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:site1:day_type1"
"beta_mu",0.340761222188262,0.164091692434885,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:site2:day_type1"
"beta_mu",-0.306267239720064,0.138376982411473,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:site3:day_type1"
"beta_mu",0.039741910007286,0.106782909058836,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:site4:day_type1"
"beta_mu",-0.132650155016068,0.152339035751279,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:site5:day_type1"
"beta_mu",0.103228705012763,0.166062313020743,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:site6:day_type1"
"beta_mu",-0.0717370969889024,0.125678607281817,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:site7:day_type1"
"beta_mu",-0.00584361897321656,0.224853319365596,"CS-ANY-F3-R3-THIN2","primary_any_valid","mean","target_state1:site8:day_type1"
"beta_zero",-4.98157543348177,0.504511638184205,"CS-ANY-F3-R3-THIN2","primary_any_valid","extra_all_zero","(Intercept)"
"beta_zero",-0.212631073317251,0.473931263808948,"CS-ANY-F3-R3-THIN2","primary_any_valid","extra_all_zero","target_state1"
"beta_zero",0.232539913443445,0.500766759463435,"CS-ANY-F3-R3-THIN2","primary_any_valid","extra_all_zero","day_type1"
