"sample_id","target_state","site","day_type","rows","participants","cycles","valid_minutes","exact_zero_rows","exact_one_rows"
"primary_any_valid","Sleep","BAUA","Work day",57,18,57,25781,0,18
"primary_any_valid","Sleep","BAUA","Free day",33,15,33,18107,0,9
"primary_any_valid","Sleep","FUSPCEU","Work day",68,22,68,32464,0,52
"primary_any_valid","Sleep","FUSPCEU","Free day",43,19,43,23430,0,24
"primary_any_valid","Sleep","IZTECH","Free day",35,16,35,18832,0,4
"primary_any_valid","Sleep","IZTECH","Work day",64,17,64,30803,1,17
"primary_any_valid","Sleep","KNUST","Work day",41,14,41,17558,1,32
"primary_any_valid","Sleep","KNUST","Free day",40,14,40,20013,1,32
"primary_any_valid","Sleep","MPI","Work day",87,26,87,39562,0,27
"primary_any_valid","Sleep","MPI","Free day",62,25,62,29104,1,12
"primary_any_valid","Sleep","RISE","Work day",45,12,45,19580,0,27
"primary_any_valid","Sleep","RISE","Free day",30,13,30,14770,0,13
"primary_any_valid","Sleep","THUAS","Free day",23,12,23,11843,0,2
"primary_any_valid","Sleep","THUAS","Work day",41,12,41,19908,0,10
"primary_any_valid","Sleep","TUM","Work day",30,10,30,14667,0,3
"primary_any_valid","Sleep","TUM","Free day",30,10,30,15269,1,10
"primary_any_valid","Sleep","UCR","Work day",22,6,22,9559,1,5
"primary_any_valid","Sleep","UCR","Free day",7,4,7,3325,0,1
"primary_any_valid","Pre-sleep","BAUA","Work day",43,16,43,7431,0,2
"primary_any_valid","Pre-sleep","BAUA","Free day",27,14,27,4522,1,3
"primary_any_valid","Pre-sleep","FUSPCEU","Work day",66,22,66,11202,0,9
"primary_any_valid","Pre-sleep","FUSPCEU","Free day",25,17,25,4390,0,7
"primary_any_valid","Pre-sleep","IZTECH","Work day",60,17,60,10233,2,1
"primary_any_valid","Pre-sleep","IZTECH","Free day",23,16,23,3785,1,4
"primary_any_valid","Pre-sleep","KNUST","Work day",39,13,39,5984,2,11
"primary_any_valid","Pre-sleep","KNUST","Free day",29,14,29,4408,0,8
"primary_any_valid","Pre-sleep","MPI","Work day",85,26,85,14469,2,2
"primary_any_valid","Pre-sleep","MPI","Free day",36,22,36,6261,0,3
"primary_any_valid","Pre-sleep","RISE","Work day",44,12,44,7221,1,2
"primary_any_valid","Pre-sleep","RISE","Free day",19,13,19,3235,0,2
"primary_any_valid","Pre-sleep","THUAS","Free day",13,11,13,2084,0,2
"primary_any_valid","Pre-sleep","THUAS","Work day",36,11,36,5802,1,5
"primary_any_valid","Pre-sleep","TUM","Work day",30,10,30,5120,0,1
"primary_any_valid","Pre-sleep","TUM","Free day",20,10,20,3271,0,4
"primary_any_valid","Pre-sleep","UCR","Work day",20,6,20,3364,1,0
"primary_any_valid","Pre-sleep","UCR","Free day",3,2,3,540,0,0
"support_80","Sleep","BAUA","Work day",48,18,48,22266,0,13
"support_80","Sleep","BAUA","Free day",33,15,33,18107,0,9
"support_80","Sleep","FUSPCEU","Work day",67,22,67,31909,0,51
"support_80","Sleep","FUSPCEU","Free day",40,19,40,21785,0,22
"support_80","Sleep","IZTECH","Free day",32,16,32,17163,0,3
"support_80","Sleep","IZTECH","Work day",61,17,61,28866,1,16
"support_80","Sleep","KNUST","Work day",34,13,34,14580,1,25
"support_80","Sleep","KNUST","Free day",37,14,37,18767,1,30
"support_80","Sleep","MPI","Work day",81,26,81,36941,0,25
"support_80","Sleep","MPI","Free day",58,25,58,26949,1,12
"support_80","Sleep","RISE","Work day",39,12,39,17316,0,23
"support_80","Sleep","RISE","Free day",29,13,29,14353,0,12
"support_80","Sleep","THUAS","Work day",39,12,39,19061,0,10
"support_80","Sleep","THUAS","Free day",20,12,20,10449,0,0
"support_80","Sleep","TUM","Work day",25,10,25,12446,0,3
"support_80","Sleep","TUM","Free day",28,10,28,14142,1,10
"support_80","Sleep","UCR","Work day",19,6,19,8156,1,4
"support_80","Sleep","UCR","Free day",7,4,7,3325,0,1
"support_80","Pre-sleep","BAUA","Work day",39,16,39,6912,0,1
"support_80","Pre-sleep","BAUA","Free day",23,14,23,4121,1,2
"support_80","Pre-sleep","FUSPCEU","Work day",59,21,59,10505,0,7
"support_80","Pre-sleep","FUSPCEU","Free day",22,16,22,3960,0,6
"support_80","Pre-sleep","IZTECH","Free day",16,14,16,2849,0,3
"support_80","Pre-sleep","IZTECH","Work day",49,17,49,8687,2,0
"support_80","Pre-sleep","KNUST","Work day",24,10,24,4245,1,8
"support_80","Pre-sleep","KNUST","Free day",19,11,19,3289,0,5
"support_80","Pre-sleep","MPI","Work day",70,26,70,12424,2,2
"support_80","Pre-sleep","MPI","Free day",33,20,33,5863,0,2
"support_80","Pre-sleep","RISE","Work day",35,12,35,6179,1,2
"support_80","Pre-sleep","RISE","Free day",17,11,17,3053,0,1
"support_80","Pre-sleep","THUAS","Work day",29,10,29,5160,0,5
"support_80","Pre-sleep","THUAS","Free day",8,6,8,1435,0,2
"support_80","Pre-sleep","TUM","Work day",24,10,24,4224,0,1
"support_80","Pre-sleep","TUM","Free day",14,9,14,2456,0,2
"support_80","Pre-sleep","UCR","Work day",18,6,18,3182,1,0
"support_80","Pre-sleep","UCR","Free day",3,2,3,540,0,0
