"parameter","estimate","standard_error","model_id","sample_id","component","term"
"beta_mu",1.61286267126687,0.0943508358683844,"CS-80-F3-R3-THIN2","support_80","mean","(Intercept)"
"beta_mu",0.916230783468402,0.0656103061757029,"CS-80-F3-R3-THIN2","support_80","mean","target_state1"
"beta_mu",0.327768674267789,0.257729262650454,"CS-80-F3-R3-THIN2","support_80","mean","site1"
"beta_mu",0.104989350874359,0.296016444596692,"CS-80-F3-R3-THIN2","support_80","mean","site2"
"beta_mu",-0.0521294324667221,0.249612045354498,"CS-80-F3-R3-THIN2","support_80","mean","site3"
"beta_mu",-0.190644092823611,0.197503456832919,"CS-80-F3-R3-THIN2","support_80","mean","site4"
"beta_mu",-0.802757728517474,0.26464865644526,"CS-80-F3-R3-THIN2","support_80","mean","site5"
"beta_mu",0.696487809112841,0.220490190453331,"CS-80-F3-R3-THIN2","support_80","mean","site6"
"beta_mu",-0.999132409194999,0.244468949409125,"CS-80-F3-R3-THIN2","support_80","mean","site7"
"beta_mu",-0.21931355562802,0.390756068809513,"CS-80-F3-R3-THIN2","support_80","mean","site8"
"beta_mu",0.10257698233581,0.06505810304373,"CS-80-F3-R3-THIN2","support_80","mean","day_type1"
"beta_mu",-0.021483126984587,0.0525606310215241,"CS-80-F3-R3-THIN2","support_80","mean","wake_within_10pp"
"beta_mu",-0.199553723494294,0.0575303983994562,"CS-80-F3-R3-THIN2","support_80","mean","wake_between_centered_10pp"
"beta_mu",0.0223579165545533,0.032503888571158,"CS-80-F3-R3-THIN2","support_80","mean","wake_free_fraction_centered_10pp"
"beta_mu",0.237132508099171,0.152436883685734,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:site1"
"beta_mu",-0.60125584739619,0.188841210797623,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:site2"
"beta_mu",0.214966467853708,0.164056173304933,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:site3"
"beta_mu",-0.045742857571981,0.112025653000776,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:site4"
"beta_mu",-0.37150859562136,0.148903523252663,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:site5"
"beta_mu",0.746869043667807,0.13470004840406,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:site6"
"beta_mu",-0.498315042170995,0.150876923748765,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:site7"
"beta_mu",-0.381658688028903,0.231399523336306,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:site8"
"beta_mu",0.174093154081718,0.0658536731371191,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:day_type1"
"beta_mu",0.274444145724957,0.171058958389758,"CS-80-F3-R3-THIN2","support_80","mean","site1:day_type1"
"beta_mu",-0.134786781918296,0.17782560553878,"CS-80-F3-R3-THIN2","support_80","mean","site2:day_type1"
"beta_mu",-0.0634002270415691,0.162988270199668,"CS-80-F3-R3-THIN2","support_80","mean","site3:day_type1"
"beta_mu",-0.00641701060081208,0.117002779925695,"CS-80-F3-R3-THIN2","support_80","mean","site4:day_type1"
"beta_mu",-0.0190069908130673,0.130426446990164,"CS-80-F3-R3-THIN2","support_80","mean","site5:day_type1"
"beta_mu",-0.0451035880067442,0.161764076601679,"CS-80-F3-R3-THIN2","support_80","mean","site6:day_type1"
"beta_mu",-0.0755815303236392,0.142773973256924,"CS-80-F3-R3-THIN2","support_80","mean","site7:day_type1"
"beta_mu",0.228822212421641,0.255203934632655,"CS-80-F3-R3-THIN2","support_80","mean","site8:day_type1"
"beta_mu",0.00573241202575994,0.0595992152760174,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:wake_within_10pp"
"beta_mu",-0.0664285863622831,0.0360658407154621,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:wake_between_centered_10pp"
"beta_mu",-0.106999958578837,0.0299776172537055,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:wake_free_fraction_centered_10pp"
"beta_mu",0.0665859461854875,0.138146851028694,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:site1:day_type1"
"beta_mu",0.447081506892607,0.174579194250791,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:site2:day_type1"
"beta_mu",-0.297217400378711,0.161293219201461,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:site3:day_type1"
"beta_mu",0.0599650227393053,0.113887222636876,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:site4:day_type1"
"beta_mu",-0.167862144981622,0.149626548946622,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:site5:day_type1"
"beta_mu",0.119059701703996,0.155274750296595,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:site6:day_type1"
"beta_mu",0.117934664553621,0.14982022285991,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:site7:day_type1"
"beta_mu",0.122279226758238,0.227233479873727,"CS-80-F3-R3-THIN2","support_80","mean","target_state1:site8:day_type1"
"beta_zero",-4.90750573655321,0.267134393305361,"CS-80-F3-R3-THIN2","support_80","extra_all_zero","(Intercept)"
"beta_zero",0.190166287587599,0.462955541606129,"CS-80-F3-R3-THIN2","support_80","extra_all_zero","target_state1"
"beta_zero",-0.103856035697375,0.426947271810401,"CS-80-F3-R3-THIN2","support_80","extra_all_zero","day_type1"
