"parameter","estimate","standard_error","model_id","sample_id","component","term"
"beta_mu",1.52023717135435,,"CS-80-F3DATE-R3","support_80","mean","(Intercept)"
"beta_mu",0.85788177584743,,"CS-80-F3DATE-R3","support_80","mean","target_state1"
"beta_mu",0.0936615779743901,,"CS-80-F3DATE-R3","support_80","mean","site1"
"beta_mu",0.0105243088907872,,"CS-80-F3DATE-R3","support_80","mean","site2"
"beta_mu",-0.0770744241391293,,"CS-80-F3DATE-R3","support_80","mean","site3"
"beta_mu",-0.200081144723355,,"CS-80-F3DATE-R3","support_80","mean","site4"
"beta_mu",-0.584425980035986,,"CS-80-F3DATE-R3","support_80","mean","site5"
"beta_mu",0.369801964935813,,"CS-80-F3DATE-R3","support_80","mean","site6"
"beta_mu",-0.668704850264256,,"CS-80-F3DATE-R3","support_80","mean","site7"
"beta_mu",-0.252322900190618,,"CS-80-F3DATE-R3","support_80","mean","site8"
"beta_mu",0.136955507990451,,"CS-80-F3DATE-R3","support_80","mean","day_type1"
"beta_mu",-0.0485609809565239,,"CS-80-F3DATE-R3","support_80","mean","wake_within_10pp"
"beta_mu",-0.188971106563036,,"CS-80-F3DATE-R3","support_80","mean","wake_between_centered_10pp"
"beta_mu",-0.013132864319924,,"CS-80-F3DATE-R3","support_80","mean","wake_free_fraction_centered_10pp"
"beta_mu",-0.00219283377844684,,"CS-80-F3DATE-R3","support_80","mean","participant_centered_date"
"beta_mu",0.0543873364817546,,"CS-80-F3DATE-R3","support_80","mean","target_state1:site1"
"beta_mu",-0.460156387102131,,"CS-80-F3DATE-R3","support_80","mean","target_state1:site2"
"beta_mu",0.0385049514462069,,"CS-80-F3DATE-R3","support_80","mean","target_state1:site3"
"beta_mu",-0.0555013735790673,,"CS-80-F3DATE-R3","support_80","mean","target_state1:site4"
"beta_mu",-0.400078956753012,,"CS-80-F3DATE-R3","support_80","mean","target_state1:site5"
"beta_mu",0.658976036154635,,"CS-80-F3DATE-R3","support_80","mean","target_state1:site6"
"beta_mu",-0.432652043177218,,"CS-80-F3DATE-R3","support_80","mean","target_state1:site7"
"beta_mu",-0.249625459598643,,"CS-80-F3DATE-R3","support_80","mean","target_state1:site8"
"beta_mu",0.207582186036507,,"CS-80-F3DATE-R3","support_80","mean","target_state1:day_type1"
"beta_mu",0.3721628526677,,"CS-80-F3DATE-R3","support_80","mean","site1:day_type1"
"beta_mu",-0.0162615435370889,,"CS-80-F3DATE-R3","support_80","mean","site2:day_type1"
"beta_mu",-0.0413424035185926,,"CS-80-F3DATE-R3","support_80","mean","site3:day_type1"
"beta_mu",-0.0517923034949845,,"CS-80-F3DATE-R3","support_80","mean","site4:day_type1"
"beta_mu",-0.00413922222930142,,"CS-80-F3DATE-R3","support_80","mean","site5:day_type1"
"beta_mu",0.0276196905417573,,"CS-80-F3DATE-R3","support_80","mean","site6:day_type1"
"beta_mu",-0.0684648319068208,,"CS-80-F3DATE-R3","support_80","mean","site7:day_type1"
"beta_mu",-0.0511964437927775,,"CS-80-F3DATE-R3","support_80","mean","site8:day_type1"
"beta_mu",0.00887744081437765,,"CS-80-F3DATE-R3","support_80","mean","target_state1:wake_within_10pp"
"beta_mu",-0.0681945384824245,,"CS-80-F3DATE-R3","support_80","mean","target_state1:wake_between_centered_10pp"
"beta_mu",-0.103180051383251,,"CS-80-F3DATE-R3","support_80","mean","target_state1:wake_free_fraction_centered_10pp"
"beta_mu",0.003115067789612,,"CS-80-F3DATE-R3","support_80","mean","target_state1:participant_centered_date"
"beta_mu",0.193268596873786,,"CS-80-F3DATE-R3","support_80","mean","target_state1:site1:day_type1"
"beta_mu",0.101407619064393,,"CS-80-F3DATE-R3","support_80","mean","target_state1:site2:day_type1"
"beta_mu",-0.0959793849142919,,"CS-80-F3DATE-R3","support_80","mean","target_state1:site3:day_type1"
"beta_mu",-0.0466346271130868,,"CS-80-F3DATE-R3","support_80","mean","target_state1:site4:day_type1"
"beta_mu",-0.0750571832527392,,"CS-80-F3DATE-R3","support_80","mean","target_state1:site5:day_type1"
"beta_mu",0.165357744988358,,"CS-80-F3DATE-R3","support_80","mean","target_state1:site6:day_type1"
"beta_mu",0.0673711950488019,,"CS-80-F3DATE-R3","support_80","mean","target_state1:site7:day_type1"
"beta_mu",0.0199275940962558,,"CS-80-F3DATE-R3","support_80","mean","target_state1:site8:day_type1"
"beta_zero",-4.28629332029711,,"CS-80-F3DATE-R3","support_80","extra_all_zero","(Intercept)"
"beta_zero",-0.0434058247854243,,"CS-80-F3DATE-R3","support_80","extra_all_zero","target_state1"
"beta_zero",-0.0283711730672272,,"CS-80-F3DATE-R3","support_80","extra_all_zero","day_type1"
"beta_one",-2.19673172157293,,"CS-80-F3DATE-R3","support_80","extra_all_one","(Intercept)"
"beta_one",0.530515980597762,,"CS-80-F3DATE-R3","support_80","extra_all_one","target_state1"
"beta_one",-0.291978292358242,,"CS-80-F3DATE-R3","support_80","extra_all_one","day_type1"
"beta_one",0.110886471246582,,"CS-80-F3DATE-R3","support_80","extra_all_one","target_state1:day_type1"
"beta_disp",1.28653445974405,,"CS-80-F3DATE-R3","support_80","dispersion","(Intercept)"
"beta_disp",0.395573092624606,,"CS-80-F3DATE-R3","support_80","dispersion","target_state1"
"log_sd_mu_part",-0.316351591965013,,"CS-80-F3DATE-R3","support_80","random_standard_deviation","log_sd_participant"
