"index","source","rendered","same"
1,"","",TRUE
2,"Overall","Overall",TRUE
3,"Borås (SE)","Borås (SE)",TRUE
4,"Delft (NL)","Delft (NL)",TRUE
5,"Dortmund (DE)","Dortmund (DE)",TRUE
6,"Tübingen (DE)","Tübingen (DE)",TRUE
7,"Munich (DE)","Munich (DE)",TRUE
8,"Madrid (ES)","Madrid (ES)",TRUE
9,"Izmir (TR)","Izmir (TR)",TRUE
10,"San José (CR)","San José (CR)",TRUE
11,"Kumasi (GH)","Kumasi (GH)",TRUE
12,"Site specifics","Site specifics",TRUE
13,"Institution","Institution",TRUE
14,"Overall","Overall",TRUE
15,"RISE","RISE",TRUE
16,"THUAS","THUAS",TRUE
17,"BAUA","BAUA",TRUE
18,"MPI","MPI",TRUE
19,"TUM","TUM",TRUE
20,"FUSPCEU","FUSPCEU",TRUE
21,"IZTECH","IZTECH",TRUE
22,"UCR","UCR",TRUE
23,"KNUST","KNUST",TRUE
24,"Country","Country",TRUE
25,"—","—",TRUE
26,"Sweden","Sweden",TRUE
27,"Netherlands","Netherlands",TRUE
28,"Germany","Germany",TRUE
29,"Germany","Germany",TRUE
30,"Germany","Germany",TRUE
31,"Spain","Spain",TRUE
32,"Türkiye","Türkiye",TRUE
33,"Costa Rica","Costa Rica",TRUE
34,"Ghana","Ghana",TRUE
35,"City","City",TRUE
36,"—","—",TRUE
37,"Borås","Borås",TRUE
38,"Delft","Delft",TRUE
39,"Dortmund","Dortmund",TRUE
40,"Tübingen","Tübingen",TRUE
41,"Munich","Munich",TRUE
42,"Madrid","Madrid",TRUE
43,"Izmir","Izmir",TRUE
44,"San José","San José",TRUE
45,"Kumasi","Kumasi",TRUE
46,"Coordinates","Coordinates",TRUE
47,"—","—",TRUE
48,"57.7°N, 12.9°E","57.7°N, 12.9°E",TRUE
49,"52.0°N, 4.4°E","52.0°N, 4.4°E",TRUE
50,"51.5°N, 7.4°E","51.5°N, 7.4°E",TRUE
51,"48.5°N, 9.1°E","48.5°N, 9.1°E",TRUE
52,"48.1°N, 11.6°E","48.1°N, 11.6°E",TRUE
53,"40.4°N, 3.7°W","40.4°N, 3.7°W",TRUE
54,"38.3°N, 26.6°E","38.3°N, 26.6°E",TRUE
55,"9.9°N, 84.1°W","9.9°N, 84.1°W",TRUE
56,"6.7°N, 1.6°W","6.7°N, 1.6°W",TRUE
57,"Data collection","Data collection",TRUE
58,"Participants1","Participants1",TRUE
59,"191 roster(g:143; c:157; p:116)","191 roster (g:143; c:157; p:116)",FALSE
