"index","source","rendered","same"
1,"Metric","Metric",TRUE
2,"Scale","Scale",TRUE
3,"Effect per VLSQ-8 SD (95% CI)","Effect per VLSQ-8 SD (95% CI)",TRUE
4,"FDR-adjusted p","FDR-adjusted p",TRUE
5,"Participants / participant-days / sites","Participants / participant-days / sites",TRUE
6,"Mean melEDI","",FALSE
7,"Ratio (percentage change)","Mean melEDI",FALSE
8,"×0.915 (0.811–1.031)","Ratio (percentage change)",FALSE
9,"0.221","×0.915 (0.811–1.031)",FALSE
10,"141 / 816 / 9","0.221",FALSE
11,"Brightest 10 h mean","141 / 816 / 9",FALSE
12,"Ratio (percentage change)","",FALSE
13,"×0.851 (0.716–1.013)","Brightest 10 h mean",FALSE
14,"0.160","Ratio (percentage change)",FALSE
15,"141 / 816 / 9","×0.851 (0.716–1.013)",FALSE
16,"Darkest 10 h mean","0.160",FALSE
17,"Ratio (percentage change)","141 / 816 / 9",FALSE
18,"×1.024 (0.934–1.123)","",FALSE
19,"0.689","Darkest 10 h mean",FALSE
20,"141 / 816 / 9","Ratio (percentage change)",FALSE
21,"Time above 1,000 lx melEDI","×1.024 (0.934–1.123)",FALSE
22,"Ratio (percentage change)","0.689",FALSE
23,"×0.876 (0.765–1.002)","141 / 816 / 9",FALSE
24,"0.160","",FALSE
25,"141 / 816 / 9","Time above 1,000 lx melEDI",FALSE
26,"Time above 250 lx melEDI during wake","Ratio (percentage change)",FALSE
27,"Ratio (percentage change)","×0.876 (0.765–1.002)",FALSE
28,"×0.900 (0.806–1.005)","0.160",FALSE
29,"0.160","141 / 816 / 9",FALSE
30,"141 / 737 / 9","",FALSE
31,"Time below 10 lx melEDI before sleep","Time above 250 lx melEDI during wake",FALSE
32,"Difference in hours","Ratio (percentage change)",FALSE
33,"+0.063 h (-0.062–+0.188 h)","×0.900 (0.806–1.005)",FALSE
34,"0.422","0.160",FALSE
35,"139 / 655 / 9","141 / 737 / 9",FALSE
36,"Time below 1 lx melEDI during sleep","",FALSE
37,"Ratio (percentage change)","Time below 10 lx melEDI before sleep",FALSE
38,"×0.998 (0.964–1.033)","Difference in hours",FALSE
39,"0.903","+0.063 h (-0.062–+0.188 h)",FALSE
40,"141 / 778 / 9","0.422",FALSE
41,"Longest continuous period above 250 lx melEDI","139 / 655 / 9",FALSE
42,"Ratio (percentage change)","",FALSE
43,"×0.917 (0.828–1.014)","Time below 1 lx melEDI during sleep",FALSE
44,"0.167","Ratio (percentage change)",FALSE
45,"141 / 816 / 9","×0.998 (0.964–1.033)",FALSE
46,"melEDI dose","0.903",FALSE
47,"Ratio (percentage change)","141 / 778 / 9",FALSE
48,"×0.846 (0.716–0.999)","",FALSE
49,"0.160","Longest continuous period above 250 lx melEDI",FALSE
50,"141 / 761 / 9","Ratio (percentage change)",FALSE
51,"Effects compare scores separated by one participant-level SD (5.540 VLSQ-8 points). The hour-scale row is an absolute difference; ratio rows can be read as percentage changes. Intervals are two-sided 95% Wald CIs. FDR adjustment is across all nine metrics; adjusted p-values would be bold at 0.050.","×0.917 (0.828–1.014)",FALSE
52,,"0.167",
53,,"141 / 816 / 9",
54,,"",
55,,"melEDI dose",
56,,"Ratio (percentage change)",
57,,"×0.846 (0.716–0.999)",
58,,"0.160",
59,,"141 / 761 / 9",
60,,"",
61,,"Effects compare scores separated by one participant-level SD (5.540 VLSQ-8 points). The hour-scale row is an absolute difference; ratio rows can be read as percentage changes. Intervals are two-sided 95% Wald CIs. FDR adjustment is across all nine metrics; adjusted p-values would be bold at 0.050.",
