"token","present"
"A",TRUE
"B",TRUE
"C",TRUE
"D",TRUE
"Near-eye melEDI (lx)",TRUE
"Local time (hrs)",TRUE
"Site / global time effect",TRUE
"sleep",TRUE
"evening",TRUE
"daytime",TRUE
"n = 816 participant-days (d)",TRUE
"Borås (SE)",TRUE
"Delft (NL)",TRUE
"Dortmund (DE)",TRUE
"Tübingen (DE)",TRUE
"Munich (DE)",TRUE
"Madrid (ES)",TRUE
"Izmir (TR)",TRUE
"San José (CR)",TRUE
"Kumasi (GH)",TRUE
"n =  78 d",TRUE
"n =  78 d",TRUE
"n = 107 d",TRUE
"n = 150 d",TRUE
"n =  60 d",TRUE
"n = 129 d",TRUE
"n = 101 d",TRUE
"n =  32 d",TRUE
"n =  81 d",TRUE
