"check","status","detail"
"direct_immutable_svg_route","BLOCKED_BY_BROWSER_URL_POLICY","The in-app browser rejected the direct file URL before document load; Order72j prohibits an alternate browser or loopback workaround after a rejected route."
"accepted_svg_loaded","NOT_TESTED_BROWSER_ROUTE_BLOCKED","No accepted SVG document loaded."
"candidate_svg_loaded","NOT_TESTED_BROWSER_ROUTE_BLOCKED","No candidate SVG document loaded."
"intrinsic_size_comparison","NOT_TESTED_BROWSER_ROUTE_BLOCKED","Not tested."
"642_css_px_comparison","NOT_TESTED_BROWSER_ROUTE_BLOCKED","Not tested."
"708_px_comparison","NOT_TESTED_BROWSER_ROUTE_BLOCKED","Not tested."
"panel_visibility","NOT_TESTED_BROWSER_ROUTE_BLOCKED","Not tested."
"scientific_geometry_and_content_identity","NOT_TESTED_BROWSER_ROUTE_BLOCKED","Static identity checks remain PASS; visual identity was not tested."
"arial_rendering","NOT_TESTED_BROWSER_ROUTE_BLOCKED","Not tested."
"note_containment","NOT_TESTED_BROWSER_ROUTE_BLOCKED","Not tested."
"essential_text_legibility","NOT_TESTED_BROWSER_ROUTE_BLOCKED","Not tested."
"renderer_differences","NOT_TESTED_BROWSER_ROUTE_BLOCKED","Not tested."
