run_order,run_label,display_order,site,site_name,site_color,metric_frames,participants_min,participants_max,represented_days_min,represented_days_max
1,Primary near-eye dataset,1,RISE,Borås (SE),#88CCEE,17,13,13,67,78
1,Primary near-eye dataset,2,THUAS,Delft (NL),#117733,17,12,13,50,78
1,Primary near-eye dataset,3,BAUA,Dortmund (DE),#DDCC77,17,18,18,84,107
1,Primary near-eye dataset,4,MPI,Tübingen (DE),#DDCC77,17,25,26,121,150
1,Primary near-eye dataset,5,TUM,Munich (DE),#DDCC77,17,10,10,52,60
1,Primary near-eye dataset,6,FUSPCEU,Madrid (ES),#CC6677,17,22,23,84,129
1,Primary near-eye dataset,7,IZTECH,Izmir (TR),#332288,17,17,17,82,101
1,Primary near-eye dataset,8,UCR,San José (CR),#44AA99,17,6,6,25,32
1,Primary near-eye dataset,9,KNUST,Kumasi (GH),#AA4499,17,12,15,50,81
2,Complementary chest dataset,1,RISE,Borås (SE),#88CCEE,17,16,16,81,96
2,Complementary chest dataset,2,THUAS,Delft (NL),#117733,17,14,15,63,93
2,Complementary chest dataset,3,BAUA,Dortmund (DE),#DDCC77,17,19,20,92,114
2,Complementary chest dataset,5,TUM,Munich (DE),#DDCC77,17,10,10,48,60
2,Complementary chest dataset,6,FUSPCEU,Madrid (ES),#CC6677,17,21,22,73,123
2,Complementary chest dataset,7,IZTECH,Izmir (TR),#332288,17,17,17,83,102
2,Complementary chest dataset,8,UCR,San José (CR),#44AA99,17,39,39,200,230
2,Complementary chest dataset,9,KNUST,Kumasi (GH),#AA4499,17,14,15,47,84
