"domain","check_id","pass","detail"
"source_postimage","result_qmd",TRUE,"notebooks/hypotheses/H10.qmd sha256=0cf302f74c482168c5f5d4c640bbc6a80ef451333f7d76f3c3be204ac1b5f64d bytes=49224"
"source_postimage","companion_qmd",TRUE,"audit/hypotheses/H10/H10_analysis_preparation.qmd sha256=706fe46f293bd09bfd3cb75c14bc3082410a452acfff666d76219f266fded1a6 bytes=58446"
"source_postimage","result_test",TRUE,"tests/hypotheses/H10/test_h10_stage3_reader_report.R sha256=803f4139c6c99b56e49ed160b1ae644244a7ac8acbfa80328e7945eb326242f1 bytes=23710"
"source_postimage","companion_test",TRUE,"tests/hypotheses/H10/test_h10_preparation_report.R sha256=15d20f3c3fe4d5387eb64152479d07ea0e94b397b27b0a7b59b3d41c7a1924c4 bytes=15201"
"reverse_proof","result_qmd",TRUE,"reconstructed sha256=3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f bytes=49191"
"reverse_proof","companion_qmd",TRUE,"reconstructed sha256=c46d6ae965daba94750220e6eeaf95aa01b5cff4bc929117848f72090b7583f1 bytes=58413"
"reverse_proof","result_test",TRUE,"reconstructed sha256=9f683babf2fd036bf33acf71ce5ef694d4a78a2893b5c6d4b54df9b9c01a1c3c bytes=23426"
"reverse_proof","companion_test",TRUE,"reconstructed sha256=836a6b48250946375c512895d05a50c77e6472ccccf987510675a33235cdcb22 bytes=14764"
"parse","qmd_chunks",TRUE,"result=24 companion=23"
"parse","tests",TRUE,"both current tests parse"
"structural_preservation","result_qmd_labels",TRUE,"labels=24"
"structural_preservation","result_qmd_endpoints",TRUE,"tables=15 figures=8"
"structural_preservation","result_qmd_artifact_refs",TRUE,"references=18"
"structural_preservation","result_qmd_numeric_tokens",TRUE,"tokens=548"
"structural_preservation","result_qmd_executable_r",TRUE,"chunks=24"
"structural_preservation","companion_qmd_labels",TRUE,"labels=23"
"structural_preservation","companion_qmd_endpoints",TRUE,"tables=19 figures=2"
"structural_preservation","companion_qmd_artifact_refs",TRUE,"references=89"
"structural_preservation","companion_qmd_numeric_tokens",TRUE,"tokens=841"
"structural_preservation","companion_qmd_executable_r",TRUE,"chunks=23"
"construct","positive_and_negative_source_contract",TRUE,"result=4/4 companion=4/4 false_phrases=0"
"construct","protected_limitation",TRUE,"protected limitation occurs exactly once"
"protection","dispatch_immutable",TRUE,"exact=21/21"
"protection","historical_planning",TRUE,"live_exact=8/12 authorized_transitions=4/4"
"protection","scientific_assets",TRUE,"exact=57/57 tables=13 figures=29 source=15"
"protection","scientific_and_held_endpoints",TRUE,"exact=8/8"
"result_preflight","current_historical_mismatch_set",TRUE,"_quarto-nathealth.yml | audit/hypotheses/H10/H10_analysis_preparation.qmd | notebooks/hypotheses/H10.qmd | tests/hypotheses/H10/test_h10_preparation_report.R | tests/hypotheses/H10/test_h10_stage3_reader_report.R"
"result_preflight","endpoint_inventory",TRUE,"tables=15 figures=8"
"result_preflight","prospective_test_identity",TRUE,"prospective exact postimage parses and is externally pinned"
"result_preflight","complete_prospective_test_replay",TRUE,"status=0 output_lines=1"
"result_preflight","synthetic_dom_preservation",TRUE,"existing held DOM preserved for downstream replay; fresh render must produce 15 tables and 8 figures"
