"check","result","status"
"decision_identity","f8bd6762e731ef1024762daea3113f3970eab21794b4f0c4d7316c020aee2178","PASS"
"input_pin_identity","3e24d9f29b7bc48695b1e7740c6bcf8cce7d05d8e9e6d596875bbae250d28714","PASS"
"execution_inputs","2174/2174","PASS"
"stage1_members","89/89","PASS"
"protected_members","2066/2066","PASS"
"support_checks","14/14","PASS"
"finalization_checks","36/36","PASS"
"replay_csv_identity","16/16","PASS"
"ledger_prior_raw_bytes","2/2","PASS"
"ledger_prior_parsed_rows","2/2","PASS"
"authority_ids_unique_and_only_append","BA-018;CHG-157","PASS"
"new_stage2_root_absent","absent","PASS"
"existing_science_and_reports_unchanged","exact","PASS"
"dispatch_not_yet_sent","not_sent","PASS"
