"manifest","path","expected_sha256","observed_sha256","expected_bytes","observed_bytes","exists","status"
"release_manifest","_quarto-nathealth.yml","e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7","e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7",10042,10042,TRUE,"PASS"
"release_manifest","_quarto.yml","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c",2517,2517,TRUE,"PASS"
"release_manifest",".Rprofile","3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4","3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4",26,26,TRUE,"PASS"
"release_manifest","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/manuscript_selection/supplementary_figure_s5/daytime_label_continuation/panels/panel_a/panel_a_workday.svg","b3e3be0c603511efb64301ea3a5640acc49410217467f3f6850a848e33281206","b3e3be0c603511efb64301ea3a5640acc49410217467f3f6850a848e33281206",29358,29358,TRUE,"PASS"
"release_manifest","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/manuscript_selection/supplementary_figure_s5/daytime_label_continuation/panels/panel_b/panel_b_free_work.svg","fb75a367f8ce78acda0dfb28c00b73c75a944b81a2c4e6b9fb18292d12c13198","fb75a367f8ce78acda0dfb28c00b73c75a944b81a2c4e6b9fb18292d12c13198",32076,32076,TRUE,"PASS"
"release_manifest","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/manuscript_selection/supplementary_figure_s5/tag_size_18_continuation/final/supplementary_figure_s5_caption_alt_text.md","8306919b74648a51e7b3afb88564dcdeabfab0d24ea9d57f7e58e7eea7478d37","8306919b74648a51e7b3afb88564dcdeabfab0d24ea9d57f7e58e7eea7478d37",1925,1925,TRUE,"PASS"
"release_manifest","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/manuscript_selection/supplementary_figure_s5/tag_size_18_continuation/final/supplementary_figure_s5_layout.csv","79f0b8d8eb55a421a429e9f26a1ffe47bf4ddb41ca0b85b033c31ac6d7717cd4","79f0b8d8eb55a421a429e9f26a1ffe47bf4ddb41ca0b85b033c31ac6d7717cd4",1092,1092,TRUE,"PASS"
"release_manifest","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/digest/DESCRIPTION","cfd44904db794458a5db186d88f1cd71f193858154df8e5219755ab7747adc6f","cfd44904db794458a5db186d88f1cd71f193858154df8e5219755ab7747adc6f",6797,6797,TRUE,"PASS"
"release_manifest","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/dplyr/DESCRIPTION","618accb16c5640af5226c0318b11becc0212038e1b25c5065fcedab68b511905","618accb16c5640af5226c0318b11becc0212038e1b25c5065fcedab68b511905",2269,2269,TRUE,"PASS"
"release_manifest","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/ggplot2/DESCRIPTION","224c178358823e51d01e45e51fcbc8d950f1511f253fac79fe3326ec26986bdc","224c178358823e51d01e45e51fcbc8d950f1511f253fac79fe3326ec26986bdc",6864,6864,TRUE,"PASS"
"release_manifest","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/patchwork/DESCRIPTION","971aeb34faf087262805379d0610b8adead2593b2e01328a6d38c3bcb50dd87d","971aeb34faf087262805379d0610b8adead2593b2e01328a6d38c3bcb50dd87d",1683,1683,TRUE,"PASS"
"release_manifest","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/ragg/DESCRIPTION","327741d178633a43df8719c8c0056cf1d03f4bc4d019d89a425b8642eeeb7ef5","327741d178633a43df8719c8c0056cf1d03f4bc4d019d89a425b8642eeeb7ef5",2353,2353,TRUE,"PASS"
"release_manifest","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/readr/DESCRIPTION","84dec98a5abba61afbc7f54f6d1bd679fb6a8bc172f3276447c433fde102c0c5","84dec98a5abba61afbc7f54f6d1bd679fb6a8bc172f3276447c433fde102c0c5",2503,2503,TRUE,"PASS"
"release_manifest","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/stringr/DESCRIPTION","03ed09b7ffff2ba245df792bead457f7553bc09557862d8151600e7adce3f413","03ed09b7ffff2ba245df792bead457f7553bc09557862d8151600e7adce3f413",1620,1620,TRUE,"PASS"
"release_manifest","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/svglite/DESCRIPTION","d3eafc95cb062a1c98dc9d3a6db245ed846c9c4716f951b63c2333f6474ecfef","d3eafc95cb062a1c98dc9d3a6db245ed846c9c4716f951b63c2333f6474ecfef",2677,2677,TRUE,"PASS"
"release_manifest","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/systemfonts/DESCRIPTION","45e04cac8e31311b4ae4eee36420a6c4bb7b73dad13fa07607ca022d8877e05a","45e04cac8e31311b4ae4eee36420a6c4bb7b73dad13fa07607ca022d8877e05a",2299,2299,TRUE,"PASS"
"release_manifest","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/tibble/DESCRIPTION","d7cfae73163fbb7815355f953c37647cea755f051512d13a6cd42b74b2b0741a","d7cfae73163fbb7815355f953c37647cea755f051512d13a6cd42b74b2b0741a",2186,2186,TRUE,"PASS"
"release_manifest","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/tidyr/DESCRIPTION","20726612070b046d548adaa6b2703f693d1140a108a0a5fc11df71a67cb22e07","20726612070b046d548adaa6b2703f693d1140a108a0a5fc11df71a67cb22e07",2105,2105,TRUE,"PASS"
"release_manifest","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/xml2/DESCRIPTION","ba57a612ed635db7eadbe9d33baf8752e8be1e5db8ec36706694e11964227bff","ba57a612ed635db7eadbe9d33baf8752e8be1e5db8ec36706694e11964227bff",2220,2220,TRUE,"PASS"
"release_manifest","artifacts/06_model_data/H05/H05_metric_registry.csv","25a3df408dad73b657ea1ee20631195c93fe33340fafa7250ed6e76727c65bb7","25a3df408dad73b657ea1ee20631195c93fe33340fafa7250ed6e76727c65bb7",5096,5096,TRUE,"PASS"
"release_manifest","artifacts/08_figures/H07/H07_revised_smooth_derivative_pairs_near_eye.png","f19763fe3c14c723ac38846bf735c0465ba2ee18765777a4f7304c677be71113","f19763fe3c14c723ac38846bf735c0465ba2ee18765777a4f7304c677be71113",643848,643848,TRUE,"PASS"
