"check","expected","observed","status"
"R version","4.6.1","4.6.1","PASS"
"release manifest exact","123/123","123/123","PASS"
"H07 execution inputs exact","39/39","39/39","PASS"
"H07 preservation exact","1451/1451","1451/1451","PASS"
"candidate and protected anchors exact","8/8","8/8","PASS"
"bounded serve files","4","4","PASS"
"bounded serve symlinks","0","0","PASS"
"loopback bind","STOP_POLICY_BIND_REJECTED","STOP_POLICY_BIND_REJECTED","PASS"
"browser content loaded","FALSE","FALSE","PASS"
"browser tabs created","0","0","PASS"
"listener rows after stop","0","0","PASS"
"candidate changed","FALSE","FALSE","PASS"
"renderer correction consumed","FALSE","FALSE","PASS"
"scientific computation","FALSE","FALSE","PASS"
"visual acceptance","FALSE","FALSE","PASS"
"lease disposition","EXPLICITLY_RELEASED_WITHOUT_VISUAL_ACCEPTANCE","EXPLICITLY_RELEASED_WITHOUT_VISUAL_ACCEPTANCE","PASS"
