"id","kind","old_text","new_text"
"BA-LB-F007-001","subtitle","subtitle: ""Main analysis with a separate exploratory cross-state extension""","subtitle: ""Main analysis with separate exploratory within- and between-participant associations"""
"BA-LB-F007-002","numeric_brief","Recommendation adherence was lower on Free days than Work days during Daytime and Sleep. Pre-sleep adherence was higher in the primary analysis, but its confidence interval included zero after requiring at least 80% coverage. The Pre-sleep finding therefore needs a coverage qualification.

The separate cross-state extension found limited inverse associations between participants' average Daytime adherence and their Sleep or Pre-sleep adherence. Its day-level question remains unresolved because temporal dependence could not be adequately addressed. Neither analysis establishes causation or stable participant types.","All differences below are percentage points (pp), with 95% confidence intervals in parentheses.

- **Main day-type results:** In the any-valid primary sample, equal-site Free-minus-Work differences were `r main$m1[sample_id == ""primary_any_valid"" & state_display == ""Daytime"", format_pp_ci(100 * estimate, 100 * conf_low, 100 * conf_high)]` for Daytime, `r main$m1[sample_id == ""primary_any_valid"" & state_display == ""Pre-sleep"", format_pp_ci(100 * estimate, 100 * conf_low, 100 * conf_high)]` for Pre-sleep, and `r main$m1[sample_id == ""primary_any_valid"" & state_display == ""Sleep"", format_pp_ci(100 * estimate, 100 * conf_low, 100 * conf_high)]` for Sleep.
- **Coverage and temporal qualification:** Requiring at least 80% coverage gave a Pre-sleep difference of `r main$m1[sample_id == ""support_80"" & state_display == ""Pre-sleep"", format_pp_ci(100 * estimate, 100 * conf_low, 100 * conf_high)]`. This interval includes zero, so the Pre-sleep coverage criterion was not met. Temporal dependence also remains unresolved in the main analysis.
- **Within participants, exploratory:** Per 10 pp higher-than-usual Daytime adherence, the adjusted differences were `r format_pp_ci(within_sleep$response_effect_percentage_points, within_sleep$response_conf_low_percentage_points, within_sleep$response_conf_high_percentage_points)` for Sleep and `r format_pp_ci(within_pre_sleep$response_effect_percentage_points, within_pre_sleep$response_conf_low_percentage_points, within_pre_sleep$response_conf_high_percentage_points)` for Pre-sleep. Both intervals include zero. The within-participant association claim remains withheld because temporal dependence could not be adequately addressed.
- **Between participants, exploratory:** Per 10 pp higher observed average Daytime adherence, the adjusted differences were `r format_pp_ci(between_sleep$response_effect_percentage_points, between_sleep$response_conf_low_percentage_points, between_sleep$response_conf_high_percentage_points)` for Sleep and `r format_pp_ci(between_pre_sleep$response_effect_percentage_points, between_pre_sleep$response_conf_low_percentage_points, between_pre_sleep$response_conf_high_percentage_points)` for Pre-sleep. Both intervals exclude zero and both tests met the separate four-effect false-discovery-rate (FDR) threshold. These are limited observational associations over the monitoring period.

Neither analysis establishes causation or stable participant types."
"BA-LB-F007-003","heading","## Exploratory cross-state extension {#sec-brown-cross-state}","## Exploratory within- and between-participant associations {#sec-brown-cross-state}"
"BA-LB-F007-004","lead","The extension is subordinate to the main analysis. It asks whether Daytime
adherence aligns with Sleep and Pre-sleep adherence within the same behavioral
cycles and across participants. It does not replace or independently replicate
the main Free-minus-Work analysis.","The exploratory extension separates two questions. Within-participant
associations concern whether Sleep or Pre-sleep adherence differs when a
participant's Daytime adherence is higher than their own observed average.
Between-participant associations concern how Sleep or Pre-sleep adherence
differs between participants with different observed average Daytime adherence.
Both use the same recommendation-window definitions. The extension is
subordinate to, and does not replace or independently replicate, the main
Free-minus-Work analysis."
"BA-LB-F007-005","caption","#| tbl-cap: ""Exact samples used by the selected cross-state models.""","#| tbl-cap: ""Exact samples used by the selected within- and between-participant association models."""
"BA-LB-F007-006","heading","### Adjusted cross-state associations","### Adjusted within- and between-participant associations {#adjusted-cross-state-associations}"
"BA-LB-F007-007","display_string","effect_display <- association_effects[, .(
  Level = ifelse(
    association_level == ""within"",
    ""Day level, within participant"",
    ""Overall participant level""
  ),","effect_display <- association_effects[, .(
  Level = ifelse(
    association_level == ""within"",
    ""Within participants"",
    ""Between participants""
  ),"
"BA-LB-F007-008","display_string","coverage_gate[, .(
  Level = ifelse(
    association_level == ""within"",
    ""Day level"",
    ""Overall participant level""
  ),","coverage_gate[, .(
  Level = ifelse(
    association_level == ""within"",
    ""Within participants"",
    ""Between participants""
  ),"
"BA-LB-F007-009","heading","#### Day-level question","#### Within-participant question {#day-level-question}"
"BA-LB-F007-010","heading","#### Participant-level question","#### Between-participant question {#participant-level-question}"
"BA-LB-F007-011","qualification_framing","These intervals alone would indicate that the data did not establish a
day-level association. In addition, residuals remained positively correlated
between successive observed dates for both outcomes. The prespecified temporal
sensitivity analyses could not all be retained. A day-level scientific claim
is therefore withheld rather than interpreted as evidence that no relationship
exists.","These intervals alone would indicate that the data did not establish a
within-participant association across cycles. In addition, residuals remained
positively correlated between successive observed dates for both outcomes.
The prespecified temporal sensitivity analyses could not all be retained. A
within-participant scientific claim is therefore withheld rather than
interpreted as evidence that no relationship exists."
"BA-LB-F007-012","heading","### Cross-state interpretation and limitations","### Within- and between-participant interpretation and limitations {#cross-state-interpretation-and-limitations}"
"BA-LB-F007-013","qualification_framing","- Positive serial dependence remains unresolved for the day-level question.","- Positive serial dependence remains unresolved for the within-participant question."
"BA-LB-F007-014","integrated_framing","The exploratory extension asks a different question: whether Daytime adherence aligns with the other windows within cycles or between participants. Its day-level claim remains withheld, and its participant-level result is a limited inverse association. Neither the main day-type pattern nor the exploratory associations establish stable adherence types or a biological or behavioral trade-off. The overlapping observations are not independent replication.","The exploratory extension distinguishes whether higher-than-usual Daytime adherence aligns with Sleep or Pre-sleep adherence within participants, and whether participants' observed Daytime averages align with their Sleep or Pre-sleep averages. The within-participant claim remains withheld, and the between-participant findings are limited inverse associations. Neither the main day-type pattern nor the exploratory associations establish stable adherence types or a biological or behavioral trade-off. The overlapping observations are not independent replication."
