"level","id","text"
2,"sec-brown-main-results","Main analysis: adherence across Work and Free days"
3,"question-and-measurement","Question and measurement"
3,"model-and-exact-samples","Model and exact samples"
3,"main-window-day-type-and-site-findings","Main window, day-type, and site findings"
3,"endpoint-calibration-and-coverage-sensitivity","Endpoint calibration and coverage sensitivity"
3,"retained-random-effect-and-descriptive-decomposition","Retained random effect and descriptive decomposition"
3,"complementary-chest-measurements","Complementary chest measurements"
3,"grouping-and-other-sensitivity-analyses","Grouping and other sensitivity analyses"
3,"main-analysis-limitations","Main-analysis limitations"
2,"sec-brown-cross-state","Exploratory within- and between-participant associations"
3,"what-was-compared","What was compared"
3,"participant-profiles-across-recommendation-windows","Participant profiles across recommendation windows"
3,"adjusted-cross-state-associations","Adjusted within- and between-participant associations"
4,"day-level-question","Within-participant question"
4,"participant-level-question","Between-participant question"
3,"descriptive-daytime-cycle-groups-not-participant-rankings","Descriptive Daytime-cycle groups, not participant rankings"
3,"model-checks-and-sensitivity-analyses","Model checks and sensitivity analyses"
3,"cross-state-interpretation-and-limitations","Within- and between-participant interpretation and limitations"
2,"integrated-interpretation","Integrated interpretation"
2,"sec-brown-provenance","Detailed methods and provenance"
