name,path,sha256,bytes
production_authorization,audit/hypotheses/H01/mder_METRIC-010/H01_METRIC-010_production_authorization.md,f9279a46c73b5feede48adaeee98306a4841183468688446ce91cf09045e33af,2223
central_pilot_authority,audit/report_harmonization/report018_h01_metric010_point_baseline_acceptance_and_pilot_authority.md,fb9a333926928aa1d48732133ceaf5a5f0f55a5794842ed23d3ee9732fcdc536,3190
metric_decision,audit/decisions/mder_mean_of_viable_ratios.md,1664347de976057807fcb5ac6e24bd4b66af1fe32378fabd1f2acafcfc9266de,9617
compute_policy,audit/decisions/bootstrap_execution_policy.md,8bc2f8d31d23dec94b8735b6b913f6886f89fb07adc9d9d33f345e9c2b81871a,2780
point_acceptance,audit/hypotheses/H01/mder_METRIC-010/H01_METRIC-010_point_baseline_acceptance.md,e0681c3488e75059fd5721d3c743843a31f258f55fe680a8d2831d3423c4b7b6,1669
point_manifest,audit/hypotheses/H01/mder_METRIC-010/point_refit_repaired_gap/artifacts/12_manifests/H01_model_results_artifacts.csv,f9e8d2414b1242d3d71510837c9c086791bfd72292b5af615131291e491bd41e,24266
point_results,audit/hypotheses/H01/mder_METRIC-010/point_refit_repaired_gap/artifacts/09_tables/H01/H01_r2_point_summaries.csv,347a42f6c68070e45cf2431324f31bee958d1ab0148dbcadeb92dc70054ad43b,3051
point_diagnostics,audit/hypotheses/H01/mder_METRIC-010/point_refit_repaired_gap/artifacts/08_diagnostics/H01/H01_model_diagnostics.csv,607220a71da9f0df7571b685649b220edea1d7cceb4812285069497d353fdd40,4200
pilot_manifest,audit/hypotheses/H01/mder_METRIC-010/bootstrap_pilot/H01_METRIC-010_bootstrap_pilot_manifest.csv,deeb5dab9a5b63163f932dfdf4e23cc74ebc6848bd6d4ef8335d921ddd0c8764,18741
pilot_review,audit/hypotheses/H01/mder_METRIC-010/bootstrap_pilot/H01_METRIC-010_bootstrap_pilot_review.md,a0bdccd82e51fc1d8dac7c4b651a33c0e493fb3c3959f6d839407e7d74ba93da,5495
pilot_audit,audit/hypotheses/H01/mder_METRIC-010/bootstrap_pilot/diagnostics/H01_METRIC-010_bootstrap_pilot_audit.csv,790c0c7ed6d285b3a4ef4be7d5610f3db02c03aab394051d86d1303758055a97,2950
pilot_provenance,audit/hypotheses/H01/mder_METRIC-010/bootstrap_pilot/diagnostics/H01_METRIC-010_bootstrap_pilot_provenance.csv,e16914696a81278195ed01cca175df04884673c3c9e6ee7b5695aa4aa87211d9,2049
primary_rds,artifacts/06_model_data/H01.rds,0328fe1a698bc13965feb0b68b03ccf0fd20f32b55d6148635811b0d674e0a00,253472
primary_manifest,artifacts/12_manifests/H01_model_data_artifacts.csv,25978c5d6903e6e835c1aff6a9bc2e7552b85295e8d840d3dd65bbf9b1eb6b72,3646
gap_rds,artifacts/06_model_data/H01/scenarios/manuscript_prepared_data/H01.rds,3c70363fc0468202a431904aa9d9444f2858af2e3add3475a56c872b49a18bd6,192816
gap_manifest,artifacts/12_manifests/H01_manuscript_prepared_data_artifacts.csv,e0d98178ede61b74353e3a654e7f1b53d7e1c915833a2cda74eea45ed02f383b,6949
