"path","bytes","sha256","observed_bytes","observed_sha256","exact"
"_quarto-nathealth.yml",10042,"e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7",10042,"e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7",TRUE
"/Users/zauner/.cache/codex-runtimes/codex-primary-runtime/dependencies/bin/override/soffice",622,"81c7db1c6dbcdd606d95abef337b4529aeda6a4fa1cf23a5a567f9c5655c8b66",622,"81c7db1c6dbcdd606d95abef337b4529aeda6a4fa1cf23a5a567f9c5655c8b66",TRUE
"/Users/zauner/.codex/plugins/cache/openai-primary-runtime/documents/26.909.12148/skills/documents/render_docx.py",19702,"876d5993324e2faaaa96a68a4f7504642e9a07e6df265b385b2baa03b231369e",19702,"876d5993324e2faaaa96a68a4f7504642e9a07e6df265b385b2baa03b231369e",TRUE
"audit/hypotheses/H09/manuscript_s15b_strip_layout_2026_09_14/candidate/H09_observed_timing_patterns.svg",1245095,"0a3d0cabcd6cdb67db072cfa566448a885a774db519bea442a973896a7d616e8",1245095,"0a3d0cabcd6cdb67db072cfa566448a885a774db519bea442a973896a7d616e8",TRUE
"audit/hypotheses/H09/manuscript_s15b_strip_layout_2026_09_14/non_circular_manifest.csv",3565,"cc1774067a4ef6ca95efdb5942aa6a0ca39ac4441251ffaea0cfb3403854904b",3565,"cc1774067a4ef6ca95efdb5942aa6a0ca39ac4441251ffaea0cfb3403854904b",TRUE
"audit/manuscript_nature_health/final_review_production_2026_09_14/candidate_package_manifest.csv",53474,"624753fabeb69a47cc9fe7262cba25849963e8ab8aca201512f47fbb5ec65b32",53474,"624753fabeb69a47cc9fe7262cba25849963e8ab8aca201512f47fbb5ec65b32",TRUE
"audit/manuscript_nature_health/final_review_production_2026_09_14/candidate_package_seal.json",2506,"84b015e5051c6875c3ac29c0dec32d8265a526eb1d8500d84fe3957abd4bece2",2506,"84b015e5051c6875c3ac29c0dec32d8265a526eb1d8500d84fe3957abd4bece2",TRUE
"audit/manuscript_nature_health/final_review_production_2026_09_14/candidate_production_review.md",6426,"9460ad9a316331a8500e261565da3ef405b1510bf2f4d81110a7152422a39161",6426,"9460ad9a316331a8500e261565da3ef405b1510bf2f4d81110a7152422a39161",TRUE
"audit/manuscript_nature_health/final_review_production_2026_09_14/deliverables/Nature_Health_manuscript_round2.docx",14167130,"3f33431ed4e85b042f8a98e232b25b9617d8dae16bc8eff8df9595c05a80d611",14167130,"3f33431ed4e85b042f8a98e232b25b9617d8dae16bc8eff8df9595c05a80d611",TRUE
"audit/manuscript_nature_health/final_review_production_2026_09_14/editable_tables/round2/export_provenance.json",49557,"429b2b5a80c5168a5cd792831cfbbf35b94be1cc7ead203db51e6324a74b4a5c",49557,"429b2b5a80c5168a5cd792831cfbbf35b94be1cc7ead203db51e6324a74b4a5c",TRUE
