"page","status","observation"
1,"PASS","Title, complete 28-author block, 14 affiliations and correspondence fit together."
2,"PASS","Abstract has its requested section start and fits on the page."
3,"PASS","Introduction heading and body are readable and unclipped."
4,"PASS_WITH_EXISTING_WHITESPACE","Short Introduction continuation before the author-required Results page start."
5,"PASS","Results baseline text is complete and readable."
6,"PASS","Figure 1, labels and caption fit completely."
7,"PASS","Table 1 remains two complete ordered parts; heading and caption precede part 1 and final notes remain with part 2."
8,"PASS","Table 1 remains two complete ordered parts; heading and caption precede part 1 and final notes remain with part 2."
9,"PASS","Adherence text is complete and readable."
10,"PASS","Table 2 has all columns, final notes and full caption on its landscape page; protected PNG softness is unchanged."
11,"PASS","Results prose and references to displays are complete."
12,"PASS_WITH_EXISTING_WHITESPACE","Two-line prose continuation before Figure 2; no content is missing."
13,"PASS","Figure 2, caption and following heading fit without clipping."
14,"PASS","Geography text is complete and readable."
15,"PASS","All four Table 3 parts fit on A3 portrait pages; the caption is now before the first part and final notes are on the last part. Lower whitespace preserves the ordered four-part contract."
16,"PASS","All four Table 3 parts fit on A3 portrait pages; the caption is now before the first part and final notes are on the last part. Lower whitespace preserves the ordered four-part contract."
17,"PASS","All four Table 3 parts fit on A3 portrait pages; the caption is now before the first part and final notes are on the last part. Lower whitespace preserves the ordered four-part contract."
18,"PASS","All four Table 3 parts fit on A3 portrait pages; the caption is now before the first part and final notes are on the last part. Lower whitespace preserves the ordered four-part contract."
19,"PASS","Immediate-environment and routine Results are complete and readable."
20,"PASS","Immediate-environment and routine Results are complete and readable."
21,"PASS","Enlarged main Figure 3 fits its A3 portrait page, including all four panels, embedded table, notes and caption."
22,"PASS","Remaining Results prose is complete and readable."
23,"PASS","Remaining Results prose is complete and readable."
24,"PASS_WITH_EXISTING_WHITESPACE","Short Results continuation before the author-required Discussion page start."
25,"PASS","Discussion pages are complete and readable."
26,"PASS","Discussion pages are complete and readable."
27,"PASS","Discussion pages are complete and readable."
