"deviation_id","reader_section","current_status","current_observed_or_approved","current_rationale_or_evidence","current_likely_consequence","superseded_or_related_id","current_source_locator"
"DEV-003","current_qualification","open_current_qualification","The retained analysis population still includes the documented participants outside the preregistered age or employment criteria. Current hypothesis reports identify their exact fitted samples; exclusion-sensitivity coverage is not yet uniform across all affected hypotheses.","The deviation is real and should remain visible, but the earlier generic statement that exclusion did not matter is not a project-wide verified conclusion.","Generalization to the preregistered age and employment population remains a qualification until all affected analyses have a comparable exclusion sensitivity.","","audit/ledgers/deviation_register.csv; audit/hypotheses/H01/H01_analysis_preparation.qmd; audit/hypotheses/H10/H10_analysis_preparation.qmd"
"DEV-004","scientific_deviation","approved_implemented_verified","Recruitment and placement availability remain uneven by site. Every accepted hypothesis analysis now reports its exact participants, participant-days or participant-hours, observations, placements, and sites rather than presenting one universal sample size.","Uneven support is an observed feature of the study design and cannot be repaired analytically; exact model-specific denominators and complementary-placement labels are the approved response.","Site and placement comparisons must be interpreted with their model-specific support, especially for Munich, San José, and glasses-versus-chest comparisons.","","audit/decisions/site_display_conventions.md; audit/handoffs/H01_worker_handoff.md; audit/handoffs/H02_worker_handoff.md"
"DEV-005","scientific_deviation","approved_implemented_verified","Logged non-wear outside reported sleep is set to missing, whereas logger values during the reported sleep interval are retained as measurements of the sleep environment and are not described as worn ocular exposure.","The retained sleep values answer a different construct question from waking personal exposure; the placement decision and reader reports now distinguish those constructs.","Sleep-environment results describe light at the logger location during attempted sleep, not verified eye-level exposure while the device was worn.","","audit/decisions/placement_decision.md; audit/decisions/metric_validity.md"
"DEV-006","scientific_deviation","approved_implemented_verified","Attempted-sleep time is the operational boundary for sleep-environment and pre-sleep metrics rather than estimated physiological sleep onset.","Attempted sleep aligns the analysed interval with the intention to sleep and is now defined consistently in preparation and reader-facing methods.","Sleep and pre-sleep denominators refer to attempted sleep; they should not be interpreted as intervals anchored to measured sleep onset.","","audit/decisions/metric_implementation_parameters.md; notebooks/preparation/04_metric_derivation.qmd"
"DEV-008","resolved_implementation_history","resolved_superseded","The registered midpoint of the longest qualifying period is again retained as the registered timing outcome. Mean timing above 250 lx is a distinct circular duration-weighted metric and, where used, is labelled as an adapted sensitivity rather than substituted for the registered midpoint.","The current metric implementation separates the two estimands and applies explicit support and boundary rules.","The earlier unlabelled substitution must not be described as current. Readers should distinguish longest-period midpoint from mean timing across all qualifying exposure.","DEV-054","audit/decisions/metric_implementation_parameters.md; audit/handoffs/H09_worker_handoff.md"
"DEV-009","scientific_deviation","approved_implemented_verified","H01 now evaluates overall site, photoperiod, absolute latitude, and same-frame site-versus-linear-latitude adequacy as separate prespecified model-level questions with complete 17-metric FDR families; it does not select between separate site and latitude models by AIC.","Site and latitude are structurally linked because each site has one latitude. The accepted analysis separates the questions and uses the adequacy comparison to show when a linear latitude gradient does not capture site differences.","Site effects and latitude gradients are not mutually interchangeable, and an adequacy result is not a residual site effect after latitude adjustment.","","audit/handoffs/H01_worker_handoff.md; audit/hypotheses/H01/H01_analysis_preparation.qmd"
"DEV-013","scientific_deviation","approved_implemented_verified","H03 and H04 use fixed study-site adjustment for the population-average category association and fit separate category-by-site interaction models to evaluate variation among sites.","The available number and support of sites did not justify the registered random-slope formulation. Separating the average association from the site interaction makes the two questions explicit.","Primary effects describe the study-site-average association; site interactions are separate tests and do not redefine the primary omnibus test.","","audit/handoffs/H03_worker_handoff.md; audit/handoffs/H04_worker_handoff.md"
"DEV-014","scientific_deviation","approved_implemented_verified","H03 and H04 use fixed-power quasi-Tweedie log-mean models with participant-cluster robust covariance rather than Gaussian linear mixed models.","The response is non-negative, right-skewed, and includes exact zeros. The accepted working mean models are supported by targeted diagnostics but are not treated as calibrated zero-generating distributions.","Effects are multiplicative mean comparisons on the response scale; residual dependence and zero-mass mismatch remain stated limitations.","","audit/handoffs/H03_worker_handoff.md; audit/handoffs/H04_worker_handoff.md"
"DEV-015","scientific_deviation","approved_implemented_verified","Main H06 deliberately analyses supported hourly geometric-mean melEDI rather than the preregistered daily metric set. The more preregistration-aligned daily-metric analysis is retained separately as complementary evidence.","The author selected the hourly route for parsimony, interpretability, and direct temporal context after evaluating both formulations.","The main H06 result concerns hourly melEDI and repeated supported hours; it must not be presented as the preregistered daily-metric estimand.","","audit/decisions/h06_primary_selection_and_daily_complement.md; audit/handoffs/H06_worker_handoff.md"
"DEV-016","scientific_deviation","approved_implemented_verified","H07 retains all nine eligible metrics. The registered latitude-by-photoperiod surface is reported as non-identifiable in this design, and a separately labelled site-adjusted nonlinear photoperiod analysis provides descriptive evidence, including a derivative-defined plateau pattern.","Absolute latitude is determined by site and the observed joint support cannot identify the registered surface. The adapted analysis avoids significance-based outcome selection and avoids a mechanistic ceiling claim.","The nonlinear patterns are descriptive, sensitive to model and site choices, and are not causal latitude effects or evidence of a physiological ceiling.","","audit/handoffs/H07_worker_handoff.md"
